Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
NOTCH1	PGR	1	MUT
BCOR	NOTCH3	1	MUT
GNAS	RTEL1	1	CNA
FGFR3	WHSC1	1	CNA
HIST1H3E	HIST1H3F	1	CNA
INSR	TSC2	1	MUT
RAD50	CDKN2Ap16INK4A	1	CNA
BRCA2	CREBBP	1	MUT
ERF	NOTCH1	1	MUT
PREX2	FLT4	1	MUT
GNAS	ERG	1	MUT
EPHA7	SPEN	1	MUT
EPHA7	KMT2D	1	MUT
CDK12	RET	1	MUT
CCNE1	KMT2B	1	CNA
IKBKE	IL10	1	CNA
ZFHX3	FAT1	1	MUT
CCND2	ETV6	1	CNA
HIST1H3E	HIST1H3G	1	CNA
AKT2	CEBPA	1	CNA
NTRK1	SDHC	1	CNA
BRCA2	KMT2C	1	MUT
ZFHX3	PIK3C2G	1	MUT
MCL1	SDHC	1	CNA
KMT2D	BRCA1	1	MUT
CDKN2Ap16INK4A	SMAD4	1	CNA
MCL1	NTRK1	1	CNA
FLT1	CARD11	1	MUT
CBL	IRS1	1	MUT
BRAF	SND1	1	SV
FAT1	BRAF	1	MUT
CDKN2Ap14ARF	MTAP	1	CNA
CDKN2Ap16INK4A	TEK	1	CNA
CDKN2Ap14ARF	RYBP	1	CNA
ZFHX3	KMT2A	1	MUT
ZFHX3	LATS2	1	MUT
BCL2	MALT1	1	CNA
ANKRD11	SMAD4	1	MUT
PIK3C3	SMAD2	1	CNA
BCOR	ATM	1	MUT
NUF2	SDHC	1	CNA
ANKRD11	KMT2D	1	MUT
AGO2	RECQL4	1	CNA
RICTOR	DOT1L	1	MUT
MEN1	MET	1	MUT
NTRK1	NUF2	1	CNA
SMAD4	MTAP	1	CNA
KDM5A	ZFHX3	1	MUT
CDKN2B	PMAIP1	1	CNA
ATM	CBL	1	MUT
MCL1	NUF2	1	CNA
AKT2	TP53	1	MUT
MEN1	DAXX	1	MUT
RB1	LATS1	1	MUT
EPHA7	PTPRS	1	MUT
DAXX	PTEN	1	MUT
KDM5C	TSC2	1	MUT
ERBB4	PBRM1	1	MUT
CDKN2Ap16INK4A	HIST1H3C	1	CNA
RIT1	HIST2H3D	1	CNA
KDM5A	NOTCH3	1	MUT
BRCA2	FLT3	1	CNA
CDKN2Ap14ARF	MALT1	1	CNA
KDM5A	ETV6	1	CNA
AXIN1	BRAF	1	MUT
KMT2D	MSH2	1	MUT
PMAIP1	SMAD2	1	CNA
CDKN2Ap16INK4A	CDKN2B	1	CNA
CCND2	CDKN1B	1	CNA
NOTCH3	BRAF	1	MUT
DDR2	SDHC	1	CNA
NKX2-1	FOXA1	1	CNA
EP300	PTPRT	1	MUT
ARID1A	ESR1	1	MUT
WHSC1L1	NOTCH3	1	MUT
KDM5C	BRAF	1	MUT
BCOR	DOT1L	1	MUT
BCL2	PIK3C3	1	CNA
KMT2D	NTRK3	1	MUT
BRCA1	KMT2C	1	MUT
KMT2D	PRDM14	1	MUT
NOTCH4	STK19	1	CNA
EP300	LATS2	1	MUT
NOTCH3	PIK3CD	1	MUT
CDKN1B	ETV6	1	CNA
ERBB3	GLI1	1	CNA
ELF3	IKBKE	1	CNA
DOT1L	BRCA2	1	MUT
CDKN2A	CRLF2	1	CNA
ANKRD11	PREX2	1	MUT
PIK3CA	NOTCH2	1	MUT
SMAD4	PMAIP1	1	CNA
ARID1A	MSH2	1	MUT
ZFHX3	DOT1L	1	MUT
ARID1A	NTRK3	1	MUT
RBM10	ARID1A	1	MUT
INPPL1	NOTCH3	1	MUT
APC	ERF	1	MUT
RICTOR	IL7R	1	CNA
CDKN2Ap14ARF	HIST1H3E	1	CNA
FLT1	FLT3	1	CNA
CDKN2B	MALT1	1	CNA
NUF2	RIT1	1	CNA
DROSHA	IL7R	1	CNA
BRCA2	NTRK3	1	MUT
KDM5A	CCND2	1	CNA
INPPL1	PREX2	1	MUT
PIK3CA	FLT4	1	MUT
SMAD4	KDM6A	1	MUT
NTRK1	RIT1	1	CNA
RECQL4	ELF3	1	CNA
FGF19	FGF3	1	CNA
RB1	LATS2	1	MUT
AMER1	AR	1	CNA
KDM6A	KRAS	1	MUT
DOT1L	ATM	1	MUT
NOTCH3	DOT1L	1	MUT
CDKN2B	MTAP	1	CNA
AXL	AMER1	1	MUT
PREX2	TET1	1	MUT
BCOR	PRDM14	1	MUT
INPPL1	MSH2	1	MUT
LZTR1	SMARCB1	1	CNA
BCOR	INSR	1	MUT
CDKN2Ap14ARF	KDM6A	1	CNA
ERF	JAK2	1	MUT
AXIN1	DOT1L	1	MUT
PREX2	NOTCH1	1	MUT
AXIN1	RBM10	1	MUT
ALK	SETD2	1	MUT
TSC2	CDKN1A	1	MUT
PIK3C3	PMAIP1	1	CNA
ANKRD11	NOTCH3	1	MUT
AKT2	RB1	1	CNA
CDKN2Ap16INK4A	MALT1	1	CNA
KMT2D	FAT1	1	MUT
EP300	GNAS	1	MUT
AXIN1	BRCA2	1	MUT
MYC	NBN	1	CNA
MCL1	RIT1	1	CNA
AXIN1	ERF	1	MUT
DOT1L	ERF	1	MUT
PIK3CA	NTRK1	1	MUT
RIT1	HIST2H3C	1	CNA
BRAF	DNMT1	1	MUT
DDR2	RIT1	1	CNA
EPHA7	KMT2A	1	MUT
BCOR	BRCA2	1	MUT
TSC2	NKX2-1	1	MUT
SETD2	RBM10	1	MUT
RICTOR	KDM5C	1	MUT
MEN1	TSC2	1	MUT
KMT2B	TP53	1	MUT
CCND1	FGF3	1	CNA
MEN1	CDKN1B	1	MUT
AGO2	RAD21	1	CNA
CREBBP	PIK3CA	1	MUT
NKX2-1	NFKBIA	1	CNA
PTPRD	IL7R	1	CNA
BCL2	SMAD2	1	CNA
CREBBP	PTPRS	1	MUT
ATRX	MEN1	1	MUT
CCNE1	TP53	1	MUT
KMT2D	CCND2	1	MUT
ARID1A	DOT1L	1	MUT
ZFHX3	FLT4	1	MUT
BCOR	RNF43	1	MUT
CCNE1	CEBPA	1	CNA
NOTCH1	CDKN2A	1	MUT
RICTOR	TERT	1	CNA
AKT2	ERCC2	1	CNA
SMAD4	CDK6	1	CNA
CCND3	VEGFA	1	CNA
DOT1L	KMT2C	1	MUT
CDKN2Ap14ARF	XIAP	1	CNA
FGF19	MCL1	1	CNA
PTPRD	KMT2C	1	MUT
AGO2	MYC	1	CNA
CDKN2Ap14ARF	STAG2	1	CNA
BRCA2	POLD1	1	MUT
MAPK1	SMARCB1	1	CNA
RBM10	SRC	1	MUT
ATM	INSR	1	MUT
RB1	MGA	1	MUT
ARID1A	RPTOR	1	MUT
CDKN2B	TEK	1	CNA
NOTCH3	CREBBP	1	MUT
SMAD4	BCL2	1	CNA
HIST1H2BD	HIST1H3G	1	CNA
ZFHX3	ERF	1	MUT
CRKL	MAPK1	1	CNA
CCND2	RAD52	1	CNA
ETV6	RAD52	1	CNA
TP53	KRAS	1	MUT
PTPRD	MTAP	1	CNA
CEBPA	KMT2B	1	CNA
AMER1	CDKN2Ap16INK4A	1	CNA
APC	ARID1A	1	MUT
AKT2	RAD50	1	MUT
BRCA2	PRDM14	1	MUT
RAD21	RECQL4	1	CNA
BRCA2	INSR	1	MUT
BCL2	CDKN2Ap14ARF	1	CNA
NTRK3	KMT2C	1	MUT
RNF43	KRAS	1	MUT
EPHA7	ATM	1	MUT
MEN1	PTEN	1	MUT
BRCA2	FOXO1	1	CNA
BRCA2	TSC2	1	MUT
ERF	BRCA2	1	MUT
FGF19	FGF4	1	CNA
AXIN1	NTRK3	1	MUT
DDR2	NTRK1	1	CNA
RNF43	TGFBR2	1	MUT
BCOR	PTPRD	1	MUT
APC	INPPL1	1	MUT
AXIN1	ZFHX3	1	MUT
AXIN1	ARID1A	1	MUT
BRCA2	MSH2	1	MUT
ZFHX3	BRCA2	1	MUT
MALT1	PIK3C3	1	CNA
MEN1	PIK3C2G	1	MUT
CDKN2Ap14ARF	HIST1H3C	1	CNA
MEN1	CDKN1A	1	MUT
SETD2	ARID1A	1	MUT
EPHA7	PREX2	1	MUT
KMT2D	BRCA2	1	MUT
