Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	9	1.0	0.5764	1.0	0.0838
CDKN2A	6	0.6667	0.0625	0.75	0.1808
SMAD4	5	0.5556	0.0069	0.6923	0.1585
CDKN2Ap16INK4A	5	0.5556	0.0069	0.6923	0.1678
KDM6A	4	0.4444	0.0	0.6429	0.0947
CDKN2B	4	0.4444	0.0	0.6429	0.2385
TP53	3	0.3333	0.0139	0.6	0.2872
TGFBR2	2	0.2222	0.0	0.5625	0.0467
MYC	2	0.2222	0.0	0.5625	0.1875
RNF43	2	0.2222	0.0	0.5625	0.0467
