Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
BRCA2	33	26	7	0	0.3343	0.1564	0.3449
ZFHX3	25	25	0	0	0.0	0.1136	0.3569
RICTOR	23	12	11	0	0.4991	0.1087	0.3191
DOT1L	23	18	4	1	0.3554	0.0535	0.3273
CDKN2Ap16INK4A	22	2	19	1	0.2438	0.0895	0.2837
CDKN2A	20	9	10	1	0.545	0.0351	0.2765
NOTCH3	19	16	3	0	0.2659	0.0657	0.3245
SMAD4	19	7	12	0	0.4654	0.0452	0.2637
KMT2D	17	16	1	0	0.1107	0.0525	0.3184
CDKN2Ap14ARF	16	0	15	1	0.1172	0.0216	0.2541
BCOR	16	14	2	0	0.2188	0.0451	0.3245
CDKN2B	16	2	13	1	0.3203	0.0083	0.246
AMER1	15	8	7	0	0.4978	0.0536	0.3218
CCNE1	15	7	8	0	0.4978	0.0242	0.2816
AKT2	15	6	9	0	0.48	0.0415	0.2707
PTPRD	14	6	8	0	0.4898	0.0502	0.3027
KRAS	14	9	5	0	0.4592	0.0431	0.2721
AXIN1	13	13	0	0	0.0	0.0323	0.3252
RBM10	12	9	3	0	0.375	0.0247	0.3004
KDM5C	12	9	3	0	0.375	0.0258	0.2923
KDM5A	12	6	6	0	0.5	0.0432	0.3027
ARID1A	12	11	1	0	0.1528	0.0178	0.2858
NTRK3	12	11	0	1	0.1528	0.0218	0.3132
INSR	12	8	4	0	0.4444	0.0104	0.2952
TEK	12	4	8	0	0.4444	0.0014	0.2492
EP300	11	10	1	0	0.1653	0.0277	0.2952
TSC2	11	11	0	0	0.0	0.0322	0.2853
MEN1	10	10	0	0	0.0	0.0286	0.2669
PREX2	10	9	1	0	0.18	0.0254	0.2901
MCL1	10	0	10	0	0.0	0.0553	0.2444
SMARCA4	10	5	4	1	0.58	0.014	0.261
CDK12	10	7	3	0	0.42	0.0288	0.2712
ATM	10	10	0	0	0.0	0.0461	0.2731
EPHA7	10	10	0	0	0.0	0.0218	0.2918
TP53	9	7	2	0	0.3457	0.0197	0.2488
RECQL4	9	2	7	0	0.3457	0.0528	0.2417
DNMT1	9	5	3	1	0.5679	0.0021	0.2688
RB1	9	5	4	0	0.4938	0.0679	0.2791
DDR2	9	2	7	0	0.3457	0.02	0.261
KDM6A	9	4	5	0	0.4938	0.002	0.2432
NOTCH1	8	8	0	0	0.0	0.0213	0.3139
PIK3CA	8	8	0	0	0.0	0.0389	0.2756
CCND2	8	3	5	0	0.4688	0.0281	0.2655
RNF43	8	8	0	0	0.0	0.0389	0.3009
ERF	8	8	0	0	0.0	0.0055	0.3064
NTRK1	8	2	6	0	0.375	0.014	0.2508
MYC	8	2	6	0	0.375	0.0259	0.2336
MALT1	8	0	8	0	0.0	0.0049	0.225
BCL2	8	0	8	0	0.0	0.0049	0.225
BRAF	8	7	0	1	0.2188	0.0153	0.2806
WHSC1L1	8	5	3	0	0.4688	0.0339	0.2935
PRDM14	7	6	1	0	0.2449	0.0156	0.2885
JAK2	7	5	2	0	0.4082	0.0033	0.2912
ANKRD11	7	7	0	0	0.0	0.0185	0.294
RIT1	7	0	7	0	0.0	0.0019	0.21
GNAS	7	6	1	0	0.2449	0.0301	0.277
FLT1	7	4	3	0	0.4898	0.0099	0.2537
NKX2-1	7	3	4	0	0.4898	0.0203	0.2601
MTAP	7	0	7	0	0.0	0.001	0.2488
FGFR1	7	3	4	0	0.4898	0.0272	0.2311
KMT2C	7	7	0	0	0.0	0.0277	0.307
CDKN1B	6	2	4	0	0.4444	0.006	0.246
AR	6	2	4	0	0.4444	0.0133	0.2751
INPPL1	6	6	0	0	0.0	0.0016	0.2688
PMAIP1	6	0	6	0	0.0	0.001	0.206
SMAD2	6	1	5	0	0.2778	0.0008	0.2049
AXL	6	3	3	0	0.5	0.002	0.2562
HIST1H3E	6	0	6	0	0.0	0.0357	0.218
SDHA	6	1	5	0	0.2778	0.0036	0.2376
FAT1	5	4	1	0	0.32	0.0012	0.2746
SDHC	5	0	5	0	0.0	0.0	0.2094
NUF2	5	0	5	0	0.0	0.0	0.2094
IL7R	5	0	5	0	0.0	0.0032	0.2554
TERT	5	1	4	0	0.32	0.0062	0.2398
APC	5	5	0	0	0.0	0.0018	0.2628
MSH2	5	5	0	0	0.0	0.0045	0.2702
ERBB2	5	3	2	0	0.48	0.0015	0.2387
CREBBP	5	5	0	0	0.0	0.0096	0.2816
RAD52	4	0	4	0	0.0	0.0	0.2376
PPM1D	4	2	2	0	0.5	0.0181	0.2117
HIST1H3G	4	0	4	0	0.0	0.0	0.1758
PIK3C2G	4	3	1	0	0.375	0.0065	0.2633
RECQL	4	2	2	0	0.5	0.0092	0.2301
HIST1H3F	4	0	4	0	0.0	0.0	0.1758
CDK8	4	2	2	0	0.5	0.0	0.2504
KMT2B	4	1	3	0	0.375	0.0002	0.227
ATRX	4	3	1	0	0.375	0.0	0.2425
CEBPA	4	0	4	0	0.0	0.0	0.2196
SETD2	4	4	0	0	0.0	0.0091	0.2429
PIK3C3	4	0	4	0	0.0	0.0	0.1804
HIST1H3D	4	0	4	0	0.0	0.0	0.1758
HIST1H2BD	4	0	4	0	0.0	0.0	0.1758
FGF19	4	0	4	0	0.0	0.009	0.1931
PTPRS	4	4	0	0	0.0	0.0017	0.2456
CCND1	4	0	4	0	0.0	0.009	0.1931
ETV6	4	0	4	0	0.0	0.0	0.2376
AGO2	3	0	3	0	0.0	0.0	0.203
LZTR1	3	0	3	0	0.0	0.0	0.0154
SMARCB1	3	0	3	0	0.0	0.0	0.0154
RAD21	3	0	3	0	0.0	0.0	0.203
DAXX	3	3	0	0	0.0	0.0008	0.2221
KMT2A	3	3	0	0	0.0	0.0008	0.2637
PIK3CD	3	3	0	0	0.0	0.0012	0.2721
HIST1H3C	3	0	3	0	0.0	0.0	0.2162
RYBP	3	0	3	0	0.0	0.0	0.2162
CDK4	3	0	3	0	0.0	0.0001	0.0154
XIAP	3	0	3	0	0.0	0.0	0.2162
MAPK1	3	0	3	0	0.0	0.0	0.0154
FGF4	3	0	3	0	0.0	0.0	0.159
TGFBR2	3	3	0	0	0.0	0.0021	0.2448
HIST2H3C	3	0	3	0	0.0	0.0	0.1923
RARA	3	2	1	0	0.4444	0.0	0.2241
PBRM1	3	2	1	0	0.4444	0.0091	0.184
LATS2	3	3	0	0	0.0	0.0054	0.2746
HIST2H3D	3	0	3	0	0.0	0.0	0.1923
FLT4	3	3	0	0	0.0	0.0029	0.2721
DROSHA	3	0	3	0	0.0	0.0	0.2361
ELF3	3	0	3	0	0.0	0.0181	0.1911
CRKL	3	0	3	0	0.0	0.0	0.0154
FGF3	3	0	3	0	0.0	0.0	0.159
PGR	2	2	0	0	0.0	0.0003	0.252
TRIP13	2	0	2	0	0.0	0.0	0.1895
BRCA1	2	2	0	0	0.0	0.0001	0.248
NFKBIA	2	0	2	0	0.0	0.0	0.2017
NOTCH2	2	2	0	0	0.0	0.0011	0.2409
FOXA1	2	0	2	0	0.0	0.0	0.2017
RPTOR	2	2	0	0	0.0	0.0002	0.2417
CSF1R	2	2	0	0	0.0	0.0001	0.2633
RAD50	2	1	1	0	0.5	0.0078	0.2391
CBL	2	2	0	0	0.0	0.0091	0.2097
ARID1B	2	2	0	0	0.0	0.0	0.258
FLCN	2	1	1	0	0.5	0.0	0.1902
FLT3	2	0	2	0	0.0	0.0	0.2504
POLD1	2	2	0	0	0.0	0.0	0.2751
BRD4	2	1	1	0	0.5	0.0	0.238
ERBB3	2	0	2	0	0.0	0.0	0.0115
CD79B	2	1	1	0	0.5	0.0	0.1711
FOXO1	2	0	2	0	0.0	0.0	0.2588
PTPRT	2	2	0	0	0.0	0.0	0.226
PTEN	2	2	0	0	0.0	0.0	0.2057
GNA11	2	1	1	0	0.5	0.0	0.2394
