MIN_COOCCURRENCE	LOG2OR_THRESH	Num_Nodes	Num_Edges	Num_Clusters	Network_Density
5	1.0	492	60243	4	0.4988
5	1.5	492	59268	4	0.4907
5	2.0	490	56731	3	0.4735
5	2.5	489	49611	4	0.4158
5	3.0	485	35410	4	0.3017
5	4.0	476	6625	5	0.0586
5	5.0	320	539	18	0.0106
10	1.0	438	31727	4	0.3315
10	1.5	436	31221	3	0.3292
10	2.0	433	29947	3	0.3202
10	2.5	429	26535	3	0.289
10	3.0	426	18864	4	0.2084
10	4.0	378	2616	7	0.0367
10	5.0	116	113	22	0.0169
15	1.0	376	18257	4	0.259
15	1.5	374	17928	4	0.257
15	2.0	371	17110	5	0.2493
15	2.5	367	15250	5	0.2271
15	3.0	361	10827	4	0.1666
15	4.0	286	1240	9	0.0304
15	5.0	46	37	15	0.0357
20	1.0	316	11072	4	0.2225
20	1.5	312	10854	3	0.2237
20	2.0	308	10272	4	0.2173
20	2.5	306	9170	4	0.1965
20	3.0	303	6548	4	0.1431
20	4.0	208	677	8	0.0314
20	5.0	23	18	7	0.0711
25	1.0	269	6956	3	0.193
25	1.5	266	6807	4	0.1931
25	2.0	261	6390	3	0.1883
25	2.5	260	5705	4	0.1694
25	3.0	257	4132	5	0.1256
25	4.0	154	450	8	0.0382
25	5.0	12	10	3	0.1515
30	1.0	227	4461	3	0.1739
30	1.5	223	4363	3	0.1763
30	2.0	222	4038	3	0.1646
30	2.5	221	3595	4	0.1479
30	3.0	213	2676	4	0.1185
30	4.0	119	307	8	0.0437
30	5.0	8	7	2	0.25
40	1.0	164	2002	3	0.1498
40	1.5	161	1951	4	0.1515
40	2.0	159	1766	5	0.1406
40	2.5	157	1564	3	0.1277
40	3.0	154	1249	4	0.106
40	4.0	75	177	6	0.0638
40	5.0	7	6	1	0.2857
50	1.0	115	981	3	0.1497
50	1.5	111	950	2	0.1556
50	2.0	109	844	4	0.1434
50	2.5	108	749	2	0.1296
50	3.0	101	617	3	0.1222
50	4.0	46	109	4	0.1053
50	5.0	5	4	1	0.4
