Metodo	K	Modularity	Silhouette	NMI vs Louvain	Tempo (s)
Louvain	6	0.1491	0.0276	1.0	0.05
Leiden	6	0.1511	0.0287	0.3597	0.01
Girvan-Newman	2	-0.0	0.0494	0.0046	16.93
Infomap	2	0.0025	0.0512	0.0362	0.02
