Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	10	25	1	0.556	5.0	0.41	0.605	2	3.68
1	8	11	1	0.393	2.75	0.078	0.375	2	29.55
2	3	2	1	0.667	1.33	0.0	0.0	2	16.0
