Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	70	137	1	0.057	3.91	0.009	0.141	5	6.58
1	115	1911	1	0.292	33.23	0.102	0.708	4	3.31
2	45	88	1	0.089	3.91	0.01	0.138	5	10.64
3	70	1098	1	0.455	31.37	0.36	0.896	3	3.25
