Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	19	1.0	0.7378	1.0	0.1345
KEAP1	8	0.4211	0.0521	0.6333	0.3214
ATM	7	0.3684	0.0229	0.6129	0.5238
INPP4B	7	0.3684	0.0229	0.6129	0.5238
SF3B1	6	0.3158	0.0093	0.5938	0.6667
GLI1	6	0.3158	0.0063	0.5938	0.7333
DNMT3B	4	0.2105	0.0015	0.5588	0.8333
U2AF1	4	0.2105	0.0073	0.5588	0.5
RBM10	4	0.2105	0.0039	0.5588	0.6667
NUF2	3	0.1579	0.0	0.5429	1.0
CDC73	3	0.1579	0.0015	0.5429	0.6667
STK11	2	0.1053	0.0	0.5278	1.0
SDHB	2	0.1053	0.0	0.5278	1.0
IL10	2	0.1053	0.0	0.5278	1.0
IDH1	2	0.1053	0.0	0.5278	1.0
BCL2L11	1	0.0526	0.0	0.5135	0.0
NKX2-1	1	0.0526	0.0	0.5135	0.0
MAX	1	0.0526	0.0	0.5135	0.0
SMARCA2	1	0.0526	0.0	0.5135	0.0
CYSLTR2	1	0.0526	0.0	0.5135	0.0
