Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
CDKN2A	54	25	28	1	0.5165	0.0066	0.4046	0.498
CDKN2Ap14ARF	21	2	17	2	0.3265	0.0012	0.3727	0.4956
CDKN2Ap16INK4A	21	0	18	3	0.2449	0.0015	0.381	0.494
CDKN2B	16	0	16	0	0.0	0.0014	0.3712	0.4797
MTAP	14	0	14	0	0.0	0.0024	0.3352	0.1385
TEK	19	8	11	0	0.4875	0.0013	0.3701	0.0659
SDHA	55	24	31	0	0.4919	0.0111	0.4388	0.0472
SMARCA4	68	44	21	3	0.484	0.0197	0.4595	0.0322
CARD11	51	28	22	1	0.5121	0.0112	0.4317	0.0312
JAK2	37	20	17	0	0.4967	0.0104	0.4123	0.0283
CD274	12	0	12	0	0.0	0.0009	0.3692	0.0271
PDCD1LG2	17	4	13	0	0.3599	0.0015	0.3825	0.0257
TERT	64	32	31	1	0.5151	0.0236	0.4313	0.0251
MAP2K4	19	7	12	0	0.4654	0.0025	0.3495	0.0163
EZH2	22	13	9	0	0.4835	0.0028	0.3926	0.0113
IKZF1	27	13	14	0	0.4993	0.0037	0.385	0.0106
SMAD2	15	6	9	0	0.48	0.0014	0.3622	0.0106
ETV1	20	9	11	0	0.495	0.0019	0.3552	0.0105
KDR	48	34	13	1	0.4245	0.0077	0.4384	0.0105
RAC1	16	4	12	0	0.375	0.0016	0.3771	0.0095
H3F3C	21	10	11	0	0.4989	0.0021	0.3929	0.0094
ARID1B	31	26	5	0	0.2706	0.0048	0.4297	0.0092
ETV6	15	6	9	0	0.48	0.0015	0.3738	0.0085
DICER1	33	32	1	0	0.0588	0.0065	0.4376	0.0075
TP53	92	79	13	0	0.2427	0.0503	0.5064	0.0066
PGR	49	39	10	0	0.3249	0.012	0.4569	0.0058
ERCC4	21	16	5	0	0.3628	0.0027	0.4029	0.0055
FLT3	55	43	12	0	0.3412	0.0166	0.4686	0.0054
PTPRD	128	91	36	1	0.4154	0.0596	0.514	0.0049
GATA1	25	11	14	0	0.4928	0.0014	0.3837	0.0049
SMARCA2	8	3	5	0	0.4688	0.0001	0.3331	0.0046
KEAP1	49	40	8	1	0.3065	0.0102	0.4487	0.0045
INPPL1	39	28	11	0	0.405	0.0119	0.4255	0.0045
BIRC3	14	7	7	0	0.5	0.0009	0.3753	0.0045
STK11	32	21	10	1	0.4707	0.0077	0.4073	0.0039
NF1	71	60	8	3	0.2714	0.0273	0.4804	0.0035
IL7R	46	32	14	0	0.4234	0.0098	0.4534	0.0034
FAT1	88	80	8	0	0.1653	0.0478	0.5091	0.0033
EGFR	15	7	8	0	0.4978	0.002	0.3182	0.0033
PTPRT	91	83	8	0	0.1604	0.0505	0.5124	0.0031
KDM5C	68	45	23	0	0.4477	0.0227	0.4573	0.0029
PMS2	25	12	13	0	0.4992	0.0061	0.3774	0.0029
RICTOR	39	23	16	0	0.4839	0.0125	0.4274	0.0027
DROSHA	37	23	14	0	0.4704	0.0037	0.4278	0.0026
ERBB4	72	72	0	0	0.0	0.0364	0.4969	0.0024
PMS1	19	18	1	0	0.0997	0.0021	0.4112	0.0023
PIK3CB	14	9	4	1	0.5	0.0007	0.3703	0.0022
DNMT3B	14	9	5	0	0.4592	0.0014	0.3672	0.0022
NKX2-1	20	5	15	0	0.375	0.0074	0.3666	0.002
KRAS	23	18	5	0	0.3403	0.0029	0.3825	0.0019
NTRK3	80	73	7	0	0.1597	0.032	0.4872	0.0018
EPHB1	69	60	9	0	0.2268	0.025	0.4912	0.0017
PDGFRA	61	51	9	1	0.279	0.0149	0.4704	0.0016
NFKBIA	21	5	16	0	0.3628	0.0062	0.3712	0.0015
KMT2B	62	41	21	0	0.448	0.0262	0.4587	0.0015
TRIP13	9	4	5	0	0.4938	0.0001	0.3467	0.0015
HGF	80	63	17	0	0.3347	0.0227	0.4867	0.0014
INHBA	29	18	11	0	0.4709	0.007	0.3978	0.0014
GRIN2A	45	36	9	0	0.32	0.0156	0.4441	0.0014
EPHA3	83	76	6	1	0.1562	0.0301	0.4933	0.0014
RECQL4	46	21	25	0	0.4962	0.0056	0.4184	0.0013
PAK7	59	48	11	0	0.3034	0.0213	0.4645	0.0013
MDC1	50	39	11	0	0.3432	0.0156	0.4504	0.0013
RB1	31	18	13	0	0.487	0.0046	0.4094	0.0013
ATR	23	22	1	0	0.0832	0.004	0.4263	0.0012
PIK3CG	52	41	11	0	0.3336	0.0172	0.4509	0.0011
PREX2	58	38	20	0	0.4518	0.0123	0.4368	0.0011
FOXA1	27	7	20	0	0.3841	0.0068	0.3792	0.001
PLCG2	23	18	5	0	0.3403	0.0047	0.406	0.001
DOT1L	28	16	11	1	0.5179	0.0036	0.3945	0.001
WT1	22	20	2	0	0.1653	0.0013	0.4278	0.001
PIK3C2G	57	42	15	0	0.3878	0.0143	0.4587	0.001
NCOR1	36	26	10	0	0.4012	0.0162	0.4348	0.0009
TET1	46	44	2	0	0.0832	0.016	0.4591	0.0009
EPHA5	46	43	3	0	0.1219	0.013	0.4613	0.0009
TBX3	29	29	0	0	0.0	0.0049	0.4348	0.0009
BCOR	41	26	15	0	0.464	0.0043	0.4259	0.0009
KIT	49	34	15	0	0.4248	0.0108	0.4487	0.0009
FGFR4	62	42	20	0	0.437	0.0138	0.4618	0.0008
POLE	27	27	0	0	0.0	0.0063	0.4317	0.0008
MYC	20	4	16	0	0.32	0.0076	0.3771	0.0008
BRCA1	43	42	0	1	0.0454	0.0081	0.4587	0.0008
NTRK1	80	49	31	0	0.4747	0.0262	0.4631	0.0008
NOTCH3	41	30	10	1	0.4045	0.0166	0.4251	0.0008
RTEL1	11	3	8	0	0.3967	0.0012	0.3388	0.0008
PDCD1	25	18	7	0	0.4032	0.0022	0.4046	0.0008
AMER1	47	33	14	0	0.4183	0.0155	0.4384	0.0007
KMT2C	20	19	1	0	0.095	0.0032	0.4056	0.0007
EPHA7	60	44	16	0	0.3911	0.0176	0.456	0.0007
ATM	37	35	2	0	0.1023	0.0129	0.4332	0.0007
KMT2D	41	41	0	0	0.0	0.0167	0.4487	0.0007
BRCA2	35	25	10	0	0.4082	0.007	0.408	0.0006
NOTCH2	27	22	5	0	0.3018	0.0079	0.4192	0.0006
FGFR1	65	36	29	0	0.4942	0.0182	0.4543	0.0006
SOX9	19	16	3	0	0.2659	0.0015	0.4105	0.0006
PTPRS	38	22	16	0	0.4875	0.015	0.4206	0.0006
TET2	12	12	0	0	0.0	0.0012	0.3789	0.0006
POLD1	27	22	4	1	0.3128	0.0041	0.4162	0.0006
IRS1	51	47	4	0	0.1446	0.0214	0.4654	0.0006
RASA1	28	26	2	0	0.1327	0.008	0.4309	0.0005
RBM10	40	24	16	0	0.48	0.0157	0.4155	0.0005
ZFHX3	43	43	0	0	0.0	0.0133	0.4521	0.0005
MGA	39	32	7	0	0.2945	0.0088	0.4396	0.0005
NTRK2	38	35	3	0	0.1454	0.0072	0.4417	0.0005
PIK3C3	43	32	11	0	0.3807	0.0116	0.4425	0.0005
GLI1	21	12	9	0	0.4898	0.0043	0.3777	0.0005
LATS2	31	18	13	0	0.487	0.0041	0.3968	0.0005
CIC	22	18	4	0	0.2975	0.003	0.4015	0.0005
PBRM1	18	18	0	0	0.0	0.0044	0.413	0.0005
DDR2	36	19	17	0	0.4985	0.0075	0.4263	0.0005
KDM5A	29	16	13	0	0.4946	0.0039	0.3962	0.0004
ERCC3	16	15	1	0	0.1172	0.0018	0.3985	0.0004
PARP1	35	28	7	0	0.32	0.0074	0.4286	0.0004
MYCN	44	40	4	0	0.1653	0.0112	0.4573	0.0004
ARID5B	14	11	3	0	0.3367	0.0022	0.3792	0.0004
PRKD1	29	17	12	0	0.4851	0.0081	0.4091	0.0004
INPP4B	33	32	1	0	0.0588	0.0078	0.4313	0.0004
ARAF	47	28	19	0	0.4817	0.0067	0.4251	0.0004
WHSC1	42	27	15	0	0.4592	0.0061	0.4255	0.0004
KDM6A	28	16	12	0	0.4898	0.0017	0.4046	0.0004
TP63	35	26	9	0	0.382	0.0098	0.4248	0.0004
PRDM14	33	16	17	0	0.4995	0.0033	0.3859	0.0004
PARK2	25	21	4	0	0.2688	0.0034	0.4151	0.0004
TSC2	17	8	9	0	0.4983	0.0008	0.3467	0.0004
DIS3	24	20	4	0	0.2778	0.0027	0.4046	0.0004
BTK	43	28	15	0	0.4543	0.0098	0.4203	0.0004
BARD1	18	15	3	0	0.2778	0.0026	0.3995	0.0003
ANKRD11	10	9	1	0	0.18	0.0004	0.3741	0.0003
NOTCH4	37	33	4	0	0.1928	0.0098	0.4321	0.0003
FLT1	28	23	5	0	0.2934	0.0052	0.4155	0.0003
NSD1	15	8	7	0	0.4978	0.0004	0.3732	0.0003
ERBB3	16	12	4	0	0.375	0.0028	0.385	0.0003
XPO1	22	18	4	0	0.2975	0.0021	0.4053	0.0003
CARM1	16	2	13	1	0.3203	0.0024	0.3658	0.0003
IRF4	21	18	3	0	0.2449	0.0014	0.4148	0.0003
PPM1D	19	17	2	0	0.1884	0.0022	0.3919	0.0003
DUSP4	20	5	15	0	0.375	0.0019	0.3949	0.0003
FLT4	29	24	5	0	0.2854	0.009	0.4218	0.0003
AR	29	21	8	0	0.3995	0.0043	0.4199	0.0003
PTEN	21	12	9	0	0.4898	0.006	0.3732	0.0003
MAPK1	21	10	10	1	0.5442	0.0017	0.3856	0.0003
DAXX	12	10	2	0	0.2778	0.0005	0.3735	0.0003
AXIN2	19	15	4	0	0.3324	0.0036	0.4042	0.0003
FGF3	20	10	10	0	0.5	0.0031	0.3831	0.0003
FLCN	9	4	5	0	0.4938	0.0007	0.3234	0.0003
CBL	22	18	4	0	0.2975	0.0022	0.4119	0.0003
IRS2	55	43	12	0	0.3412	0.0218	0.4543	0.0003
FOXL2	39	32	7	0	0.2945	0.0083	0.434	0.0003
CHEK2	8	8	0	0	0.0	0.0004	0.3589	0.0003
MEN1	17	13	4	0	0.3599	0.0019	0.3795	0.0003
TSHR	21	21	0	0	0.0	0.0018	0.4159	0.0002
CRLF2	15	7	8	0	0.4978	0.0005	0.3686	0.0002
CSF1R	26	23	3	0	0.2041	0.0065	0.4203	0.0002
ARID1A	21	19	1	1	0.1769	0.0026	0.4077	0.0002
NOTCH1	28	26	2	0	0.1327	0.0069	0.4049	0.0002
RAD50	17	16	1	0	0.1107	0.002	0.406	0.0002
FOXO1	21	12	9	0	0.4898	0.0011	0.3774	0.0002
NBN	36	16	20	0	0.4938	0.0035	0.4005	0.0002
B2M	15	10	5	0	0.4444	0.0011	0.3859	0.0002
MAP3K1	16	12	4	0	0.375	0.0023	0.3777	0.0002
