Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
KRAS	23	18	5	0	0.3403	0.756	1.0	0.5875
KEAP1	7	6	1	0	0.2449	0.012	0.6	0.5423
STK11	5	4	1	0	0.32	0.0054	0.5625	0.5322
EPHA5	7	7	0	0	0.0	0.0381	0.6207	0.1491
ATM	2	2	0	0	0.0	0.0	0.5294	0.1227
PREX2	8	5	3	0	0.4688	0.012	0.5806	0.1148
FLT1	4	4	0	0	0.0	0.0	0.5625	0.0938
POLE	3	3	0	0	0.0	0.0033	0.5455	0.0598
SOX17	6	5	1	0	0.2778	0.0044	0.5806	0.0578
STAG2	3	3	0	0	0.0	0.0022	0.5455	0.0548
PAK7	5	3	2	0	0.48	0.0033	0.5455	0.0449
NFE2L2	1	1	0	0	0.0	0.0	0.5143	0.0344
FBXW7	3	3	0	0	0.0	0.0033	0.5455	0.0304
KDM5A	5	2	3	0	0.48	0.0	0.5455	0.03
DNMT3B	2	2	0	0	0.0	0.0	0.5294	0.0296
H3F3C	5	2	3	0	0.48	0.0	0.5455	0.0282
CHEK2	2	2	0	0	0.0	0.0	0.5294	0.025
FOXP1	1	1	0	0	0.0	0.0	0.5143	0.0223
RECQL	8	3	5	0	0.4688	0.0163	0.5806	0.0214
