Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
CRLF2	1	0	1	0	0.0	0.0	0.1412
STK40	1	0	1	0	0.0	0.0	0.0071
FGFR3	1	0	1	0	0.0	0.0	0.0071
PIK3CA	1	1	0	0	0.0	0.0	0.1574
FOXA1	1	0	1	0	0.0	0.0	0.1643
RECQL	1	0	1	0	0.0	0.0	0.0071
H3F3C	1	0	1	0	0.0	0.0	0.0071
INPPL1	1	1	0	0	0.0	0.0	0.1845
WHSC1	1	0	1	0	0.0	0.0	0.0071
WHSC1L1	1	0	1	0	0.0	0.0	0.0095
NSD3	1	0	1	0	0.0	0.0	0.0095
MCL1	1	0	1	0	0.0	0.0	0.1678
LATS1	1	1	0	0	0.0	0.0	0.1746
JAK3	1	1	0	0	0.0	0.0	0.1714
MGA	1	1	0	0	0.0	0.0	0.1746
NOTCH2	1	1	0	0	0.0	0.0	0.1629
NBN	1	0	1	0	0.0	0.0	0.1373
NCOA3	1	1	0	0	0.0	0.0	0.1687
NFKBIA	1	0	1	0	0.0	0.0	0.1643
PIK3CD	1	1	0	0	0.0	0.0	0.1714
STK19	1	0	1	0	0.0	0.0	0.0071
NOTCH4	1	0	1	0	0.0	0.0	0.0071
TET1	1	1	0	0	0.0	0.0	0.1733
SETD2	1	1	0	0	0.0	0.0	0.1629
PTPRS	1	1	0	0	0.0	0.0	0.1425
SRC	1	1	0	0	0.0	0.0	0.1629
TRIP13	1	0	1	0	0.0	0.0	0.1402
