Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
CDKN2B	CDKN2A	3	CNA,MUT,SV
DOT1L	GNA11	2	CNA,MUT
KMT2D	INSR	2	CNA,MUT
CDKN2A	KDM6A	2	CNA,MUT
BRCA2	JAK2	2	CNA,MUT
RECQL4	CCND2	2	CNA,MUT
SMAD4	SMAD2	2	CNA,MUT
NTRK3	DOT1L	2	MUT,SV
RECQL4	FLCN	2	CNA,MUT
SMAD4	CDKN2A	2	CNA,MUT
CDK12	ERBB2	2	CNA,MUT
BCOR	RBM10	2	CNA,MUT
BRCA2	NKX2-1	2	CNA,MUT
AR	KDM5C	2	CNA,MUT
KDM5C	EP300	2	CNA,MUT
SMARCA4	DNMT1	2	CNA,MUT
ARID1A	FAT1	2	CNA,MUT
KDM6A	TEK	2	CNA,MUT
CDKN2Ap16INK4A	CDKN2A	2	CNA,MUT
ERBB2	RARA	2	CNA,MUT
INSR	DOT1L	2	CNA,MUT
CDKN2Ap14ARF	CDKN2Ap16INK4A	2	CNA,SV
JAK2	RICTOR	2	CNA,MUT
SMARCA4	DOT1L	2	CNA,MUT
INSR	DNMT1	2	CNA,MUT
AMER1	BCOR	2	CNA,MUT
AR	RBM10	2	CNA,MUT
RB1	BRCA2	2	CNA,MUT
MYC	RECQL4	1	CNA
NKX2-1	FOXA1	1	CNA
AGO2	MYC	1	CNA
BRIP1	PPM1D	1	CNA
CDKN1B	KDM5A	1	CNA
CDKN2Ap16INK4A	STAG2	1	CNA
CDKN2Ap14ARF	CDKN2A	1	CNA
SMAD4	CDKN2Ap16INK4A	1	CNA
BRCA2	ZFHX3	1	MUT
CCNE1	AMER1	1	CNA
AKT2	CEBPA	1	CNA
CDKN2B	HIST1H3E	1	CNA
RAD21	RECQL4	1	CNA
ATM	NTRK3	1	MUT
CDKN1B	RAD52	1	CNA
RB1	PTPRT	1	MUT
RNF43	ZFHX3	1	MUT
RNF43	GNAS	1	MUT
BRCA2	TSC2	1	MUT
EP300	DOT1L	1	MUT
CCND2	KDM5A	1	CNA
KDM6A	CRLF2	1	CNA
CDKN2B	MALT1	1	CNA
RICTOR	TERT	1	CNA
BCOR	INSR	1	MUT
SMAD4	PMAIP1	1	CNA
CDKN2Ap16INK4A	RYBP	1	CNA
SMAD4	CDKN2B	1	CNA
FLT1	SMARCA4	1	MUT
HIST1H2BD	HIST1H3G	1	CNA
TERT	TRIP13	1	CNA
RNF43	JAK3	1	MUT
AXL	CEBPA	1	CNA
NOTCH3	INPPL1	1	MUT
CDKN1B	ETV6	1	CNA
HIST1H3G	HIST1H3D	1	CNA
CCND2	RAD52	1	CNA
BCOR	RNF43	1	MUT
BCL2	CDKN2Ap16INK4A	1	CNA
IL7R	RICTOR	1	CNA
RBM10	ARID1A	1	MUT
BRCA2	FOXO1	1	CNA
CDKN2Ap14ARF	MALT1	1	CNA
BCOR	CSF1R	1	MUT
SMAD4	MTAP	1	CNA
SMARCA4	CCND2	1	MUT
BRCA1	KMT2C	1	MUT
CRKL	LZTR1	1	CNA
ETV6	KDM5A	1	CNA
SMARCA4	CARM1	1	CNA
CDK4	GLI1	1	CNA
FGF19	FGF3	1	CNA
PIK3C3	SMAD2	1	CNA
PREX2	SMAD4	1	MUT
PREX2	NOTCH3	1	MUT
PIK3C3	PMAIP1	1	CNA
MYC	RAD21	1	CNA
AKT2	CCNE1	1	CNA
PMAIP1	SMAD2	1	CNA
KMT2D	FAT1	1	MUT
BCL2	PIK3C3	1	CNA
