Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Cellular Response To Heat Stress R-HSA-3371556	3/99	0.0002207869375035619	0.0022394103661075	0	0	29.583333333333332	249.04174198623193	EP300;ATM;MTOR
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	6/764	0.0002272207094008733	0.0032676964821835	0	0	8.451187335092348	70.90198597714968	ALK;PDGFRA;IRS1;NTRK3;ARID2;TP53
GO_Biological_Process_2021	positive regulation of gene expression (GO:0010628)	5/482	0.0002316402638211001	0.0032676964821835	0	0	10.757475449630364	90.04356544206422	NTRK3;EP300;ATM;TP53;MTOR
GO_Biological_Process_2021	interleukin-7-mediated signaling pathway (GO:0038111)	2/19	0.00023306007599526184	0.0032676964821835	0	0	106.73262032085562	892.7345092435008	IRS1;SMARCA4
GO_Biological_Process_2021	cellular response to interleukin-7 (GO:0098761)	2/19	0.00023306007599526184	0.0032676964821835	0	0	106.73262032085562	892.7345092435008	IRS1;SMARCA4
KEGG_2021_Human	Longevity regulating pathway	3/102	0.00024112207109460744	0.0038235071273573	0	0	28.682539682539684	238.9314995428402	IRS1;TP53;MTOR
GO_Biological_Process_2021	chromatin remodeling (GO:0006338)	3/103	0.000248160437794501	0.0034084076456265	0	0	28.394285714285715	235.71331990829248	KDM5C;ARID1A;SMARCA4
Reactome_2022	TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204	2/20	0.00025876610708752327	0.0024060630824097	0	0	100.7979797979798	832.5495793111635	ATM;TP53
Reactome_2022	Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844	2/20	0.00025876610708752327	0.0024060630824097	0	0	100.7979797979798	832.5495793111635	PTPRD;NTRK3
Reactome_2022	PI3K/AKT Signaling In Cancer R-HSA-2219528	3/105	0.00026263364631937797	0.0024060630824097	0	0	27.834733893557424	229.4904355365835	PDGFRA;IRS1;MTOR
Reactome_2022	PIP3 Activates AKT Signaling R-HSA-1257604	4/268	0.00027118811268630214	0.0024067945000909	0	0	14.933333333333334	122.64295433803603	PDGFRA;IRS1;TP53;MTOR
GO_Biological_Process_2021	central nervous system development (GO:0007417)	4/268	0.00027118811268630214	0.0036297248093931	0	0	14.933333333333334	122.64295433803603	ZFHX3;EPHA7;GRIN2A;NF1
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	4/269	0.0002750608696568323	0.0036297248093931	0	0	14.87622641509434	121.96301212758664	PDGFRA;NTRK3;ATM;MTOR
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	2/21	0.0002857953111961309	0.0036988508545191	0	0	95.48803827751196	779.2048032433584	EP300;TP53
Reactome_2022	Synaptic Adhesion-Like Molecules R-HSA-8849932	2/21	0.0002857953111961309	0.0024595717690818	0	0	95.48803827751196	779.2048032433584	PTPRD;GRIN2A
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	5/511	0.0003034792171636857	0.0038536134556822	0	0	10.125858123569794	82.02144991900619	ZFHX3;EP300;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	regulation of cytoskeleton organization (GO:0051493)	3/112	0.00031756514969554097	0.0039578026989833	0	0	26.03800786369594	209.7316634727131	EPHA5;MTOR;EPHA3
GO_Biological_Process_2021	negative regulation of cell motility (GO:2000146)	3/114	0.00033451627935222807	0.0040932628364372	0	0	25.566280566280565	204.60246957607467	PTPRT;NF1;ARID2
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase I (GO:0045943)	2/23	0.00034381145881898543	0.0041318769961638	0	0	86.38528138528139	688.9586534300897	MTOR;SMARCA4
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	7/1183	0.000353382079929542	0.004135006046809	0	0	6.582633053221288	52.3185088554536	ZFHX3;EP300;ATM;ARID1A;TP53;MTOR;SMARCA4
GO_Biological_Process_2021	regulation of cellular response to stress (GO:0080135)	3/118	0.0003701480171554325	0.004135006046809	0	0	24.672049689440993	194.94885498719952	EP300;ATM;MTOR
GO_Biological_Process_2021	positive regulation of neuron apoptotic process (GO:0043525)	2/24	0.0003747925243021608	0.004135006046809	0	0	82.45454545454545	650.4952839948423	EPHA7;NF1
GO_Biological_Process_2021	positive regulation of phospholipase activity (GO:0010518)	2/24	0.0003747925243021608	0.004135006046809	0	0	82.45454545454545	650.4952839948423	PDGFRA;NTRK3
GO_Biological_Process_2021	response to gamma radiation (GO:0010332)	2/24	0.0003747925243021608	0.004135006046809	0	0	82.45454545454545	650.4952839948423	ATM;TP53
KEGG_2021_Human	Neurotrophin signaling pathway	3/119	0.0003794222686254727	0.0043193366364062	0	0	24.458128078817733	192.6532704977716	IRS1;NTRK3;TP53
KEGG_2021_Human	Growth hormone synthesis, secretion and action	3/119	0.0003794222686254727	0.0043193366364062	0	0	24.458128078817733	192.6532704977716	IRS1;EP300;MTOR
KEGG_2021_Human	Thyroid hormone signaling pathway	3/121	0.0003984175036804402	0.0043193366364062	0	0	24.041162227602907	188.19446069201703	EP300;TP53;MTOR
Reactome_2022	Interleukin-7 Signaling R-HSA-1266695	2/25	0.0004070850063970531	0.0034003571122577	0	0	78.86561264822134	615.663500818195	IRS1;SMARCA4
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	5/546	0.0004115065052038854	0.0044668367419712	0	0	9.453740636248662	73.69839096799326	PDGFRA;IRS1;NTRK3;EP300;TP53
KEGG_2021_Human	Cell cycle	3/124	0.0004280423693735877	0.0043193366364062	0	0	23.44155844155844	181.8194871950706	EP300;ATM;TP53
GO_Biological_Process_2021	cellular response to oxidative stress (GO:0034599)	3/125	0.0004382232175732551	0.0046813369115365	0	0	23.24824355971897	179.7736027765765	PDGFRA;KEAP1;TP53
Reactome_2022	Intracellular Signaling By Second Messengers R-HSA-9006925	4/306	0.0004483320554260031	0.0036378943925995	0	0	13.029139072847682	100.45435482848636	PDGFRA;IRS1;TP53;MTOR
GO_Biological_Process_2021	positive regulation of apoptotic process (GO:0043065)	4/310	0.00047084533110052786	0.0049512329348539	0	0	12.856209150326798	98.49117277216736	EPHA7;NF1;ATM;TP53
KEGG_2021_Human	FoxO signaling pathway	3/131	0.000502589798260098	0.0046489556339059	0	0	22.151785714285715	168.25912133115668	IRS1;EP300;ATM
GO_Biological_Process_2021	cellular response to hypoxia (GO:0071456)	3/131	0.000502589798260098	0.0052037374496776	0	0	22.151785714285715	168.25912133115668	EP300;TP53;MTOR
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	2/28	0.0005118017005884158	0.0052188264317576	0	0	69.75524475524476	528.5754809934051	PDGFRA;IRS1
