Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	11	22	1	0.4	4.0	0.246	0.688	4	4.77
1	3	2	1	0.667	1.33	0.0	0.0	2	4.0
2	7	12	1	0.571	3.43	0.341	0.649	2	3.58
3	9	11	1	0.306	2.44	0.157	0.571	6	3.91
4	2	1	1	1.0	1.0	0.0	0.0	1	3.0
5	15	33	1	0.314	4.4	0.348	0.796	5	3.3
6	2	1	1	1.0	1.0	0.0	0.0	1	3.0
7	5	4	1	0.4	1.6	0.0	0.0	4	3.25
8	4	6	1	1.0	3.0	0.851	1.0	1	6.0
9	2	1	1	1.0	1.0	0.0	0.0	1	3.0
10	3	2	1	0.667	1.33	0.0	0.0	2	7.0
11	9	22	1	0.611	4.89	0.186	0.728	3	24.77
12	24	38	1	0.138	3.17	0.146	0.352	6	4.29
13	3	2	1	0.667	1.33	0.0	0.0	2	3.0
14	3	2	1	0.667	1.33	0.0	0.0	2	4.5
15	8	16	1	0.571	4.0	0.232	0.828	3	5.88
16	2	1	1	1.0	1.0	0.0	0.0	1	3.0
17	33	83	1	0.157	5.03	0.059	0.301	6	7.12
18	2	1	1	1.0	1.0	0.0	0.0	1	4.0
19	2	1	1	1.0	1.0	0.0	0.0	1	4.0
20	4	3	1	0.5	1.5	0.0	0.0	3	3.33
21	3	2	1	0.667	1.33	0.0	0.0	2	5.0
22	5	7	1	0.7	2.8	0.275	0.8	2	13.29
23	7	9	1	0.429	2.57	0.431	0.45	3	3.33
24	2	1	1	1.0	1.0	0.0	0.0	1	4.0
25	2	1	1	1.0	1.0	0.0	0.0	1	4.0
26	2	1	1	1.0	1.0	0.0	0.0	1	4.0
27	2	1	1	1.0	1.0	0.0	0.0	1	3.0
28	2	1	1	1.0	1.0	0.0	0.0	1	3.0
29	3	2	1	0.667	1.33	0.0	0.0	2	3.0
30	2	1	1	1.0	1.0	0.0	0.0	1	3.0
31	10	15	1	0.333	3.0	0.087	0.553	4	19.53
32	2	1	1	1.0	1.0	0.0	0.0	1	4.0
33	2	1	1	1.0	1.0	0.0	0.0	1	3.0
34	2	1	1	1.0	1.0	0.0	0.0	1	3.0
35	2	1	1	1.0	1.0	0.0	0.0	1	5.0
