Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
5	GO_Biological_Process_2021	regulation of transcription by RNA polymerase III (GO:0006359)	1/21	0.0073278982772855	0.0231860974562769	CEBPA
5	GO_Molecular_Function_2021	histone acetyltransferase binding (GO:0035035)	1/21	0.0073278982772855	0.0334839159665772	TP53
5	Reactome_Pathways_2024	CTLA4 Inhibitory Signaling	1/21	0.0073278982772855	0.0218819184668942	AKT2
5	Reactome_Pathways_2024	TP53 Regulates Transcription of Additional Cell Cycle Genes With Uncertain Roles in the P53 Pathway	1/21	0.0073278982772855	0.0218819184668942	TP53
5	Reactome_Pathways_2024	Regulation of Gene Expression in Beta Cells	1/21	0.0073278982772855	0.0218819184668942	AKT2
5	GO_Biological_Process_2021	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	1/22	0.0076756962402828	0.0231860974562769	CEBPA
5	GO_Biological_Process_2021	positive regulation of lipid catabolic process (GO:0050996)	1/22	0.0076756962402828	0.0231860974562769	AKT2
5	GO_Biological_Process_2021	negative regulation of phosphate metabolic process (GO:0045936)	1/22	0.0076756962402828	0.0231860974562769	TP53
5	GO_Biological_Process_2021	regulation of execution phase of apoptosis (GO:1900117)	1/22	0.0076756962402828	0.0231860974562769	TP53
5	GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	2/404	0.0079921396597359	0.0231860974562769	AXL;AKT2
5	GO_Biological_Process_2021	positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	1/23	0.0080233898041786	0.0231860974562769	TP53
5	GO_Biological_Process_2021	regulation of protein export from nucleus (GO:0046825)	1/23	0.0080233898041786	0.0231860974562769	TP53
5	GO_Molecular_Function_2021	disordered domain specific binding (GO:0097718)	1/23	0.0080233898041786	0.0334839159665772	TP53
5	GO_Biological_Process_2021	positive regulation of protein targeting to membrane (GO:0090314)	1/24	0.0083709789916443	0.0231860974562769	AKT2
5	GO_Biological_Process_2021	dendritic cell differentiation (GO:0097028)	1/24	0.0083709789916443	0.0231860974562769	AXL
5	GO_Biological_Process_2021	positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	1/24	0.0083709789916443	0.0231860974562769	TP53
5	GO_Biological_Process_2021	response to gamma radiation (GO:0010332)	1/24	0.0083709789916443	0.0231860974562769	TP53
5	GO_Biological_Process_2021	positive regulation of viral life cycle (GO:1903902)	1/24	0.0083709789916443	0.0231860974562769	AXL
5	GO_Biological_Process_2021	DNA packaging (GO:0006323)	1/24	0.0083709789916443	0.0231860974562769	TP53
5	GO_Molecular_Function_2021	protein phosphatase 2A binding (GO:0051721)	1/24	0.0083709789916443	0.0334839159665772	TP53
5	Reactome_Pathways_2024	Estrogen-dependent Nuclear Events Downstream of ESR-membrane Signaling	1/24	0.0083709789916443	0.0243210876108584	AKT2
5	Reactome_Pathways_2024	CD28 Dependent PI3K Akt Signaling	1/24	0.0083709789916443	0.0243210876108584	AKT2
5	GO_Biological_Process_2021	positive regulation of release of cytochrome c from mitochondria (GO:0090200)	1/25	0.0087184638276748	0.0231860974562769	TP53
5	Reactome_Pathways_2024	G Beta Gamma Signalling Through PI3Kgamma	1/25	0.0087184638276748	0.0246640753019747	AKT2
5	Reactome_Pathways_2024	Defective Intrinsic Pathway for Apoptosis	1/25	0.0087184638276748	0.0246640753019747	TP53
5	GO_Biological_Process_2021	regulation of nucleic acid-templated transcription (GO:1903506)	2/430	0.0090158687904853	0.0231860974562769	CEBPA;TP53
5	GO_Biological_Process_2021	regulation of glycogen biosynthetic process (GO:0005979)	1/26	0.0090658443341152	0.0231860974562769	AKT2
5	GO_Biological_Process_2021	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)	1/26	0.0090658443341152	0.0231860974562769	TP53
5	GO_Biological_Process_2021	regulation of viral life cycle (GO:1903900)	1/26	0.0090658443341152	0.0231860974562769	AXL
5	GO_Biological_Process_2021	positive regulation of glucose import (GO:0046326)	1/26	0.0090658443341152	0.0231860974562769	AKT2
5	GO_Biological_Process_2021	mononuclear cell differentiation (GO:1903131)	1/26	0.0090658443341152	0.0231860974562769	AXL
5	GO_Biological_Process_2021	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)	1/26	0.0090658443341152	0.0231860974562769	TP53
5	GO_Biological_Process_2021	cellular response to drug (GO:0035690)	1/26	0.0090658443341152	0.0231860974562769	TP53
5	Reactome_Pathways_2024	HDMs Demethylate Histones	1/26	0.0090658443341152	0.0249854433984935	ARID5B
5	Reactome_Pathways_2024	Constitutive Signaling by AKT1 E17K in Cancer	1/26	0.0090658443341152	0.0249854433984935	AKT2
5	Reactome_Pathways_2024	Developmental Biology	3/1385	0.0093864938169878	0.0249854433984935	CEBPA;AKT2;TP53
5	GO_Biological_Process_2021	negative regulation of catalytic activity (GO:0043086)	1/27	0.0094131205361766	0.023251212264573	TP53
5	GO_Biological_Process_2021	positive regulation of cellular component movement (GO:0051272)	1/27	0.0094131205361766	0.023251212264573	AKT2
5	GO_Biological_Process_2021	positive regulation of gene silencing by miRNA (GO:2000637)	1/27	0.0094131205361766	0.023251212264573	TP53
5	GO_Biological_Process_2021	entrainment of circadian clock by photoperiod (GO:0043153)	1/27	0.0094131205361766	0.023251212264573	TP53
5	Reactome_Pathways_2024	G0 and Early G1	1/27	0.0094131205361766	0.0249854433984935	CCNE1
5	Reactome_Pathways_2024	Pyroptosis	1/27	0.0094131205361766	0.0249854433984935	TP53
5	GO_Molecular_Function_2021	transition metal ion binding (GO:0046914)	2/445	0.00963232852259	0.0348971259850928	KMT2B;TP53
5	GO_Biological_Process_2021	cellular response to interleukin-6 (GO:0071354)	1/28	0.009760292455613	0.023703567392203	CEBPA
5	GO_Biological_Process_2021	photoperiodism (GO:0009648)	1/28	0.009760292455613	0.023703567392203	TP53
5	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	2/451	0.0098841624461199	0.0255656755953003	AKT2;TP53
5	GO_Biological_Process_2021	regulation of protein targeting to membrane (GO:0090313)	1/29	0.0101073601190722	0.0239428448722284	AKT2
5	GO_Biological_Process_2021	negative regulation of transferase activity (GO:0051348)	1/29	0.0101073601190722	0.0239428448722284	TP53
5	GO_Biological_Process_2021	negative regulation of interferon-gamma production (GO:0032689)	1/29	0.0101073601190722	0.0239428448722284	AXL
