Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	8	13	1	0.464	3.25	0.171	0.512	2	34.54
1	5	10	1	1.0	4.0	0.264	1.0	1	6.4
2	3	2	1	0.667	1.33	0.0	0.0	2	3.0
