Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
PTPRS	165	158	7	0	0.0812	0.0343	0.6554	0.1853
KMT2D	163	163	0	0	0.0	0.053	0.6624	0.1824
ZFHX3	163	163	0	0	0.0	0.0381	0.6652	0.1717
FAT1	157	157	0	0	0.0	0.0378	0.6485	0.1676
ANKRD11	152	152	0	0	0.0	0.0269	0.6513	0.1484
EPHA5	136	136	0	0	0.0	0.0254	0.6288	0.1401
ARID2	135	134	1	0	0.0147	0.0142	0.6263	0.1396
KDM5A	153	138	15	0	0.1769	0.0291	0.6275	0.1372
FLT4	125	125	0	0	0.0	0.011	0.6031	0.1363
ATRX	128	128	0	0	0.0	0.0176	0.6078	0.1337
NOTCH4	133	133	0	0	0.0	0.0203	0.6263	0.1299
TCF7L2	96	95	1	0	0.0206	0.019	0.5606	0.1295
EP300	119	119	0	0	0.0	0.0094	0.5962	0.1259
KMT2B	112	106	6	0	0.1014	0.0244	0.5773	0.123
DNMT3A	114	114	0	0	0.0	0.0056	0.5973	0.1221
POLE	138	131	7	0	0.0963	0.0201	0.6163	0.1221
KMT2C	102	102	0	0	0.0	0.0095	0.5773	0.12
NOTCH3	119	117	1	1	0.0332	0.0205	0.6031	0.1168
TGFBR2	113	112	1	0	0.0175	0.0165	0.5927	0.1167
SPEN	112	112	0	0	0.0	0.0148	0.5905	0.1164
NOTCH1	115	112	3	0	0.0508	0.0135	0.5905	0.1143
POLD1	100	100	0	0	0.0	0.0049	0.5751	0.1118
ARID1A	95	95	0	0	0.0	0.0324	0.5636	0.111
CDC73	106	106	0	0	0.0	0.0054	0.5816	0.1087
BCOR	98	93	5	0	0.0968	0.0164	0.5709	0.107
INPPL1	98	98	0	0	0.0	0.0052	0.5794	0.1059
PIK3R1	110	103	7	0	0.1192	0.0107	0.5816	0.1059
FLCN	112	103	9	0	0.1478	0.0081	0.5827	0.105
NCOR1	111	107	4	0	0.0695	0.0096	0.5882	0.104
RNF43	96	94	2	0	0.0408	0.0088	0.5699	0.1038
PIK3CD	99	99	0	0	0.0	0.0041	0.5816	0.1027
GRIN2A	94	94	0	0	0.0	0.0066	0.5678	0.0988
IGF1R	100	100	0	0	0.0	0.0069	0.5784	0.0979
PAK7	110	99	11	0	0.18	0.0086	0.5784	0.0958
MSH3	94	86	8	0	0.1557	0.0039	0.5636	0.095
RAD50	94	94	0	0	0.0	0.0059	0.572	0.0944
ARID1B	85	85	0	0	0.0	0.0059	0.5606	0.0938
PIK3C2G	111	104	7	0	0.1182	0.0096	0.5784	0.0931
AR	102	102	0	0	0.0	0.0104	0.5849	0.0928
CREBBP	98	94	4	0	0.0783	0.0075	0.5709	0.092
TSC1	97	95	2	0	0.0404	0.0043	0.572	0.0905
TET2	94	94	0	0	0.0	0.0085	0.5678	0.0898
CDH1	85	85	0	0	0.0	0.0033	0.5616	0.0893
BRCA2	108	90	18	0	0.2778	0.0171	0.5556	0.089
PLCG2	90	90	0	0	0.0	0.0036	0.5566	0.0871
ERBB4	87	87	0	0	0.0	0.0074	0.5516	0.087
MED12	72	72	0	0	0.0	0.0032	0.542	0.0869
CYLD	106	99	7	0	0.1234	0.0081	0.5699	0.0864
MITF	87	87	0	0	0.0	0.0066	0.5636	0.0853
RAD54L	96	96	0	0	0.0	0.0071	0.5751	0.0842
NF1	90	86	3	1	0.0857	0.0062	0.5596	0.0839
CIC	79	78	0	1	0.025	0.0081	0.5516	0.0833
PTEN	98	88	10	0	0.1833	0.0226	0.5467	0.0827
SETD2	91	91	0	0	0.0	0.0111	0.5636	0.0823
TET1	95	88	6	1	0.1378	0.0033	0.5636	0.0822
RPTOR	81	81	0	0	0.0	0.0052	0.5596	0.082
JAK2	75	75	0	0	0.0	0.0043	0.5526	0.0811
