Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
PTPRS	165	158	7	0	0.0812	0.0343	0.6554
KMT2D	163	163	0	0	0.0	0.053	0.6624
ZFHX3	163	163	0	0	0.0	0.0381	0.6652
FAT1	157	157	0	0	0.0	0.0378	0.6485
KDM5A	153	138	15	0	0.1769	0.0291	0.6275
ANKRD11	152	152	0	0	0.0	0.0269	0.6513
POLE	138	131	7	0	0.0963	0.0201	0.6163
EPHA5	136	136	0	0	0.0	0.0254	0.6288
ARID2	135	134	1	0	0.0147	0.0142	0.6263
NOTCH4	133	133	0	0	0.0	0.0203	0.6263
ATRX	128	128	0	0	0.0	0.0176	0.6078
FLT4	125	125	0	0	0.0	0.011	0.6031
NOTCH3	119	117	1	1	0.0332	0.0205	0.6031
EP300	119	119	0	0	0.0	0.0094	0.5962
NOTCH1	115	112	3	0	0.0508	0.0135	0.5905
DNMT3A	114	114	0	0	0.0	0.0056	0.5973
TGFBR2	113	112	1	0	0.0175	0.0165	0.5927
SPEN	112	112	0	0	0.0	0.0148	0.5905
FLCN	112	103	9	0	0.1478	0.0081	0.5827
KMT2B	112	106	6	0	0.1014	0.0244	0.5773
NCOR1	111	107	4	0	0.0695	0.0096	0.5882
PIK3C2G	111	104	7	0	0.1182	0.0096	0.5784
DNMT3B	110	91	19	0	0.2858	0.0114	0.5667
PIK3R1	110	103	7	0	0.1192	0.0107	0.5816
PAK7	110	99	11	0	0.18	0.0086	0.5784
BRCA2	108	90	18	0	0.2778	0.0171	0.5556
CYLD	106	99	7	0	0.1234	0.0081	0.5699
CDC73	106	106	0	0	0.0	0.0054	0.5816
FGFR1	105	80	25	0	0.3628	0.0129	0.5477
IRS2	103	81	22	0	0.3359	0.0109	0.5516
KMT2C	102	102	0	0	0.0	0.0095	0.5773
AR	102	102	0	0	0.0	0.0104	0.5849
POLD1	100	100	0	0	0.0	0.0049	0.5751
IGF1R	100	100	0	0	0.0	0.0069	0.5784
PIK3CD	99	99	0	0	0.0	0.0041	0.5816
PTEN	98	88	10	0	0.1833	0.0226	0.5467
BCOR	98	93	5	0	0.0968	0.0164	0.5709
INPPL1	98	98	0	0	0.0	0.0052	0.5794
CREBBP	98	94	4	0	0.0783	0.0075	0.5709
TSC1	97	95	2	0	0.0404	0.0043	0.572
RAD54L	96	96	0	0	0.0	0.0071	0.5751
RNF43	96	94	2	0	0.0408	0.0088	0.5699
TCF7L2	96	95	1	0	0.0206	0.019	0.5606
FLT1	96	70	26	0	0.395	0.0089	0.5272
TET1	95	88	6	1	0.1378	0.0033	0.5636
ARID1A	95	95	0	0	0.0	0.0324	0.5636
NCOA3	95	78	17	0	0.2939	0.0075	0.5506
TET2	94	94	0	0	0.0	0.0085	0.5678
GRIN2A	94	94	0	0	0.0	0.0066	0.5678
MSH3	94	86	8	0	0.1557	0.0039	0.5636
RAD50	94	94	0	0	0.0	0.0059	0.572
LATS2	91	67	24	0	0.3884	0.008	0.5382
SETD2	91	91	0	0	0.0	0.0111	0.5636
PLCG2	90	90	0	0	0.0	0.0036	0.5566
NF1	90	86	3	1	0.0857	0.0062	0.5596
INSR	89	81	8	0	0.1636	0.0023	0.5576
DIS3	87	68	19	0	0.3414	0.0055	0.5326
ERBB4	87	87	0	0	0.0	0.0074	0.5516
PMS2	87	80	7	0	0.148	0.0023	0.5556
MITF	87	87	0	0	0.0	0.0066	0.5636
ARID1B	85	85	0	0	0.0	0.0059	0.5606
CDH1	85	85	0	0	0.0	0.0033	0.5616
ASXL1	82	65	17	0	0.3287	0.0083	0.5354
ETV1	81	78	3	0	0.0713	0.0028	0.5566
RICTOR	81	81	0	0	0.0	0.0027	0.5566
RPTOR	81	81	0	0	0.0	0.0052	0.5596
FLT3	80	56	24	0	0.42	0.0118	0.5082
IKBKE	80	80	0	0	0.0	0.0025	0.5546
WHSC1	79	79	0	0	0.0	0.0023	0.5586
CIC	79	78	0	1	0.025	0.0081	0.5516
CTNNB1	76	76	0	0	0.0	0.0127	0.529
RB1	76	64	12	0	0.2659	0.0049	0.5373
PIK3CG	75	75	0	0	0.0	0.0124	0.5401
JAK2	75	75	0	0	0.0	0.0043	0.5526
TOP1	75	58	17	0	0.3506	0.0067	0.5281
MET	75	75	0	0	0.0	0.0033	0.5487
B2M	75	75	0	0	0.0	0.002	0.5496
INPP4B	73	73	0	0	0.0	0.0029	0.5401
MED12	72	72	0	0	0.0	0.0032	0.542
PREX2	72	72	0	0	0.0	0.0026	0.5401
INPP4A	71	71	0	0	0.0	0.0013	0.5458
KMT2A	70	70	0	0	0.0	0.0034	0.5336
MGA	69	69	0	0	0.0	0.0076	0.5382
DDR2	68	64	4	0	0.1107	0.0035	0.5336
RASA1	67	65	2	0	0.0579	0.0025	0.5326
MALT1	67	57	10	0	0.254	0.0128	0.5299
ROS1	66	66	0	0	0.0	0.0027	0.5299
PTPRD	64	64	0	0	0.0	0.0027	0.5326
PPP2R1A	64	64	0	0	0.0	0.0007	0.5336
MAP3K1	64	64	0	0	0.0	0.0014	0.5326
DOT1L	63	59	4	0	0.1189	0.001	0.5254
AGO2	63	42	21	0	0.4444	0.0039	0.5008
BLM	63	63	0	0	0.0	0.0016	0.5363
ERBB3	62	62	0	0	0.0	0.0035	0.5336
RUNX1	59	59	0	0	0.0	0.0016	0.5336
ASXL2	58	58	0	0	0.0	0.0011	0.5281
SMARCA4	58	53	5	0	0.1576	0.0023	0.5193
SLX4	57	55	2	0	0.0677	0.0006	0.5236
MYC	57	39	18	0	0.4321	0.011	0.4913
PRKD1	57	57	0	0	0.0	0.0018	0.5141
NOTCH2	55	49	6	0	0.1944	0.0006	0.5175
RECQL	54	46	8	0	0.2524	0.0006	0.5193
NKX3-1	51	31	20	0	0.4767	0.0045	0.4829
NTRK2	50	50	0	0	0.0	0.0003	0.5175
PTPRT	50	39	11	0	0.3432	0.0084	0.4897
NBN	50	43	7	0	0.2408	0.0017	0.5082
MSH6	49	49	0	0	0.0	0.0008	0.515
ATM	48	48	0	0	0.0	0.0025	0.5057
CARD11	48	40	8	0	0.2778	0.0035	0.5
ALOX12B	48	47	1	0	0.0408	0.0007	0.5132
