Metodo	K	Modularity	Silhouette	NMI vs Louvain	Tempo (s)
Louvain	5	0.3539	0.1037	1.0	0.0
Leiden	5	0.3542	0.1031	0.9501	0.0
Girvan-Newman	9	0.3252	0.1806	0.6963	0.14
Infomap	8	0.3385	0.1527	0.7235	0.0
