Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	54	147	1	0.103	5.44	0.068	0.21	4	6.41
1	37	60	1	0.09	3.24	0.093	0.099	5	3.8
2	33	60	1	0.114	3.64	0.091	0.179	6	3.9
3	31	46	1	0.099	2.97	0.032	0.124	4	9.48
4	30	47	1	0.108	3.13	0.108	0.168	5	3.55
5	29	44	1	0.108	3.03	0.073	0.122	5	3.75
6	29	38	1	0.094	2.62	0.079	0.129	5	3.74
7	5	4	1	0.4	1.6	0.0	0.0	3	3.5
