Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	39	66	1	0.089	3.38	0.061	0.147	6	3.56
1	14	14	1	0.154	2.0	0.025	0.043	3	5.86
2	8	7	1	0.25	1.75	0.0	0.0	3	127.43
3	6	5	1	0.333	1.67	0.0	0.0	3	3.2
4	2	1	1	1.0	1.0	0.0	0.0	1	3.0
