Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	6	1.0	0.7667	1.0	0.2
CDKN2A	3	0.5	0.0333	0.6667	0.6667
TP53	2	0.3333	0.0	0.6	1.0
SMAD3	2	0.3333	0.0	0.6	1.0
SMAD4	2	0.3333	0.0	0.6	1.0
KDM6A	2	0.3333	0.0	0.6	1.0
TGFBR2	1	0.1667	0.0	0.5455	0.0
