Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	51	127	1	0.1	4.98	0.067	0.208	4	6.4
1	44	76	1	0.08	3.45	0.068	0.116	4	3.75
2	40	65	1	0.083	3.25	0.022	0.16	6	8.35
3	39	68	1	0.092	3.49	0.096	0.166	5	3.97
4	26	36	1	0.111	2.77	0.055	0.118	5	3.67
5	25	38	1	0.127	3.04	0.172	0.276	5	3.45
6	17	18	1	0.132	2.12	0.021	0.077	6	3.72
