Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	28	104	1	0.275	7.43	0.16	0.586	4	7.05
1	17	21	1	0.154	2.47	0.072	0.268	6	5.29
2	180	2485	1	0.154	27.61	0.022	0.383	5	7.45
3	36	167	1	0.265	9.28	0.03	0.565	5	26.09
4	33	148	1	0.28	8.97	0.107	0.639	5	7.69
5	49	221	1	0.188	9.02	0.09	0.54	5	9.4
6	43	148	1	0.164	6.88	0.042	0.388	5	11.74
7	18	71	1	0.464	7.89	0.242	0.655	3	6.97
8	86	461	1	0.126	10.72	0.016	0.317	4	9.21
