Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
AGO2	7	2	5	0	0.4082	0.0003	0.0321	0
FGFR1	4	0	4	0	0.0	0.0	0.0285	0
MYC	6	0	6	0	0.0	0.0009	0.0366	0
NKX3-1	4	1	3	0	0.375	0.0005	0.027	0
RAD21	6	1	5	0	0.2778	0.0001	0.0321	0
RECQL4	9	3	6	0	0.4444	0.0005	0.0342	0
ALK	1	1	0	0	0.0	0.0	0.0068	0
EP300	2	2	0	0	0.0	0.0001	0.0103	0
ARAF	5	1	4	0	0.32	0.0001	0.0785	0
EIF1AX	7	2	5	0	0.4082	0.0257	0.0915	0
GATA1	6	2	4	0	0.4444	0.0053	0.0785	0
KDM6A	4	2	2	0	0.5	0.0	0.0781	0
ZRSR2	3	0	3	0	0.0	0.0	0.0783	0
ARID1A	2	2	0	0	0.0	0.0001	0.0115	0
MALT1	2	2	0	0	0.0	0.0001	0.0115	0
SOX17	1	1	0	0	0.0	0.0	0.0077	0
ARID5B	1	1	0	0	0.0	0.0	0.0115	0
NTRK1	4	2	2	0	0.5	0.0003	0.0168	0
ASXL1	1	1	0	0	0.0	0.0	0.0051	0
FOXO1	1	1	0	0	0.0	0.0	0.0051	0
ATR	1	1	0	0	0.0	0.0	0.0863	0
PTPRD	6	6	0	0	0.0	0.0392	0.1032	0
AXIN2	4	3	1	0	0.375	0.019	0.0931	0
CCND2	8	2	6	0	0.375	0.0212	0.1046	0
CD79B	2	1	1	0	0.5	0.0	0.0792	0
XPO1	2	2	0	0	0.0	0.0123	0.0859	0
B2M	1	1	0	0	0.0	0.0	0.0763	0
PAK7	3	3	0	0	0.0	0.0101	0.0892	0
BCL2	1	0	1	0	0.0	0.0	0.0876	0
CDKN2B	8	0	8	0	0.0	0.0111	0.105	0
BRCA1	2	2	0	0	0.0	0.0053	0.0787	0
IRS1	1	1	0	0	0.0	0.0	0.0685	0
RPTOR	2	2	0	0	0.0	0.0106	0.0921	0
BRCA2	1	1	0	0	0.0	0.0	0.0051	0
REL	1	1	0	0	0.0	0.0	0.0051	0
CBL	1	1	0	0	0.0	0.0	0.088	0
PDGFRA	2	2	0	0	0.0	0.0053	0.1057	0
CCND1	4	1	3	0	0.375	0.0	0.0621	0
FGF19	4	1	3	0	0.375	0.0	0.0621	0
FGF3	4	1	3	0	0.375	0.0	0.0621	0
FGF4	6	2	4	0	0.4444	0.0157	0.0702	0
CDKN1B	11	1	10	0	0.1653	0.1184	0.1215	0
ETV6	8	0	8	0	0.0	0.0064	0.1063	0
H3F3C	6	0	6	0	0.0	0.0036	0.104	0
KDM5A	5	1	4	0	0.32	0.0	0.1009	0
RAD52	6	0	6	0	0.0	0.0	0.1014	0
RECQL	6	0	6	0	0.0	0.0	0.1014	0
