Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Rap1 signaling pathway	8/210	8.886682775156716e-08	1.6757744661724094e-06	PDGFRB;FLT1;FLT4;HGF;FGF19;PRKD1;FGFR3;FGF3
0	GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	7/140	9.530342371781623e-08	1.4268284008038773e-05	PDGFRB;PTPRD;FLT1;ERBB4;FLT4;EPHB1;FGFR3
0	KEGG_2021_Human	Gastric cancer	7/149	1.4605486292902856e-07	2.409905238328971e-06	RB1;HGF;FGF19;AXIN2;TP53;FGF3;MTOR
0	Reactome_Pathways_2024	MAPK Family Signaling Cascades	9/314	1.478116017397885e-07	6.091949585989854e-06	PDGFRB;XPO1;ERBB4;HGF;RASA1;FGF19;NF1;FGFR3;FGF3
0	Reactome_Pathways_2024	DNA Double-Strand Break Repair	7/152	1.673691207829939e-07	6.424498872566276e-06	BABAM1;MDC1;SLX4;FAM175A;BRCA1;TP53;ATR
0	Reactome_Pathways_2024	Intracellular Signaling by Second Messengers	9/321	1.78149015530434e-07	6.424498872566276e-06	PDGFRB;ERBB4;HGF;FGF19;TP53;ESR1;FGFR3;FGF3;MTOR
0	KEGG_2021_Human	Calcium signaling pathway	8/240	2.473466238498538e-07	3.627750483131189e-06	PDGFRB;FLT1;ERBB4;FLT4;HGF;FGF19;FGFR3;FGF3
0	GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	7/161	2.477096554241895e-07	3.244996486056882e-05	PDGFRB;ERBB4;HGF;FGF19;ESR1;FGFR3;FGF3
0	Reactome_Pathways_2024	RNA Polymerase II Transcription	16/1360	3.416447178600213e-07	1.1595823659131308e-05	RB1;NOTCH2;MDC1;KMT2C;KMT2B;BRCA1;ESR1;MTOR;MED12;CCND2;XPO1;NCOR1;ERCC3;PGR;TP53;ATR
0	Reactome_Pathways_2024	Signal Transduction	22/2613	3.804237160097034e-07	1.2194693563199938e-05	PDGFRB;AMER1;NOTCH2;FLT1;FLT4;HGF;TNFAIP3;AXIN2;ESR1;FGF3;MTOR;CYLD;XPO1;NCOR1;ERBB4;RASA1;FGF19;NUF2;NF1;PGR;TP53;FGFR3
0	GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	5/56	4.083354752220283e-07	4.75483975591873e-05	PDGFRB;FLT1;ERBB4;FLT4;FGFR3
0	GO_Molecular_Function_2021	protein tyrosine kinase activity (GO:0004713)	6/108	4.509223254595668e-07	2.149396418023935e-05	PDGFRB;FLT1;ERBB4;FLT4;EPHB1;FGFR3
0	Reactome_Pathways_2024	Cell Cycle Checkpoints	8/261	4.678969609969374e-07	1.387857613464264e-05	BABAM1;MDC1;XPO1;NUF2;FAM175A;BRCA1;TP53;ATR
0	Reactome_Pathways_2024	Cellular Responses to Stimuli	13/887	4.810598313567639e-07	1.387857613464264e-05	RB1;AMER1;MAP2K4;DIS3;FLT4;BRCA1;ESR1;MTOR;XPO1;NCOR1;PGR;TP53;ATR
0	GO_Biological_Process_2021	positive regulation of phospholipase activity (GO:0010518)	4/24	4.84388052643515e-07	5.076386791704037e-05	PDGFRB;FLT1;ESR1;FGFR3
0	Reactome_Pathways_2024	RAF MAP Kinase Cascade	8/265	5.249740801792835e-07	1.4424287822068883e-05	PDGFRB;ERBB4;HGF;RASA1;FGF19;NF1;FGFR3;FGF3
0	Reactome_Pathways_2024	Recruitment and ATM-med Phosphorylation of Repair and Signaling Proteins at DNA Double Strand Breaks	5/60	5.790838605870985e-07	1.5134264638625214e-05	BABAM1;MDC1;FAM175A;BRCA1;TP53
0	GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	9/371	6.010318272275549e-07	5.4210890096687976e-05	CCND2;ERBB4;FLT4;HGF;FGF19;AXIN2;PRKD1;TP53;FGF3
0	GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	6/114	6.207353827865036e-07	5.4210890096687976e-05	PDGFRB;FLT1;ERBB4;FLT4;EPHB1;FGFR3
0	Reactome_Pathways_2024	MAPK1 MAPK3 Signaling	8/271	6.217298618507986e-07	1.5134264638625214e-05	PDGFRB;ERBB4;HGF;RASA1;FGF19;NF1;FGFR3;FGF3
0	Reactome_Pathways_2024	DNA Double Strand Break Response	5/61	6.295014754367506e-07	1.5134264638625214e-05	BABAM1;MDC1;FAM175A;BRCA1;TP53
0	Reactome_Pathways_2024	TP53 Regulates Transcription of DNA Repair Genes	5/62	6.833246281676784e-07	1.526360462697716e-05	MDC1;ERCC3;BRCA1;TP53;ATR
0	Reactome_Pathways_2024	HDR Through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	6/116	6.877880767788668e-07	1.526360462697716e-05	BABAM1;MDC1;SLX4;FAM175A;BRCA1;ATR
0	KEGG_2021_Human	Thyroid hormone signaling pathway	6/121	8.81744284197585e-07	1.1639024551408122e-05	MED12;NOTCH2;NCOR1;TP53;ESR1;MTOR
0	Reactome_Pathways_2024	Homology Directed Repair	6/122	9.254441809635228e-07	1.955572438239556e-05	BABAM1;MDC1;SLX4;FAM175A;BRCA1;ATR
0	GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	4/28	9.259252662015542e-07	7.464382145994068e-05	PDGFRB;FLT1;PRKD1;FGFR3
0	Reactome_Pathways_2024	Cellular Responses to Stress	12/787	9.489779596309804e-07	1.955572438239556e-05	RB1;AMER1;MAP2K4;XPO1;NCOR1;DIS3;PGR;BRCA1;TP53;ESR1;MTOR;ATR
0	GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	5/69	1.1699275284784291e-06	8.309287679456245e-05	PDGFRB;FLT1;ERBB4;FLT4;FGFR3
0	GO_Biological_Process_2021	positive regulation of lipid kinase activity (GO:0090218)	4/30	1.2343718066518857e-06	8.309287679456245e-05	PDGFRB;FLT1;PRKD1;FGFR3
0	GO_Biological_Process_2021	DNA repair (GO:0006281)	8/298	1.2693888964073352e-06	8.309287679456245e-05	BABAM1;RECQL4;MDC1;SLX4;ERCC3;BRCA1;TP53;ATR
0	GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	7/207	1.347880635026299e-06	8.309287679456245e-05	PDGFRB;ERBB4;HGF;FGF19;ESR1;FGFR3;FGF3
0	GO_Biological_Process_2021	MAPK cascade (GO:0000165)	8/303	1.4375476663353858e-06	8.36972196844158e-05	PDGFRB;ERBB4;HGF;RASA1;FGF19;NF1;FGFR3;FGF3
0	Reactome_Pathways_2024	Nuclear Signaling by ERBB4	4/32	1.6132439327112192e-06	3.209799135084047e-05	NCOR1;ERBB4;PGR;ESR1
0	Reactome_Pathways_2024	Epigenetic Regulation by WDR5-containing Histone Modifying Complexes	6/135	1.6744113784671569e-06	3.220451217918498e-05	RB1;MED12;NCOR1;KMT2C;KMT2B;KDM6A
0	GO_Biological_Process_2021	positive regulation of protein modification process (GO:0031401)	7/214	1.6825020295009618e-06	9.280326983773724e-05	CCND2;ERBB4;FLT4;HGF;FGF19;AXIN2;FGF3
0	KEGG_2021_Human	MicroRNAs in cancer	8/310	1.704668887202508e-06	2.0456026646430093e-05	PDGFRB;NOTCH2;CCND2;DNMT3A;BRCA1;TP53;FGFR3;MTOR
0	Reactome_Pathways_2024	DNA Repair	8/312	1.7883447151362994e-06	3.2896088837023944e-05	BABAM1;MDC1;SLX4;ERCC3;FAM175A;BRCA1;TP53;ATR
0	Reactome_Pathways_2024	G2 M Checkpoints	6/137	1.8243931417413629e-06	3.2896088837023944e-05	BABAM1;MDC1;FAM175A;BRCA1;TP53;ATR
0	KEGG_2021_Human	Human T-cell leukemia virus 1 infection	7/219	1.961919096320476e-06	2.158111005952524e-05	RB1;MAP2K4;CCND2;XPO1;B2M;TP53;ATR
0	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	14/1183	2.072012987820312e-06	0.00010857348056178434	EPAS1;HGF;KMT2C;KMT2B;BRCA1;ESR1;MTOR;MED12;ERBB4;NSD1;PGR;PRKD1;TP53;BRD4
0	GO_Cellular_Component_2021	nucleus (GO:0005634)	28/4484	2.1688987197144e-06	0.00017134299885743757	RB1;NOTCH2;MDC1;KMT2C;KMT2B;INPPL1;TNFAIP3;BRCA1;BABAM1;MED12;RECQL4;CCND2;XPO1;ERBB4;NSD1;SF3B1;KDM6A;BRD4;PDGFRB;DNMT3A;AXIN2;ESR1;MTOR;NCOR1;ERCC3;NF1;TP53;ATR
0	GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	4/35	2.3349431338000573e-06	0.00011652478115345048	PDGFRB;FLT1;PRKD1;FGFR3
0	Reactome_Pathways_2024	Processing of DNA Double-Strand Break Ends	5/80	2.447001456634692e-06	4.278544971146112e-05	BABAM1;MDC1;FAM175A;BRCA1;ATR
0	KEGG_2021_Human	Human papillomavirus infection	8/331	2.774126617884985e-06	2.816805488929369e-05	RB1;PDGFRB;NOTCH2;CCND2;AXIN2;TP53;MTOR;ATR
0	GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	6/148	2.858618064167862e-06	0.00013617416960217814	PDGFRB;FLT1;ERBB4;FLT4;EPHB1;FGFR3
0	GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	7/238	3.403884739758732e-06	0.00015509874814205007	PDGFRB;NOTCH2;ERBB4;FLT4;FGF19;EPHB1;FGFR3
0	Reactome_Pathways_2024	SUMO E3 Ligases SUMOylate Target Proteins	6/170	6.359705308845321e-06	0.00010792794009422793	MDC1;DNMT3A;PGR;BRCA1;TP53;ESR1
0	GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	9/496	6.508276899376678e-06	0.0002841947579394483	PDGFRB;FLT1;ERBB4;FLT4;PRKD1;EPHB1;FGFR3;MTOR;ATR
0	GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	6/172	6.801128552412688e-06	0.0002851033089171399	PDGFRB;NOTCH2;ERBB4;FLT4;FGF19;FGFR3
0	Reactome_Pathways_2024	SUMOylation	6/176	7.758693975718116e-06	0.00012578821049033108	MDC1;DNMT3A;PGR;BRCA1;TP53;ESR1
0	Reactome_Pathways_2024	Cell Cycle	10/649	7.960790970730276e-06	0.00012578821049033108	RB1;BABAM1;MDC1;CCND2;XPO1;NUF2;FAM175A;BRCA1;TP53;ATR
0	GO_Biological_Process_2021	regulation of phospholipase C activity (GO:1900274)	3/15	8.27289758677127e-06	0.0003326928696199645	PDGFRB;FLT1;ESR1
0	Reactome_Pathways_2024	Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes	5/103	8.502149409225151e-06	0.00012578821049033108	RB1;MED12;NCOR1;KMT2C;KDM6A
0	Reactome_Pathways_2024	Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes	5/103	8.502149409225151e-06	0.00012578821049033108	RB1;MED12;NCOR1;KMT2C;KDM6A
0	Reactome_Pathways_2024	MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis	5/103	8.502149409225151e-06	0.00012578821049033108	RB1;MED12;NCOR1;KMT2C;KDM6A
0	GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	7/274	8.571285763109773e-06	0.0003326928696199645	PDGFRB;NOTCH2;FLT1;ERBB4;FLT4;FGF19;FGFR3
0	GO_Biological_Process_2021	regulation of JNK cascade (GO:0046328)	5/105	9.339938550803072e-06	0.00034958055718720067	CYLD;NCOR1;FLT4;FGF19;EPHB1
0	Reactome_Pathways_2024	Nonhomologous End-Joining (NHEJ)	4/51	1.0793427602625617e-05	0.0001556951931678745	BABAM1;MDC1;FAM175A;BRCA1
0	GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	29/5192	1.2898070201270331e-05	0.0005094737729501781	RB1;AMER1;NOTCH2;MDC1;KMT2C;KMT2B;INPPL1;TNFAIP3;BRCA1;BABAM1;MED12;RECQL4;CCND2;XPO1;ERBB4;NSD1;SF3B1;KDM6A;BRD4;PDGFRB;DNMT3A;AXIN2;ESR1;MTOR;NCOR1;ERCC3;NF1;TP53;ATR
0	GO_Biological_Process_2021	regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	3/18	1.4751882567420537e-05	0.0005331025148502318	NCOR1;ESR1;TP53
0	GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	4/56	1.570597750050366e-05	0.0005486621473509278	FLT1;FLT4;RASA1;NF1
0	KEGG_2021_Human	Epstein-Barr virus infection	6/202	1.69992509315377e-05	0.0001602786516402126	RB1;MAP2K4;CCND2;TNFAIP3;B2M;TP53
0	Reactome_Pathways_2024	Signaling by ERBB4	4/58	1.8070222384120696e-05	0.00025430532477164976	NCOR1;ERBB4;PGR;ESR1
0	GO_Biological_Process_2021	mitotic DNA damage checkpoint signaling (GO:0044773)	4/59	1.934574769243699e-05	0.0006540110832798053	BABAM1;MDC1;BRCA1;TP53
