Metodo	K	Modularity	Silhouette	NMI vs Louvain	Tempo (s)
Louvain	8	0.5934	0.15	1.0	0.0
Leiden	8	0.5934	0.15	1.0	0.0
Girvan-Newman	9	0.5718	0.1658	0.8002	0.08
Infomap	10	0.5901	0.1872	0.8166	0.03
