Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
ABL1	34	0.7285104253523217	-0.16301722235850233	1.0	1.0
AC008738.1	0	1.0	-10.0	1.0	1.0
ACVR1	9	0.9168583007642426	-0.6866491353932929	1.0	1.0
AGO2	23	0.9646733971907461	-0.618333958720499	1.0	1.0
AKT1	22	0.8968389666464816	-0.43791396620703876	1.0	1.0
AKT2	11	0.8165904443806657	-0.3942484449291283	1.0	1.0
AKT3	7	0.9952990089908975	-1.3946637090945615	1.0	1.0
ALB	8	0.5453916193891759	0.07786569232827097	1.0	1.0
ALK	45	0.9605138991624169	-0.4545658634654813	1.0	1.0
ALOX12B	20	0.722659400440119	-0.1897941071784154	1.0	1.0
AMER1	128	3.195136020617898e-11	1.4545440147270434	1.635909642556364e-08	1.635909642556364e-08
ANKRD11	66	0.9438715559339511	-0.3503587075267976	1.0	1.0
APC	805	8.555139608705923e-08	0.7441964377337921	1.4600771598858108e-05	1.4600771598858108e-05
APLNR	2	0.9515988932454157	-1.4129199568770674	1.0	1.0
AR	44	0.9741776026608474	-0.5075646222611168	1.0	1.0
ARAF	20	0.9446678556683973	-0.5783438500696327	1.0	1.0
ARHGAP35	13	0.9717111393823135	-0.821478251030574	1.0	1.0
ARID1A	128	0.9833753794046702	-0.3590841662478929	1.0	1.0
ARID1B	64	0.9848323016921147	-0.4822401764989614	1.0	1.0
ARID2	46	0.9321807720170926	-0.3825205040295365	1.0	1.0
ARID5B	25	0.8411712689796372	-0.3234786909373502	1.0	1.0
ASXL1	50	0.9863463897475684	-0.5439810972395204	1.0	1.0
ASXL2	29	0.6198288062894977	-0.06672087659740698	1.0	1.0
ATM	92	0.6169248686718525	-0.04742933460040246	1.0	1.0
ATR	39	0.8506630157069283	-0.28159563937088	1.0	1.0
ATRX	48	0.8314673860484859	-0.23755623712388557	1.0	1.0
ATXN7	15	0.7317384759118044	-0.22103357937812268	1.0	1.0
AURKA	6	0.9451906930409728	-0.9305031528304691	1.0	1.0
AURKB	9	0.7232828182656736	-0.24057636563022278	1.0	1.0
AXIN1	25	0.9995744649153144	-1.061459654669521	1.0	1.0
AXIN2	50	0.9566198103053064	-0.4241750204296724	1.0	1.0
AXL	40	0.7722396464579052	-0.19399555005859015	1.0	1.0
B2M	42	0.9503763884016359	-0.4391994422035933	1.0	1.0
BABAM1	7	0.7237911785902411	-0.2548213509852658	1.0	1.0
BAP1	23	0.10988644595278696	0.6122661813284931	1.0	1.0
BARD1	22	0.7644131859847574	-0.23438923496427333	1.0	1.0
BBC3	8	0.6917121361250704	-0.18735959477833308	1.0	1.0
BCL10	7	0.9803317385862608	-1.1272106319937627	1.0	1.0
BCL2	5	0.8895981353329273	-0.743130686688629	1.0	1.0
BCL2L1	4	0.8357554318948379	-0.6037836763663648	1.0	1.0
BCL2L11	7	0.782943298295126	-0.38144808959039755	1.0	1.0
BCL6	13	0.9220157412416626	-0.6105883083966507	1.0	1.0
BCOR	65	0.258006240175252	0.18487589690470424	1.0	1.0
BIRC3	10	0.6957298860202497	-0.18776099422646525	1.0	1.0
BLM	28	0.9960577640392062	-0.8240293793689879	1.0	1.0
BMPR1A	21	0.7054988045976973	-0.166359959734327	1.0	1.0
BRAF	29	1.0	-3.1320825911479737	1.0	1.0
BRCA1	33	0.8457172122311633	-0.2950227655408676	1.0	1.0
BRCA2	51	0.9966262042034512	-0.6563759593025383	1.0	1.0
BRD4	46	0.9098178225041235	-0.3427393312277046	1.0	1.0
BRIP1	23	0.8132820784013769	-0.2941326296039862	1.0	1.0
BTK	12	0.9154056717012143	-0.6098245611999337	1.0	1.0
C1orf147	0	1.0	-10.0	1.0	1.0
CALR	8	0.5453916193891759	0.07786569232827097	1.0	1.0
CARD11	68	0.7002769255853009	-0.10569446642968994	1.0	1.0
CARM1	9	0.9525393386154225	-0.8332450008782752	1.0	1.0
CASP8	40	0.9986276667016495	-0.796216943415275	1.0	1.0
CBFB	2	0.9813977691880283	-1.7776759382570586	1.0	1.0
CBL	14	0.7060307623745872	-0.18856898245409692	1.0	1.0
CCND1	5	0.8895981353329273	-0.743130686688629	1.0	1.0
CCND2	6	0.3192942059164355	0.665405493276477	1.0	1.0
