Gene1	Gene2	Shared_Count	P_Value	Log2OR	FDR
KRAS	TP53	1103	4.9007205562448685e-48	3.335507532100442	2.8664314533476237e-44
DAXX	MEN1	19	1.1338495440871877e-22	6.305260688509537	3.3159429916829805e-19
CDKN2A	TP53	320	1.564788966969112e-16	1.8466350042578998	3.0508168892674455e-13
ATRX	MEN1	14	3.7592462926180207e-14	5.092169843927867	5.4969578913807006e-11
DAXX	TSC2	11	5.356537667418087e-13	5.572131751386659	6.266077763345679e-10
MEN1	TSC2	12	8.165883860909683e-11	4.457861936140061	7.960375783743455e-08
CDKN2A	KRAS	343	3.264797617422131e-07	1.5843942196877365	0.0002727971609186007
ANKRD11	MDC1	4	3.7975140299874597e-07	7.2379497022480095	0.00027764574451745813
PIK3C2G	TP53BP1	4	4.454302002352304e-07	6.988230223060457	0.00028948013790842914
POLD1	ZFHX3	4	7.393928836624168e-07	6.955108542501296	0.0004324708976541476
MSH2	TP53BP1	3	1.2121697749194802e-06	8.639340708652231	0.0006445437285003673
ERF	ZFHX3	4	1.4662256953198991e-06	6.539158811108031	0.0006460185859558975
MEN1	PTEN	7	1.5625220502082357e-06	4.194522365183066	0.0006460185859558975
INPPL1	MSH2	3	1.7300464485494977e-06	8.416043492654024	0.0006460185859558975
CARD11	MSH2	3	1.7300464485494977e-06	8.416043492654024	0.0006460185859558975
ANKRD11	APC	5	1.7671905240715266e-06	5.239873879004877	0.0006460185859558975
FGFR4	TP53BP1	3	2.417529619706064e-06	8.053473413269316	0.0008317723968035745
INPPL1	NOTCH3	4	2.8174322848936e-06	6.134768556028696	0.0009155089685745926
CIC	CREBBP	4	3.481329928952835e-06	6.011911808243163	0.0010716999344444805
MDC1	TP53BP1	3	4.218789237759016e-06	7.63753055152531	0.0012337849125826244
MSH2	NOTCH1	3	6.5290049159845104e-06	7.633903409348519	0.0018184833215996858
ANKRD11	ROS1	4	7.437605729916065e-06	5.647515532360321	0.001931537110136543
TGFBR1	ZFHX3	6	7.778037201981039e-06	4.146841388329271	0.001931537110136543
DOT1L	WHSC1L1	3	8.18485637473169e-06	7.312882955284356	0.001931537110136543
CIC	MDC1	3	8.255843349874093e-06	7.220680621052204	0.001931537110136543
ANKRD11	PREX2	5	9.76442519498773e-06	4.647550673332466	0.0021246608077376576
KMT2D	MSH2	4	9.807803352524663e-06	6.733541351443162	0.0021246608077376576
JAK2	KDM5C	3	1.0987128414146268e-05	7.049848549450561	0.002295132646226483
ARID2	LATS2	4	1.2452158491892596e-05	5.510778498637517	0.0023302998189816894
NOTCH3	PREX2	5	1.3085822604113649e-05	4.5397127351082665	0.0023302998189816894
INSR	KDR	3	1.3159857996231453e-05	6.897845456005512	0.0023302998189816894
IGF1R	NOTCH3	3	1.3852348714732571e-05	7.215229625747925	0.0023302998189816894
KMT2A	MSH2	3	1.3852348714732571e-05	7.215229625747925	0.0023302998189816894
AR	TOP1	3	1.4256445793463276e-05	6.896937815182313	0.0023302998189816894
DOT1L	JAK2	3	1.4256445793463276e-05	6.896937815182313	0.0023302998189816894
CARD11	TP53BP1	3	1.4342758331909868e-05	6.827456128114114	0.0023302998189816894
PIK3C2G	POLD1	3	1.8110482722331127e-05	6.758526079226817	0.002716108036997814
MDC1	PIK3C2G	3	1.8110482722331127e-05	6.758526079226817	0.002716108036997814
AMER1	AXL	3	1.8110482722331127e-05	6.758526079226817	0.002716108036997814
MSH2	ZFHX3	3	1.8977203785818127e-05	7.043483039416025	0.002774152099585811
PIK3C2G	ZFHX3	4	1.992039462858678e-05	5.211745177136939	0.002774152099585811
ALK	ZFHX3	4	1.992039462858678e-05	5.211745177136939	0.002774152099585811
EPHA7	PTPRS	4	2.2487140644232754e-05	5.225150042515436	0.0030180190425351766
DOT1L	ERF	3	2.2703511347503466e-05	6.574101508089389	0.0030180190425351766
NOTCH1	ZFHX3	4	2.693320333468451e-05	5.07332536561985	0.003413202235076834
FAT1	WHSC1L1	3	2.7497303348151687e-05	6.6293566200796095	0.003413202235076834
EPHA7	INPPL1	3	2.7988702529908268e-05	6.41060277580651	0.003413202235076834
AXIN1	ERF	3	2.8827549514399943e-05	6.435689200031678	0.003413202235076834
EP300	NTRK1	3	2.8827549514399943e-05	6.435689200031678	0.003413202235076834
AXIN1	BRAF	4	2.9177656309427542e-05	5.0494473470847385	0.003413202235076834
BCOR	BRCA2	6	3.4810021254195656e-05	3.671492464447307	0.003992231653250792
ERF	NOTCH1	3	3.594982128953109e-05	6.309248960816616	0.004043663552355141
KRAS	SMAD4	313	3.7588681574587696e-05	1.258824225329024	0.004148230160938933
ANKRD11	NOTCH3	4	3.865292379444027e-05	4.905057437749564	0.004186684282845948
CREBBP	MDC1	3	4.02948344832848e-05	6.307428525192248	0.004285172488958777
KMT2A	RECQL4	3	4.776006097877909e-05	6.213408040858337	0.004728267183669537
MDC1	NOTCH3	3	4.776006097877909e-05	6.213408040858337	0.004728267183669537
ARID1B	CREBBP	4	4.797724208688604e-05	4.8110305802010025	0.004728267183669537
PARK2	ROS1	3	4.819574450291221e-05	6.086856539480168	0.004728267183669537
ALK	SETD2	4	4.8522158169502405e-05	4.83518913025433	0.004728267183669537
BCOR	CIC	4	4.9864117648242076e-05	4.897701424153858	0.004728267183669537
BCOR	ZFHX3	5	5.016375267601664e-05	4.067573444745983	0.004728267183669537
EPHA7	SPEN	3	5.092850616706801e-05	6.046214554982822	0.004728267183669537
KMT2B	TP53BP1	3	5.362179099440907e-05	6.045304624305613	0.004900528992598417
ARID2	PIK3C2G	4	5.667441734051902e-05	4.770139586023722	0.005099825646533781
MSH2	TSC2	3	6.353370088204961e-05	6.396910534079239	0.005456814048474398
ANKRD11	ERF	3	6.401922157490695e-05	5.984589350362456	0.005456814048474398
CREBBP	FANCA	3	6.401922157490695e-05	5.984589350362456	0.005456814048474398
JAK2	ZFHX3	3	6.53063743192354e-05	6.041659151637215	0.005456814048474398
PDGFRB	ZFHX3	3	6.53063743192354e-05	6.041659151637215	0.005456814048474398
BRCA2	MSH2	3	7.003974012000392e-05	6.34536700785219	0.005769893520590183
APC	FLT1	4	7.390937266756524e-05	4.622195406920132	0.005921861927843686
KMT2A	ZFHX3	4	7.390937266756524e-05	4.622195406920132	0.005921861927843686
BARD1	PARP1	2	7.730068716868564e-05	8.472126691485665	0.006028422923328564
MSH2	RECQL	2	7.730068716868564e-05	8.472126691485665	0.006028422923328564
ALK	CIC	3	8.363244111086332e-05	5.754887502163468	0.006406510883923298
BCOR	MSH2	3	8.433943205028106e-05	6.24731503411327	0.006406510883923298
ARID1B	TBX3	3	8.901842952240405e-05	5.802193216941825	0.006590744231348623
ARID1B	INSR	3	8.901842952240405e-05	5.802193216941825	0.006590744231348623
CREBBP	TP53BP1	3	9.535481170092937e-05	5.720643288864274	0.006841930863424561
ANKRD11	TP53BP1	3	9.535481170092937e-05	5.720643288864274	0.006841930863424561
MAP3K1	STK11	3	0.00010223125594542465	5.919780107366394	0.006841930863424561
APC	ERF	3	0.00010361046349358476	5.718818247455947	0.006841930863424561
NOTCH1	PGR	3	0.00010414819627521903	5.628445540137181	0.006841930863424561
AR	BCOR	4	0.00010482905645742574	4.533286465948834	0.006841930863424561
FLT1	TP53BP1	3	0.00011291448315142952	5.626621652358371	0.006841930863424561
AR	ROS1	3	0.00011325942911415492	5.569551851083613	0.006841930863424561
B2M	PLCG2	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
HNF1A	PIK3CD	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
CCND2	MSH2	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
FGFR4	MSH2	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
MSH2	WHSC1L1	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
ARAF	CSF3R	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
ARHGAP35	IGF1R	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
B2M	GATA2	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
BARD1	HIST1H1C	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
RARA	UPF1	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
AGO2	FUBP1	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
MSH2	NKX2-1	2	0.00011580631825594658	8.056186096690077	0.006841930863424561
MDC1	SETD2	3	0.00012646752002941293	5.6834523641205195	0.007397085246520363
ANKRD11	INPPL1	3	0.0001352650122747113	5.497338635413405	0.007743024919584759
BLM	PBRM1	3	0.00013731667697956066	5.56498780095989	0.007743024919584759
BRCA2	CCND2	3	0.0001381804433942189	5.759486470166624	0.007743024919584759
ARID2	POLD1	3	0.00014200739072401297	5.621136113274641	0.007743024919584759
ALK	ROS1	3	0.00014347270251409904	5.431136671669289	0.007743024919584759
BRCA2	NOTCH1	4	0.00015225207469796344	4.3433155223047635	0.007743024919584759
TP53BP1	ZFHX3	3	0.00015410730195455425	5.454870454417924	0.007743024919584759
APC	TP53BP1	3	0.00015410730195455425	5.454870454417924	0.007743024919584759
RNF43	ZFHX3	7	0.00015589398836769787	3.0204364940775283	0.007743024919584759
CARD11	FLT1	3	0.00016009893352280212	5.403316421728017	0.007743024919584759
HNF1A	KMT2C	3	0.0001605752600633036	5.908739020000887	0.007743024919584759
MDC1	MSH2	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
MSH2	POLD1	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
MSH2	RECQL4	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
MDC1	RECQL	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
IGF1R	MDC1	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
B2M	RECQL4	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
IGF1R	NOTCH4	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
HNF1A	MDC1	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
BRD4	IGF1R	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
JAK2	UPF1	2	0.00016192643789071334	7.733354340613827	0.007743024919584759
FLT4	ZFHX3	4	0.00016317587002098244	4.277478142597116	0.007743024919584759
BCOR	PLCG2	3	0.00016623471858186488	5.661433326581222	0.007743024919584759
KDM5C	RICTOR	3	0.00016923190741166598	5.341219433496122	0.007743024919584759
GATA2	PLCG2	2	0.0001734204589614641	7.640244936222346	0.007743024919584759
FGFR4	WT1	2	0.0001734204589614641	7.640244936222346	0.007743024919584759
FGFR4	GATA2	2	0.0001734204589614641	7.640244936222346	0.007743024919584759
AGO2	WHSC1L1	2	0.0001734204589614641	7.640244936222346	0.007743024919584759
PIK3R2	WHSC1L1	2	0.0001734204589614641	7.640244936222346	0.007743024919584759
GATA2	WT1	2	0.0001734204589614641	7.640244936222346	0.007743024919584759
ARHGAP35	MAP3K1	2	0.0001734204589614641	7.640244936222346	0.007743024919584759
MDC1	PREX2	3	0.00017673051523324392	5.503825737995751	0.007772156267663487
NOTCH4	PREX2	3	0.00017673051523324392	5.503825737995751	0.007772156267663487
DOT1L	NOTCH1	3	0.00017850010930126203	5.304693557471008	0.007791396561963296
MEN1	SETD2	6	0.0001840071371406643	3.1984941536390834	0.007884788985838784
ANKRD11	EPHA7	3	0.00018468389315437058	5.303780748177103	0.007884788985838784
ANKRD11	CIC	3	0.00018468389315437058	5.303780748177103	0.007884788985838784
PBRM1	TP53BP1	3	0.0002040489309044857	5.301038849903148	0.0085263726333077
ERF	MSH2	2	0.0002156322932752885	7.46941570720992	0.0085263726333077
BLM	HNF1A	2	0.0002156322932752885	7.46941570720992	0.0085263726333077
IGF1R	IRS1	2	0.0002156322932752885	7.46941570720992	0.0085263726333077
INSR	MSH2	2	0.0002156322932752885	7.46941570720992	0.0085263726333077
ERF	UPF1	2	0.0002156322932752885	7.46941570720992	0.0085263726333077
CBL	IRS1	2	0.0002156322932752885	7.46941570720992	0.0085263726333077
HNF1A	TBX3	2	0.0002156322932752885	7.46941570720992	0.0085263726333077
APC	INPPL1	3	0.00021830003577411202	5.231564067234698	0.0085263726333077
