Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	8	1.0	1.0	1.0	0
POT1	1	0.125	0.0	0.5333	0
STK11	1	0.125	0.0	0.5333	0
RET	1	0.125	0.0	0.5333	0
SF3B1	1	0.125	0.0	0.5333	0
ARHGAP35	1	0.125	0.0	0.5333	0
NF2	1	0.125	0.0	0.5333	0
PRDM1	1	0.125	0.0	0.5333	0
SOX17	1	0.125	0.0	0.5333	0
