Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	22	1.0	0.3542	1.0	0.329
PIK3CA	19	0.8636	0.1593	0.88	0.386
EP300	16	0.7273	0.0454	0.7857	0.5833
PTPRD	14	0.6364	0.0322	0.7333	0.6484
PTEN	14	0.6364	0.027	0.7333	0.6593
ATRX	13	0.5909	0.0167	0.7097	0.7179
DNMT3B	12	0.5455	0.0084	0.6875	0.803
AMER1	11	0.5	0.0117	0.6667	0.7273
SMAD2	10	0.4545	0.0118	0.6471	0.8
NBN	9	0.4091	0.0017	0.6286	0.9167
SMAD3	8	0.3636	0.0004	0.6111	0.9643
SESN3	8	0.3636	0.0014	0.6111	0.9286
NEGR1	7	0.3182	0.0	0.5946	1.0
FOXP1	6	0.2727	0.0004	0.5789	0.9333
ERCC3	6	0.2727	0.0	0.5789	1.0
FLCN	5	0.2273	0.0004	0.5641	0.9
PMS2	4	0.1818	0.0	0.55	1.0
NFE2L2	3	0.1364	0.0	0.5366	1.0
GNAS	3	0.1364	0.0	0.5366	1.0
U2AF1	2	0.0909	0.0	0.5238	1.0
HLA-A	2	0.0909	0.0	0.5238	1.0
CDKN2C	1	0.0455	0.0	0.5116	0.0
SYK	1	0.0455	0.0	0.5116	0.0
