Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	86	767	1	0.21	17.84	0.098	0.505	4	3.88
1	67	516	1	0.233	15.4	0.125	0.578	4	3.45
2	64	644	1	0.319	20.12	0.187	0.755	4	3.55
3	60	455	1	0.257	15.17	0.232	0.651	3	3.62
4	3	2	1	0.667	1.33	0.0	0.0	2	18.5
