Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	phosphatidylinositol 3-kinase signaling (GO:0014065)	4/34	9.372155849730614e-09	5.838853094382172e-06	0	0	241.87878787878788	4471.255820872826	PIK3CA;PTEN;NF1;PIK3CG
KEGG_2021_Human	Endometrial cancer	4/58	8.484217673550293e-08	5.547099470922884e-06	0	0	134.21548821548822	2185.360069845924	TCF7L2;PIK3CA;PTEN;CTNNB1
KEGG_2021_Human	Human papillomavirus infection	6/331	8.667342923317007e-08	5.547099470922884e-06	0	0	40.32820512820513	655.7817211927442	TCF7L2;PIK3CA;PTEN;CTNNB1;ATM;ATR
GO_Biological_Process_2021	phosphatidylinositol-mediated signaling (GO:0048015)	4/71	1.931920812357409e-07	6.017933330493328e-05	0	0	108.10312075983718	1671.2289412967928	PIK3CA;PTEN;NF1;PIK3CG
KEGG_2021_Human	Prostate cancer	4/97	6.810788975518571e-07	2.9059366295545904e-05	0	0	77.77908113391985	1104.4308823920642	TCF7L2;PIK3CA;PTEN;CTNNB1
GO_Biological_Process_2021	beta-catenin-TCF complex assembly (GO:1904837)	3/29	1.232491854927866e-06	0.00025594747520668685	0	0	191.91346153846155	2611.2652444082614	KMT2D;TCF7L2;CTNNB1
GO_Biological_Process_2021	positive regulation of telomere maintenance via telomerase (GO:0032212)	3/33	1.8370028912854304e-06	0.0002861132003177058	0	0	166.29166666666666	2196.276430610915	CTNNB1;ATM;ATR
GO_Biological_Process_2021	positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	3/36	2.400758251290526e-06	0.00029913447811079954	0	0	151.15151515151516	1955.8591803382783	CTNNB1;ATM;ATR
KEGG_2021_Human	Breast cancer	4/147	3.5902792528446823e-06	0.00011488893609102983	0	0	50.45645263827082	632.5867034029925	TCF7L2;PIK3CA;PTEN;CTNNB1
Reactome_2022	Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402	3/42	3.849648901970577e-06	0.000711091684601019	0	0	127.85897435897436	1594.085420624933	KMT2D;TCF7L2;CTNNB1
KEGG_2021_Human	Cellular senescence	4/156	4.546433063240403e-06	0.00011638868641895432	0	0	47.44736842105263	583.6580299206646	PIK3CA;PTEN;ATM;ATR
KEGG_2021_Human	Hepatocellular carcinoma	4/168	6.099850489517388e-06	0.00013013014377637094	0	0	43.9490022172949	527.7064941304836	TCF7L2;PIK3CA;PTEN;CTNNB1
Reactome_2022	Synthesis Of PIPs At Plasma Membrane R-HSA-1660499	3/51	6.95515636241328e-06	0.000711091684601019	0	0	103.83854166666669	1233.1893505194407	PIK3CA;PTEN;PIK3CG
GO_Biological_Process_2021	regulation of telomere maintenance via telomerase (GO:0032210)	3/52	7.377663613849113e-06	0.0007660474052379996	0	0	101.71428571428572	1201.9631613872264	CTNNB1;ATM;ATR
Reactome_2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	5/424	1.0538973822267528e-05	0.000711091684601019	0	0	23.348448687350835	267.58327066021656	TCF7L2;PIK3CA;PTEN;NF1;CTNNB1
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	4/193	1.0557250471251562e-05	0.00019304686576002852	0	0	38.08754208754209	436.4336303698315	TCF7L2;PIK3CA;CTNNB1;PIK3CG
Reactome_2022	Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722	3/60	1.138266059678221e-05	0.000711091684601019	0	0	87.40350877192982	994.9507939511057	KMT2D;TCF7L2;CTNNB1
GO_Biological_Process_2021	positive regulation of DNA biosynthetic process (GO:2000573)	3/61	1.1966034342330309e-05	0.0008303844789249012	0	0	85.89224137931035	973.4544261097903	CTNNB1;ATM;ATR
GO_Biological_Process_2021	regulation of DNA-templated transcription, initiation (GO:2000142)	3/61	1.1966034342330309e-05	0.0008303844789249012	0	0	85.89224137931035	973.4544261097903	TCF7L2;PTEN;CTNNB1
GO_Biological_Process_2021	regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	3/64	1.3833853485945852e-05	0.0008303844789249012	0	0	81.65573770491804	913.5963876883504	TCF7L2;PTEN;CTNNB1
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	4/207	1.3913606363137165e-05	0.0008303844789249012	0	0	35.43573667711599	396.2652040971772	TCF7L2;PIK3CA;PTEN;PIK3CG
GO_Biological_Process_2021	phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	2/8	1.4661684218577713e-05	0.0008303844789249012	0	0	512.2820512820513	5701.83907495754	PIK3CA;PIK3CG
Reactome_2022	RUNX3 Regulates WNT Signaling R-HSA-8951430	2/8	1.4661684218577713e-05	0.000711091684601019	0	0	512.2820512820513	5701.83907495754	TCF7L2;CTNNB1
Reactome_2022	Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364	2/8	1.4661684218577713e-05	0.000711091684601019	0	0	512.2820512820513	5701.83907495754	TCF7L2;CTNNB1
GO_Biological_Process_2021	canonical Wnt signaling pathway (GO:0060070)	3/68	1.6610279367976186e-05	0.0008623503371874303	0	0	76.61538461538461	843.1897584581213	TCF7L2;PTEN;CTNNB1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	4/219	1.7367132654225452e-05	0.0002632665861448768	0	0	33.43763213530655	366.5075808432212	PIK3CA;PTEN;ATM;ATR
KEGG_2021_Human	Inositol phosphate metabolism	3/73	2.0567702042568493e-05	0.0002632665861448768	0	0	71.125	767.5659623657106	PIK3CA;PTEN;PIK3CG
KEGG_2021_Human	p53 signaling pathway	3/73	2.0567702042568493e-05	0.0002632665861448768	0	0	71.125	767.5659623657106	PTEN;ATM;ATR
KEGG_2021_Human	Salmonella infection	4/249	2.8736497575013924e-05	0.00033438833541834384	0	0	29.2987012987013	306.38655576839113	TCF7L2;PIK3CA;CTNNB1;PIK3CG
