Source	Term_Name	P_Value	Term_ID	Intersection_Size
KEGG	Chronic myeloid leukemia	6.139532579693636e-10	KEGG:05220	6
KEGG	Human T-cell leukemia virus 1 infection	2.6520430920001585e-09	KEGG:05166	7
KEGG	Gastric cancer	3.648838340359483e-08	KEGG:05226	6
KEGG	Cellular senescence	4.6296260743505374e-08	KEGG:04218	6
KEGG	Pancreatic cancer	5.572101443593858e-08	KEGG:05212	5
KEGG	Hepatocellular carcinoma	7.521024497296371e-08	KEGG:05225	6
KEGG	Colorectal cancer	2.751726471597416e-07	KEGG:05210	5
REAC	Transcriptional regulation by RUNX3	6.315414982166664e-07	REAC:R-HSA-8878159	5
KEGG	Pathways in cancer	1.2796668750525792e-06	KEGG:05200	7
KEGG	Bladder cancer	1.6591235457952152e-06	KEGG:05219	4
KEGG	Cell cycle	5.615649099182144e-06	KEGG:04110	5
GO:BP	cellular response to transforming growth factor beta stimulus	6.080087310741373e-06	GO:0071560	5
KEGG	Hepatitis B	6.565679680746034e-06	KEGG:05161	5
GO:BP	response to transforming growth factor beta	6.957818002885921e-06	GO:0071559	5
GO:BP	regulation of signal transduction	3.025901700502385e-05	GO:0009966	9
GO:BP	positive regulation of muscle cell apoptotic process	3.7495783577970886e-05	GO:0010661	3
GO:BP	response to growth factor	5.277522067473328e-05	GO:0070848	6
GO:BP	cell population proliferation	5.2909402528469884e-05	GO:0008283	8
GO:BP	epithelial tube morphogenesis	5.861149242431033e-05	GO:0060562	5
REAC	Signaling by TGF-beta Receptor Complex	8.371908447885019e-05	REAC:R-HSA-170834	4
KEGG	TGF-beta signaling pathway	8.888232999892166e-05	KEGG:04350	4
REAC	Diseases of signal transduction by growth factor receptors and second messengers	8.97803244457406e-05	REAC:R-HSA-5663202	6
GO:BP	regulation of cell development	9.914857267151887e-05	GO:0060284	6
KEGG	FoxO signaling pathway	9.9813518990478e-05	KEGG:04068	4
GO:BP	regulation of signaling	0.0001031768024781646	GO:0023051	9
GO:BP	regulation of cell communication	0.0001050657779163821	GO:0010646	9
GO:BP	positive regulation of signal transduction	0.0001076628085467323	GO:0009967	7
REAC	Oncogene Induced Senescence	0.00013159625832795095	REAC:R-HSA-2559585	3
GO:BP	regulation of cell population proliferation	0.00014576299625941846	GO:0042127	7
KEGG	Thyroid cancer	0.00022159776914388348	KEGG:05216	3
KEGG	Viral carcinogenesis	0.0002309882383779445	KEGG:05203	4
GO:BP	branching morphogenesis of an epithelial tube	0.00024165640497149292	GO:0048754	4
GO:BP	positive regulation of cell communication	0.00025635449793683004	GO:0010647	7
GO:BP	positive regulation of signaling	0.00025735558614180254	GO:0023056	7
GO:BP	gastrulation	0.0002757773300251886	GO:0007369	4
GO:BP	animal organ morphogenesis	0.0003317736466740106	GO:0009887	6
GO:BP	transforming growth factor beta receptor signaling pathway	0.0003503358701809122	GO:0007179	4
GO:BP	regulation of response to stimulus	0.0003626769516239327	GO:0048583	9
GO:BP	apoptotic process	0.000403052947478964	GO:0006915	7
GO:BP	morphogenesis of an epithelium	0.00044721918651910214	GO:0002009	5
GO:BP	regulation of intracellular signal transduction	0.0004774373214050192	GO:1902531	7
REAC	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	0.00047974790161141176	REAC:R-HSA-2173796	3
GO:BP	programmed cell death	0.0004999685559453314	GO:0012501	7
GO:BP	morphogenesis of a branching epithelium	0.0005039567261373412	GO:0061138	4
GO:BP	cell death	0.000507081166049118	GO:0008219	7
GO:BP	positive regulation of intracellular signal transduction	0.0006091366101173513	GO:1902533	6
KEGG	Non-small cell lung cancer	0.0006313063667646005	KEGG:05223	3
KEGG	Melanoma	0.0006313063667646005	KEGG:05218	3
GO:BP	morphogenesis of a branching structure	0.0006687811986868037	GO:0001763	4
GO:BP	regulation of muscle cell apoptotic process	0.0006878229525281291	GO:0010660	3
GO:BP	somitogenesis	0.0006878229525281291	GO:0001756	3
REAC	Signaling by TGFB family members	0.0006981053945782572	REAC:R-HSA-9006936	4
KEGG	Glioma	0.0007130085805320788	KEGG:05214	3
GO:BP	G1/S transition of mitotic cell cycle	0.0007648378110236442	GO:0000082	4
GO:BP	metanephric mesenchyme morphogenesis	0.0008485395310334933	GO:0072133	2
GO:BP	kidney mesenchyme morphogenesis	0.0008485395310334933	GO:0072131	2
GO:BP	muscle cell apoptotic process	0.0008924380529971495	GO:0010657	3
GO:BP	positive regulation of gene expression	0.0009018560613390567	GO:0010628	6
GO:BP	heart morphogenesis	0.0009126986681772507	GO:0003007	4
KEGG	Endometrial cancer	0.0009183820051288751	KEGG:05213	3
GO:BP	cellular response to growth factor stimulus	0.0009403937942900353	GO:0071363	5
KEGG	Transcriptional misregulation in cancer	0.0009601211689808329	KEGG:05202	4
GO:BP	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	0.0010136019113173654	GO:0090092	4
KEGG	Wnt signaling pathway	0.0011152708790117222	KEGG:04310	4
GO:BP	epithelium development	0.0011515328119951268	GO:0060429	6
GO:BP	positive regulation of miRNA transcription	0.001173049525433801	GO:1902895	3
GO:BP	tissue morphogenesis	0.0012044824639929747	GO:0048729	5
GO:BP	apoptotic signaling pathway	0.0012044824639929747	GO:0097190	5
GO:BP	cell cycle G1/S phase transition	0.0012342914023006748	GO:0044843	4
GO:BP	mesenchyme morphogenesis	0.00123681250609918	GO:0072132	3
REAC	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	0.0013107012289071602	REAC:R-HSA-2173793	3
REAC	Loss of Function of SMAD2/3 in Cancer	0.0014066263169374045	REAC:R-HSA-3304349	2
REAC	RUNX3 regulates CDKN1A transcription	0.0014066263169374062	REAC:R-HSA-8941855	2
GO:BP	somite development	0.001415403071097545	GO:0061053	3
GO:BP	cardiac septum morphogenesis	0.0014320037043351718	GO:0060411	3
KEGG	Endocrine resistance	0.0014416296642860284	KEGG:01522	3
KEGG	Human cytomegalovirus infection	0.001590786454755126	KEGG:05163	4
KEGG	Central carbon metabolism in cancer	0.0016062819762684348	KEGG:05230	3
GO:BP	positive regulation of response to stimulus	0.0016150852872451286	GO:0048584	7
GO:BP	negative regulation of cell differentiation	0.001815133653197324	GO:0045596	5
GO:BP	positive regulation of miRNA metabolic process	0.0018315885111216412	GO:2000630	3
REAC	Gene expression (Transcription)	0.0019222632155369748	REAC:R-HSA-74160	7
REAC	Signaling by TGF-beta Receptor Complex in Cancer	0.0019686829367706717	REAC:R-HSA-3304351	2
GO:BP	somite rostral/caudal axis specification	0.001999620141015868	GO:0032525	2
