Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	GO_Biological_Process_2021	negative regulation of protein tyrosine kinase activity (GO:0061099)	1/24	0.0400345775570758	0.0872219996376825	CBL
0	GO_Biological_Process_2021	regulation of keratinocyte proliferation (GO:0010837)	1/24	0.0400345775570758	0.0872219996376825	NOTCH2
0	GO_Biological_Process_2021	DNA packaging (GO:0006323)	1/24	0.0400345775570758	0.0872219996376825	TP53
0	GO_Biological_Process_2021	endocrine system development (GO:0035270)	1/24	0.0400345775570758	0.0872219996376825	NF1
0	GO_Biological_Process_2021	positive regulation of cell-substrate junction organization (GO:0150117)	1/24	0.0400345775570758	0.0872219996376825	TSC1
0	GO_Biological_Process_2021	positive regulation of neuron apoptotic process (GO:0043525)	1/24	0.0400345775570758	0.0872219996376825	NF1
0	GO_Biological_Process_2021	positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	1/24	0.0400345775570758	0.0872219996376825	TP53
0	GO_Molecular_Function_2021	protein phosphatase 2A binding (GO:0051721)	1/24	0.0400345775570758	0.1009204960157346	TP53
0	GO_Molecular_Function_2021	Notch binding (GO:0005112)	1/24	0.0400345775570758	0.1009204960157346	CUL3
0	Reactome_Pathways_2024	mTORC1-mediated Signalling	1/24	0.0400345775570758	0.082233186333453	MTOR
0	Reactome_Pathways_2024	CD28 Dependent PI3K Akt Signaling	1/24	0.0400345775570758	0.082233186333453	MTOR
0	Reactome_Pathways_2024	RHO GTPases Activate NADPH Oxidases	1/24	0.0400345775570758	0.082233186333453	PIK3C3
0	Reactome_Pathways_2024	Interleukin-6 Family Signaling	1/24	0.0400345775570758	0.082233186333453	CBL
0	GO_Molecular_Function_2021	protein heterodimerization activity (GO:0046982)	2/188	0.0405035336258503	0.1009204960157346	EPAS1;TP53
0	GO_Molecular_Function_2021	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	2/190	0.0412856574609823	0.1009204960157346	RB1;TP53
0	GO_Biological_Process_2021	protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	1/25	0.041668474974439	0.0886540209742621	CUL3
0	GO_Biological_Process_2021	negative regulation of endocytosis (GO:0045806)	1/25	0.041668474974439	0.0886540209742621	EPHA3
0	GO_Biological_Process_2021	cAMP-mediated signaling (GO:0019933)	1/25	0.041668474974439	0.0886540209742621	EPHA5
0	GO_Biological_Process_2021	cardiac conduction system development (GO:0003161)	1/25	0.041668474974439	0.0886540209742621	NOTCH2
0	GO_Biological_Process_2021	chemical synaptic transmission, postsynaptic (GO:0099565)	1/25	0.041668474974439	0.0886540209742621	GRIN2A
0	GO_Biological_Process_2021	peripheral nervous system development (GO:0007422)	1/25	0.041668474974439	0.0886540209742621	NF1
0	GO_Biological_Process_2021	positive regulation of ERBB signaling pathway (GO:1901186)	1/25	0.041668474974439	0.0886540209742621	CBL
0	GO_Biological_Process_2021	positive regulation of lipid metabolic process (GO:0045834)	1/25	0.041668474974439	0.0886540209742621	MTOR
0	GO_Biological_Process_2021	positive regulation of release of cytochrome c from mitochondria (GO:0090200)	1/25	0.041668474974439	0.0886540209742621	TP53
0	Reactome_Pathways_2024	NOTCH2 Activation and Transmission of Signal to the Nucleus	1/25	0.041668474974439	0.0837040730764061	NOTCH2
0	Reactome_Pathways_2024	Defective Intrinsic Pathway for Apoptosis	1/25	0.041668474974439	0.0837040730764061	TP53
0	Reactome_Pathways_2024	Downstream Signaling of Activated FGFR3	1/25	0.041668474974439	0.0837040730764061	FGFR3
0	Reactome_Pathways_2024	Signaling by EGFR in Cancer	1/25	0.041668474974439	0.0837040730764061	CBL
0	Reactome_Pathways_2024	Interleukin-7 Signaling	1/25	0.041668474974439	0.0837040730764061	HGF
0	GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	2/192	0.042073528183571	0.0892833052622794	DIS3;TSC1
0	Reactome_Pathways_2024	Innate Immune System	5/1149	0.0432012551572389	0.0858463086054024	MAP2K4;YES1;PIK3C3;B2M;TP53
0	GO_Biological_Process_2021	negative regulation of cell development (GO:0010721)	1/26	0.0432996732000933	0.0897863781839498	B2M
0	GO_Biological_Process_2021	regulation of actin filament bundle assembly (GO:0032231)	1/26	0.0432996732000933	0.0897863781839498	TSC1
0	GO_Biological_Process_2021	cellular response to drug (GO:0035690)	1/26	0.0432996732000933	0.0897863781839498	TP53
0	GO_Biological_Process_2021	negative regulation of signaling receptor activity (GO:2000272)	1/26	0.0432996732000933	0.0897863781839498	CBL
0	GO_Biological_Process_2021	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)	1/26	0.0432996732000933	0.0897863781839498	TP53
0	GO_Biological_Process_2021	glial cell development (GO:0021782)	1/26	0.0432996732000933	0.0897863781839498	NF1
0	GO_Biological_Process_2021	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)	1/26	0.0432996732000933	0.0897863781839498	TP53
0	GO_Biological_Process_2021	TOR signaling (GO:0031929)	1/26	0.0432996732000933	0.0897863781839498	MTOR
0	GO_Biological_Process_2021	metanephros development (GO:0001656)	1/26	0.0432996732000933	0.0897863781839498	NF1
0	GO_Cellular_Component_2021	endosome lumen (GO:0031904)	1/26	0.0432996732000933	0.1439753890669774	B2M
0	GO_Cellular_Component_2021	synaptic membrane (GO:0097060)	1/26	0.0432996732000933	0.1439753890669774	GRIN2A
0	Reactome_Pathways_2024	Constitutive Signaling by AKT1 E17K in Cancer	1/26	0.0432996732000933	0.0858463086054024	MTOR
0	Reactome_Pathways_2024	Synthesis of IP3 and IP4 in the Cytosol	1/26	0.0432996732000933	0.0858463086054024	INPPL1
0	GO_Cellular_Component_2021	intracellular non-membrane-bounded organelle (GO:0043232)	5/1158	0.0444368484774621	0.1439753890669774	MDC1;DIS3;TSC1;TP53;ATR
0	GO_Biological_Process_2021	negative regulation of intracellular signal transduction (GO:1902532)	2/198	0.0444711677499821	0.0906328894828588	NF1;TSC1
0	GO_Biological_Process_2021	regulation of cellular macromolecule biosynthetic process (GO:2000112)	3/468	0.0445973373826801	0.0906328894828588	RB1;TSC1;TP53
0	GO_Biological_Process_2021	negative regulation of catalytic activity (GO:0043086)	1/27	0.0449281765490304	0.0906328894828588	TP53
0	GO_Biological_Process_2021	camera-type eye development (GO:0043010)	1/27	0.0449281765490304	0.0906328894828588	NF1
0	GO_Biological_Process_2021	regulation of epidermal growth factor-activated receptor activity (GO:0007176)	1/27	0.0449281765490304	0.0906328894828588	CBL
0	GO_Biological_Process_2021	entrainment of circadian clock by photoperiod (GO:0043153)	1/27	0.0449281765490304	0.0906328894828588	TP53
0	GO_Biological_Process_2021	regulation of transcription regulatory region DNA binding (GO:2000677)	1/27	0.0449281765490304	0.0906328894828588	RB1
0	GO_Biological_Process_2021	regulation of vasculature development (GO:1901342)	1/27	0.0449281765490304	0.0906328894828588	NF1
0	GO_Biological_Process_2021	positive regulation of gene silencing by miRNA (GO:2000637)	1/27	0.0449281765490304	0.0906328894828588	TP53
0	GO_Biological_Process_2021	positive regulation of mitotic cell cycle (GO:0045931)	1/27	0.0449281765490304	0.0906328894828588	CUL3
0	GO_Biological_Process_2021	mitotic chromosome condensation (GO:0007076)	1/27	0.0449281765490304	0.0906328894828588	RB1
0	Reactome_Pathways_2024	Pyroptosis	1/27	0.0449281765490304	0.0883071056308528	TP53
0	Reactome_Pathways_2024	Interleukin Receptor SHC Signaling	1/27	0.0449281765490304	0.0883071056308528	INPPL1
0	KEGG_2021_Human	Focal adhesion	2/201	0.0456888492958398	0.0991143878799897	PDGFRA;HGF
0	GO_Biological_Process_2021	modification-dependent protein catabolic process (GO:0019941)	2/201	0.0456888492958398	0.0914293492460113	CUL3;CBL
0	GO_Biological_Process_2021	generation of neurons (GO:0048699)	2/202	0.0460975002334082	0.0914293492460113	PTPRD;PHOX2B
0	Reactome_Pathways_2024	Programmed Cell Death	2/202	0.0460975002334082	0.0899517760023824	TP53;PARK2
0	KEGG_2021_Human	Pathways of neurodegeneration	3/475	0.0462628162270883	0.0991143878799897	GRIN2A;PIK3C3;MTOR
0	KEGG_2021_Human	Viral carcinogenesis	2/203	0.0465075204667644	0.0991143878799897	RB1;TP53
0	GO_Biological_Process_2021	regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	1/28	0.0465539893345663	0.0914293492460113	ATR
0	GO_Biological_Process_2021	cellular response to acid chemical (GO:0071229)	1/28	0.0465539893345663	0.0914293492460113	MTOR
0	GO_Biological_Process_2021	cellular response to interleukin-6 (GO:0071354)	1/28	0.0465539893345663	0.0914293492460113	CBL
0	GO_Biological_Process_2021	regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	1/28	0.0465539893345663	0.0914293492460113	EPHA5
0	GO_Biological_Process_2021	regulation of phosphatase activity (GO:0010921)	1/28	0.0465539893345663	0.0914293492460113	TSC1
0	GO_Biological_Process_2021	photoperiodism (GO:0009648)	1/28	0.0465539893345663	0.0914293492460113	TP53
0	GO_Biological_Process_2021	positive regulation of fibroblast proliferation (GO:0048146)	1/28	0.0465539893345663	0.0914293492460113	PDGFRA
0	GO_Biological_Process_2021	macromolecule catabolic process (GO:0009057)	1/28	0.0465539893345663	0.0914293492460113	MTOR
0	GO_Biological_Process_2021	positive regulation of synapse assembly (GO:0051965)	1/28	0.0465539893345663	0.0914293492460113	PTPRD
0	GO_Molecular_Function_2021	protein serine/threonine/tyrosine kinase activity (GO:0004712)	1/28	0.0465539893345663	0.1100631375963631	MAP2K4
0	Reactome_Pathways_2024	ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress	1/28	0.0465539893345663	0.0899517760023824	DIS3
0	Reactome_Pathways_2024	Notch-HLH Transcription Pathway	1/28	0.0465539893345663	0.0899517760023824	NOTCH2
0	Reactome_Pathways_2024	FLT3 Signaling in Disease	1/28	0.0465539893345663	0.0899517760023824	CBL
0	GO_Cellular_Component_2021	axon (GO:0030424)	2/204	0.0469189044730899	0.1445313475734011	EPHA5;NF1
0	GO_Biological_Process_2021	regulation of DNA biosynthetic process (GO:2000278)	1/29	0.0481771158578003	0.0934933578523109	HGF
0	GO_Biological_Process_2021	negative regulation of transferase activity (GO:0051348)	1/29	0.0481771158578003	0.0934933578523109	TP53
0	GO_Biological_Process_2021	glial cell differentiation (GO:0010001)	1/29	0.0481771158578003	0.0934933578523109	PHOX2B
0	GO_Biological_Process_2021	telomere maintenance via telomerase (GO:0007004)	1/29	0.0481771158578003	0.0934933578523109	PPP6C
0	GO_Biological_Process_2021	transition metal ion homeostasis (GO:0055076)	1/29	0.0481771158578003	0.0934933578523109	B2M
0	GO_Cellular_Component_2021	rough endoplasmic reticulum (GO:0005791)	1/29	0.0481771158578003	0.1445313475734011	EPHA5
