Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
1	KEGG_2021_Human	Transcriptional misregulation in cancer	16/192	1.807292698847196e-14	1.1385944002737336e-12	FLT1;KMT2A;MAX;FLT3;MITF;PAX5;RUNX1;ETV6;TGFBR2;CCND2;NCOR1;BCL6;MYC;ERG;TP53;BIRC3
1	KEGG_2021_Human	MAPK signaling pathway	18/294	8.048974106376317e-14	3.803140265262809e-12	NTRK2;FLT1;MAP3K1;MAX;FLT3;INSR;BRAF;TGFBR1;TGFBR2;ERBB3;MYC;ERBB2;NF1;TEK;FGFR4;SOS1;TP53;FGFR1
1	GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	13/114	9.990455329242025e-14	2.1704264202778296e-11	ALK;RET;NTRK2;FLT1;FLT3;INSR;NTRK3;MST1R;ERBB3;ERBB2;TEK;FGFR4;FGFR1
1	GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	43/2206	1.1779115414200602e-13	2.2746780655422938e-11	NOTCH1;KMT2A;MAX;CTR9;PRDM14;PIK3R2;IKZF1;BRCA1;CDC73;MED12;MYC;RAD21;SUFU;NSD1;ERBB2;DNMT3B;TP53BP1;SPEN;CREBBP;ZFHX3;PTCH1;MGA;ARID5B;TET1;MITF;DICER1;PAX5;ESR1;SMARCA2;ARID1B;PHOX2B;TBX3;RUNX1;ETV6;NFKBIA;ASXL1;NCOR1;BCL6;PRKAR1A;AGO2;ASXL2;ERG;TP53
1	GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	14/148	1.4835523325072885e-13	2.5784139538976672e-11	ALK;RET;NTRK2;FLT1;FLT3;INSR;NTRK3;MST1R;ERBB3;MYC;ERBB2;TEK;FGFR4;FGFR1
1	GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	14/161	4.779014172045504e-13	7.550842391831897e-11	RET;IRS1;FLT3;INSR;PIK3R2;PTPN11;MST1R;ESR1;TGFBR1;ERBB3;ERBB2;TEK;FGFR4;FGFR1
1	GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	21/496	7.688696365616358e-13	1.1135795236201028e-10	ALK;RET;NTRK2;FLT1;MAP3K1;FLT3;INSR;BRAF;TGFBR1;TGFBR2;LATS2;CHEK2;ERBB2;BTK;ERG;TEK;FGFR4;JAK2;IKBKE;FGFR1;JAK1
1	GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	23/625	9.939743176408105e-13	1.3288672031228678e-10	NTRK2;ZFHX3;NOTCH1;FLT1;IRS1;FLT3;INSR;NTRK3;TET1;DICER1;MST1R;AXIN2;TGFBR1;TBX3;TSHR;TGFBR2;RPTOR;CCND2;ERBB3;MYC;ERBB2;FGFR4;FGFR1
1	GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	21/511	1.3591574132779613e-12	1.6872968459122118e-10	RET;CREBBP;ZFHX3;NOTCH1;KMT2A;KMT2B;MITF;BRCA1;BRCA2;ESR1;SMARCA2;ARID1B;TGFBR1;RUNX1;MED12;CDH1;CHEK2;MYC;NSD1;TP53BP1;TP53
1	GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	19/404	1.7101728976041984e-12	1.9815203306907308e-10	ALK;RET;NTRK2;FLT1;IRS1;FLT3;INSR;NTRK3;TSC2;PIK3R2;PTPN11;MST1R;ERBB3;ERBB2;TEK;FGFR4;JAK2;SOS1;FGFR1
1	KEGG_2021_Human	Breast cancer	13/147	2.7423288609275517e-12	1.0366003094306143e-10	NOTCH2;NOTCH1;PIK3R2;BRAF;BRCA1;AXIN2;BRCA2;ESR1;MYC;ERBB2;SOS1;TP53;FGFR1
1	GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	16/274	4.4250565945690905e-12	4.784566246946542e-10	NOTCH2;RET;NTRK2;NOTCH1;FLT1;FLT3;INSR;NTRK3;BRAF;PTPN11;MST1R;ERBB2;PLCG2;TEK;FGFR4;FGFR1
