Cluster_ID	N_Nodes	N_Edges	Density	Avg_Degree	Avg_Clustering
0	71	114	0.046	3.21	0.005
1	73	1054	0.401	28.88	0.196
2	8	7	0.25	1.75	0.0
3	79	560	0.182	14.18	0.079
4	68	1037	0.455	30.5	0.375
