Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
GNAS	22	0.2565189052586813	0.310960354866113	1.0
GNB1	0	1.0	-10.0	1.0
GPS2	7	0.15632950103016408	0.9798552655583421	1.0
GREM1	4	0.5382470456013587	0.1689744068188579	1.0
GRIN2A	74	0.5356116137060218	-0.004850834992242071	1.0
GSK3B	8	0.645200134065718	-0.11240919838057024	1.0
GTF2I	0	1.0	-10.0	1.0
H3F3A	1	0.7087788422809944	-0.0242078512435549	1.0
H3F3B	2	0.8112599866927684	-0.6103824932256885	1.0
H3F3C	13	0.14169915150669088	0.6819929639293141	1.0
HGF	68	0.13510944736625444	0.2695432302872832	1.0
HIST1H1C	12	0.9279060329681403	-0.616618847252227	1.0
HIST1H2BD	3	0.900244466964753	-0.9017017573877217	1.0
HIST1H3A	1	0.9892149951987247	-2.350907161859128	1.0
HIST1H3B	11	0.4840348107874567	0.11429613258860959	1.0
HIST1H3C	3	0.9444999649371526	-1.1439056257464535	1.0
HIST1H3D	5	0.8571869275352011	-0.6122399149740116	1.0
HIST1H3E	8	0.09303290732941596	1.1736775733015865	1.0
HIST1H3F	2	0.9005659023423961	-1.0266132887188746	1.0
HIST1H3G	4	0.8422537370056111	-0.6116195008780665	1.0
HIST1H3H	2	0.982063617725162	-1.7300405727254646	1.0
HIST1H3I	2	0.9005659023423961	-1.0266132887188746	1.0
HIST1H3J	4	0.6178290286863608	-0.024267442607078984	1.0
HIST2H3D	1	0.5605841714318265	0.9763874427780495	1.0
HIST3H3	9	0.362758603965038	0.34059817229458256	1.0
HLA-A	10	0.5346224766766714	0.05021282009246676	1.0
HLA-B	8	0.8447101231558181	-0.4873767193973638	1.0
HLA-C	1	0.872139638503992	-1.025399176695965	1.0
HNF1A	17	0.6136350937413024	-0.06695278627010166	1.0
HOXB13	11	0.6736029111855373	-0.15113976367217205	1.0
HRAS	4	0.9045622966848358	-0.8352081868277397	1.0
ICOSLG	4	0.358798813978427	0.6555940369019329	1.0
ID3	1	0.9438943340999265	-1.6115539874361327	1.0
IDH1	16	0.029450707382113223	1.078813382795077	0.558472673320073
IDH2	3	0.9253287971999885	-1.027830400010851	1.0
IFNGR1	7	0.5351148550416479	0.08318613212581519	1.0
IGF1	8	0.645200134065718	-0.11240919838057024	1.0
IGF1R	22	0.3230906688864533	0.2295822245788237	1.0
IGF2	9	0.4784096033624695	0.14675583698813138	1.0
IKBKE	11	0.7140736447863312	-0.21063445046027612	1.0
IKZF1	30	0.5996304945876957	-0.04925334895291175	1.0
IL10	7	0.04078508326197456	1.788999022365759	0.7179944889114225
IL7R	26	0.5711043611028703	-0.024713575561073488	1.0
INHA	12	0.16310969773851572	0.6590418512425583	1.0
INHBA	36	0.04039939507413098	0.6056617125668289	0.7179944889114225
INPP4A	12	0.9815369713866017	-0.877192041104231	1.0
INPP4B	53	0.0004339346230150404	0.9797417556325348	0.02468605855374452
INPPL1	16	0.8077231763566851	-0.3141373438807486	1.0
INS-IGF2	0	1.0	-10.0	1.0
INSR	13	0.8507811712064127	-0.4162901408478679	1.0
INSRR	0	1.0	-10.0	1.0
IRF4	10	0.9127326447695768	-0.6153612486250001	1.0
IRS1	26	0.662000577425238	-0.10745861235296748	1.0
IRS2	25	0.6923134426967579	-0.13815610423181485	1.0
JAK1	10	0.9739908779992983	-0.8820144566260045	1.0
JAK2	32	0.15914014576396313	0.36958884097992356	1.0
JAK3	30	0.17018215192227684	0.3670472688005637	1.0
JUN	5	0.9299369890876612	-0.8770713254506326	1.0
KBTBD4	1	0.7087788422809944	-0.0242078512435549	1.0
KDM5A	25	0.30512702670678904	0.23169726386115647	1.0
KDM5C	39	0.43567435361771073	0.0736628835537905	1.0
KDM6A	14	0.97112053661392	-0.7515498881944861	1.0
KDR	54	0.2998836159737819	0.15207192267341596	1.0
KEAP1	254	3.839738985617493e-11	0.8944829518688946	4.914865901590391e-09
KIT	28	0.5397313198643046	0.0018491212012420129	1.0
KLF4	14	0.12325343730946849	0.7020293469467547	1.0
KLF5	5	0.29818460365677335	0.7150658027759517	1.0
KMT2A	37	0.37689299669229215	0.12271050395283482	1.0
KMT2B	44	0.31893317928732207	0.15509852655256323	1.0
KMT2C	54	0.9897447300565884	-0.5153441789718738	1.0
KMT2D	82	0.9864322585768625	-0.4122746477378887	1.0
KNSTRN	4	0.6178290286863608	-0.024267442607078984	1.0
LATS1	13	0.9925936531289832	-0.9823701059782085	1.0
LATS2	22	0.5724348036841194	-0.02463124442399464	1.0
LMO1	5	0.730027131800686	-0.2885170509882219	1.0
LYN	8	0.694333889203305	-0.1954706088577483	1.0
LZTR1	2	0.9874298538377348	-1.8375540329395352	1.0
MAD2L2	0	1.0	-10.0	1.0
MALT1	8	0.645200134065718	-0.11240919838057024	1.0
MAP2K1	7	0.9759134490775049	-1.0327290700416485	1.0
MAP2K2	9	0.5885075998303536	-0.02436741621815497	1.0
MAP2K4	7	0.9611065034793955	-0.9246106174808351	1.0
MAP3K1	19	0.8375003096428875	-0.33668104474407806	1.0
MAP3K13	14	0.7318584610621817	-0.2195228070241091	1.0
MAPK1	5	0.22056961669562236	0.9786964867917775	1.0
MAPK3	5	0.45955997785000524	0.2988350072827656	1.0
MAPKAP1	8	0.23325171634753192	0.6573133449458403	1.0
MAX	31	1.0623001112172049e-05	1.8691319651850524	0.0007769966527760127
MCL1	7	0.7500305674578018	-0.30623150612381483	1.0
MDC1	36	0.3200283765744763	0.17323089039605122	1.0
MDM2	7	0.7500305674578018	-0.30623150612381483	1.0
MDM4	5	0.8865157647957732	-0.7059480722443465	1.0
MED12	59	0.6741866391787701	-0.08841603095522038	1.0
MEF2B	4	0.7487824961657498	-0.34738982153688847	1.0
MEN1	12	0.9279060329681403	-0.616618847252227	1.0
MET	32	0.9999997871458577	-1.307188296228094	1.0
MGA	85	0.00287228107896938	0.6126786380406003	0.09804052749548817
MITF	9	0.20003977176322654	0.6903155008673847	1.0
MLH1	7	0.8830068339988701	-0.6134845837007521	1.0
MLL	5	0.8217684014094049	-0.5121057369378949	1.0
MLL2	9	0.9890108009161273	-1.0753290856144841	1.0
MLL3	13	0.34643842627339466	0.2866780436232688	1.0
MLL4	2	0.6563555901538993	-0.024227682485520805	1.0
MLLT1	2	0.26419482973349045	1.9775589369884936	1.0
MPL	9	0.5346491850061472	0.05869399425902319	1.0
MRE11A	18	0.45703289447434053	0.10279195778882058	1.0
MSH2	11	0.7140736447863312	-0.21063445046027612	1.0
MSH3	14	0.7639103506607803	-0.2645199337229564	1.0
MSH6	9	0.9208513289162923	-0.6678035696588106	1.0
MSI1	11	0.14839656834466525	0.7399775225775604	1.0
MSI2	2	0.9005659023423961	-1.0266132887188746	1.0
MST1	3	0.21530878733087927	1.5630985899459005	1.0
MST1R	11	0.8152221347126403	-0.3759376795899034	1.0
MTAP	0	1.0	-10.0	1.0
MTOR	38	0.22888314186727834	0.2536459364727153	1.0
MUTYH	9	0.42073566725794265	0.24046399425846607	1.0
MYC	5	0.8571869275352011	-0.6122399149740116	1.0
MYCL	7	0.2729567616670376	0.6160913962495892	1.0
MYCL1	1	0.7087788422809944	-0.0242078512435549	1.0
MYCN	14	0.620304915646937	-0.07569629090139435	1.0
MYD88	4	0.876785000145588	-0.7276947266136691	1.0
MYOD1	16	0.781461296960314	-0.27605811507553724	1.0
NADK	3	0.632185448604419	-0.024247546246677347	1.0
NBN	23	0.1075148676925485	0.5537817504516828	1.0
NCOA3	17	0.45436884481587464	0.1105464543633806	1.0
NCOR1	32	0.6261919705056718	-0.07045485182462496	1.0
NEGR1	13	0.9686713825571729	-0.7605327711471405	1.0
NF1	68	0.9999928180086359	-0.8441362248129579	1.0
NF2	19	0.3059110405393781	0.27338593374453013	1.0
NFE2L2	29	0.991863478533454	-0.6948444761234781	1.0
NFKBIA	5	0.9299369890876612	-0.8770713254506326	1.0
NKX2-1	45	1.2833814713553554e-07	1.862496476250065	1.314182626667884e-05
NKX3-1	4	0.8422537370056111	-0.6116195008780665	1.0
NOTCH1	40	0.9023113716354313	-0.32890458151772534	1.0
NOTCH2	31	0.9314213669150901	-0.42211801878668703	1.0
NOTCH3	50	0.4999331567570669	0.020584332156092327	1.0
NOTCH4	57	0.349142308812107	0.11330875853176747	1.0
NPM1	4	0.7487824961657498	-0.34738982153688847	1.0
NRAS	7	0.9932813914185076	-1.272780786793526	1.0
NSD1	35	0.3166691577019456	0.17914780677082706	1.0
NTHL1	2	0.5465472681517041	0.3914056024887153	1.0
NTRK1	29	0.7341613210652684	-0.1704563554034873	1.0
NTRK2	24	0.4352040923343506	0.10328425810506958	1.0
NTRK3	76	0.08873206842297326	0.310315722566055	1.0
NUF2	20	0.017103178534262523	1.0620576734993432	0.35027309638169646
NUP93	13	0.6231126197434795	-0.07949727305840143	1.0
PAK1	10	0.9277903675256688	-0.6632694670833976	1.0
PAK7	54	0.07960718178765533	0.3881287334287577	1.0
PALB2	19	0.5740233034750639	-0.02456985517390549	1.0
PARK2	32	0.5701576744823924	-0.024838109476991527	1.0
PARP1	19	0.4204710908656852	0.13831038064919207	1.0
