Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS_Count	Only_Gene_B_Count	Neither_Count	P_Value	Log2OR
KRAS	EGFR	26	1207	714	1711	1.0024105794572035e-108	-4.275926462153616
KRAS	TP53	464	769	1554	871	1.7931077803386723e-52	-1.5641006726431
KRAS	ERBB2	6	1227	126	2299	1.3344190822132473e-16	-3.4864462057234853
KRAS	PTEN	16	1217	105	2320	1.7009063469175016e-07	-1.7834498803649166
KRAS	BRAF	38	1195	172	2253	1.80441155084529e-07	-1.2635005458911954
KRAS	MET	32	1201	150	2275	5.436599748728247e-07	-1.307188296228094
KRAS	RASA1	16	1217	91	2334	7.904679647369236e-06	-1.5683192472050764
KRAS	ROS1	23	1210	92	2333	0.0007476349345601269	-1.0528207401777576
KRAS	FOXL2	10	1223	48	2377	0.004025003082627933	-1.3043169064187459
KRAS	PTPN11	3	1230	24	2401	0.0072445674949167226	-2.035022911996186
KRAS	FAM46C	1	1232	16	2409	0.008780874255279868	-3.032567862456431
KRAS	PRKAR1A	1	1232	16	2409	0.008780874255279868	-3.032567862456431
KRAS	SOX2	5	1228	29	2396	0.011199413327689442	-1.5717355528216035
KRAS	RIT1	1	1232	15	2410	0.012570146162265178	-2.9388597051860956
KRAS	NRAS	7	1226	33	2392	0.018294522946939416	-1.272780786793526
KRAS	CASP8	6	1227	29	2396	0.024086550922495172	-1.3075258352805352
KRAS	RPS6KA4	10	1223	40	2385	0.02434364411172206	-1.036435137634513
KRAS	MLL2	9	1224	37	2388	0.026009122000701698	-1.0753290856144841
KRAS	SMARCD1	3	1230	19	2406	0.03202080349045208	-1.6949866857729552
KRAS	SRC	3	1230	19	2406	0.03202080349045208	-1.6949866857729552
KRAS	STK19	1	1232	12	2413	0.036108811872059075	-2.6151368412003064
KRAS	CCND1	2	1231	15	2410	0.040989685464655014	-1.937688210975652
