Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
FOXF1	4	0.6904213571785516	-0.2001737753404772	1.0	1.0
FOXL2	10	0.9985666119468575	-1.3097897287322309	1.0	1.0
FOXO1	11	0.5386775680261803	0.03789556666334992	1.0	1.0
FOXP1	16	0.32895781360073045	0.2732417320132905	1.0	1.0
FUBP1	16	0.45623064222868204	0.11388840324047612	1.0	1.0
FYN	11	0.43614133512257536	0.18348972902411506	1.0	1.0
GAB1	3	0.7759518727419796	-0.445860422745744	1.0	1.0
GAB2	2	0.6579782938522515	-0.02960085458437254	1.0	1.0
GATA1	14	0.7676064343097022	-0.2699583717307904	1.0	1.0
GATA2	14	0.8468915443051765	-0.3973066318096145	1.0	1.0
GATA3	26	0.2545412242236119	0.28401655424921707	1.0	1.0
GLI1	48	0.0020069406179129235	0.880865758971975	0.07904258433626284	0.07904258433626284
GNA11	4	0.7508694274480395	-0.3527763680839475	1.0	1.0
GNAQ	2	0.8125891160699903	-0.6157601160882896	1.0	1.0
GNAS	22	0.26090354653343084	0.30551735726833623	1.0	1.0
GNB1	0	1.0	-10.0	1.0	1.0
GPS2	7	0.15798193937782018	0.974475414547689	1.0	1.0
GREM1	4	0.5406136126922219	0.16359455580820503	1.0	1.0
GRIN2A	74	0.5462923645419764	-0.010559462079261868	1.0	1.0
GSK3B	8	0.6484836920997796	-0.11781143284683782	1.0	1.0
GTF2I	0	1.0	-10.0	1.0	1.0
H3F3A	1	0.7098738503057366	-0.029576579939879832	1.0	1.0
H3F3B	2	0.8125891160699903	-0.6157601160882896	1.0	1.0
H3F3C	13	0.17897161204736461	0.5885288867339388	1.0	1.0
HGF	68	0.15345049778304248	0.2504683350863547	1.0	1.0
HIST1H1C	12	0.9295397256509988	-0.6220641275132536	1.0	1.0
HIST1H2BD	3	0.9013596564914566	-0.9070905394853391	1.0	1.0
HIST1H3A	1	0.9893633479540264	-2.356293708406187	1.0	1.0
HIST1H3B	11	0.4879901904179428	0.10888714671999118	1.0	1.0
HIST1H3C	3	0.9452517333094789	-1.1492988845166718	1.0	1.0
HIST1H3D	5	0.8589253695383583	-0.6176376578609193	1.0	1.0
HIST1H3E	8	0.09422587338187567	1.1682977222909336	1.0	1.0
HIST1H3F	2	0.9015026880879251	-1.0319953697247553	1.0	1.0
HIST1H3G	4	0.8439177411647276	-0.6170105203826324	1.0	1.0
HIST1H3H	2	0.9823413326886173	-1.7354338314956832	1.0	1.0
HIST1H3I	2	0.9015026880879251	-1.0319953697247553	1.0	1.0
HIST1H3J	4	0.6201809738415351	-0.029649523612959538	1.0	1.0
HIST2H3D	1	0.5616859702009203	0.9710209330282341	1.0	1.0
HIST3H3	9	0.3659964005097625	0.3352026723976905	1.0	1.0
HLA-A	10	0.5384258853073307	0.04480608656552316	1.0	1.0
HLA-B	8	0.846972070181823	-0.4927902155837282	1.0	1.0
HLA-C	1	0.8729404529307375	-1.0307723487948166	1.0	1.0
HNF1A	17	0.6185146099118759	-0.07239578386787847	1.0	1.0
HOXB13	11	0.6773569750758373	-0.1565577777044834	1.0	1.0
HRAS	4	0.9057885210082663	-0.8406036867246317	1.0	1.0
ICOSLG	4	0.3608564060333707	0.6502186403425021	1.0	1.0
ID3	1	0.944386014888528	-1.6169316102987334	1.0	1.0
IDH1	16	0.030139544175823166	1.0734156399081696	0.59351717761621	0.59351717761621
IDH2	3	0.926251609782338	-1.0332214195154168	1.0	1.0
IFNGR1	7	0.5382809932707404	0.07779287335559681	1.0	1.0
IGF1	8	0.6484836920997796	-0.11781143284683782	1.0	1.0
IGF1R	22	0.32804499469230985	0.22413465973915345	1.0	1.0
IGF2	9	0.4819651458100359	0.14135584924554156	1.0	1.0
IKBKE	11	0.7176536389335723	-0.21605472624452893	1.0	1.0
IKZF1	30	0.6061796617461133	-0.05475632463029869	1.0	1.0
IL10	7	0.07080343349922022	1.4610994990819863	1.0	1.0
IL7R	27	0.5136221266741654	0.025447912299824096	1.0	1.0
INHA	12	0.16544143804699454	0.6536441083556509	1.0	1.0
INHBA	36	0.041855202680972495	0.6001911960614043	0.7616319854277716	0.7616319854277716
INPP4A	12	0.9821043130638347	-0.8826533537743968	1.0	1.0
INPP4B	53	0.00046438188001216707	0.9742550575476843	0.026630544047906764	0.026630544047906764
INPPL1	16	0.8112618398397927	-0.3195894836335421	1.0	1.0
