Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
KRAS	21	15	6	0	0.4082	0.34	1.0	0.6736
PIK3CA	7	7	0	0	0.0	0.031	0.6522	0.5763
CTNNB1	7	6	1	0	0.2449	0.0114	0.625	0.2573
AMER1	4	4	0	0	0.0	0.0111	0.5769	0.1923
KMT2D	4	4	0	0	0.0	0.0024	0.5769	0.1513
SMAD2	4	3	1	0	0.375	0.0032	0.5556	0.14
EP300	12	12	0	0	0.0	0.1487	0.8333	0.1207
PTEN	9	6	3	0	0.4444	0.0159	0.625	0.1164
MED12	5	5	0	0	0.0	0.0048	0.6	0.1044
PTPRD	9	7	2	0	0.3457	0.013	0.6522	0.0953
KMT2C	6	6	0	0	0.0	0.0278	0.625	0.0947
KDM5A	13	8	5	0	0.4734	0.0413	0.6818	0.072
CDKN1B	6	4	2	0	0.4444	0.0019	0.5769	0.0562
FLCN	4	4	0	0	0.0	0.0111	0.5769	0.0364
RAD52	9	5	4	0	0.4938	0.0	0.6	0.0308
MSH3	4	4	0	0	0.0	0.0032	0.5769	0.0271
