Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	12	1.0	0.8333	1.0	0.0909
PIK3CA	6	0.5	0.0758	0.6667	0.3333
SMAD2	2	0.1667	0.0	0.5455	1.0
MED12	2	0.1667	0.0	0.5455	1.0
CTNNB1	2	0.1667	0.0	0.5455	1.0
SMAD3	2	0.1667	0.0	0.5455	1.0
EP300	2	0.1667	0.0	0.5455	1.0
KMT2B	2	0.1667	0.0	0.5455	1.0
KMT2D	2	0.1667	0.0	0.5455	1.0
PTPRD	1	0.0833	0.0	0.5217	0.0
KMT2C	1	0.0833	0.0	0.5217	0.0
AMER1	1	0.0833	0.0	0.5217	0.0
ATRX	1	0.0833	0.0	0.5217	0.0
