Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
ABL1	16	16	0	0	0.0	0.0006	0.4377	0
BCL2L11	3	3	0	0	0.0	0.0	0.3749	0
RPS6KA4	12	12	0	0	0.0	0.0001	0.4207	0
PIK3CD	21	21	0	0	0.0	0.0003	0.4409	0
NPM1	1	1	0	0	0.0	0.0	0.3331	0
NKX2-1	10	9	1	0	0.18	0.0003	0.3992	0
MAX	4	4	0	0	0.0	0.0	0.3809	0
IL7R	3	3	0	0	0.0	0.0	0.3591	0
GATA3	1	1	0	0	0.0	0.0	0.3331	0
ZRSR2	14	11	3	0	0.3367	0.0057	0.4212	0
VTCN1	25	16	9	0	0.4608	0.0004	0.4319	0
TP63	3	3	0	0	0.0	0.0001	0.3654	0
STK11	3	3	0	0	0.0	0.0002	0.3591	0
PIK3R2	5	2	3	0	0.48	0.0	0.3741	0
GNAS	17	3	14	0	0.2907	0.0008	0.412	0
CRLF2	10	0	10	0	0.0	0.0	0.3793	0
CCND1	13	7	6	0	0.497	0.001	0.4134	0
WT1	17	17	0	0	0.0	0.0002	0.4356	0
WHSC1L1	50	30	20	0	0.48	0.0008	0.4573	0
PTPN11	34	34	0	0	0.0	0.0007	0.4632	0
LATS1	18	18	0	0	0.0	0.0	0.4319	0
WWTR1	21	21	0	0	0.0	0.0004	0.4526	0
ERCC3	21	21	0	0	0.0	0.0001	0.434	0
TSC2	11	7	3	1	0.5124	0.0055	0.3943	0
SMARCA4	12	9	3	0	0.375	0.0003	0.4069	0
ERBB2	19	13	6	0	0.4321	0.0016	0.4064	0
CYSLTR2	19	7	12	0	0.4654	0.0001	0.4014	0
STAT3	2	1	1	0	0.5	0.0	0.3631	0
GSK3B	8	8	0	0	0.0	0.0001	0.4212	0
RIT1	1	1	0	0	0.0	0.0	0.2644	0
BMPR1A	5	4	1	0	0.32	0.0	0.393	0
BRAF	4	4	0	0	0.0	0.0054	0.3606	0
CCNQ	1	0	1	0	0.0	0.0	0.305	0
BCL6	1	1	0	0	0.0	0.0	0.3602	0
KLF5	10	1	9	0	0.18	0.0001	0.3913	0
SMAD4	36	22	14	0	0.4753	0.0285	0.4273	0
PMAIP1	6	0	6	0	0.0	0.0004	0.3668	0
BCL2	4	0	4	0	0.0	0.0001	0.343	0
BARD1	3	3	0	0	0.0	0.0	0.3695	0
BAP1	7	7	0	0	0.0	0.0002	0.3913	0
PPP4R2	2	2	0	0	0.0	0.0	0.3375	0
AXIN1	8	5	3	0	0.4688	0.0001	0.3969	0
CSF1R	9	6	3	0	0.4444	0.0	0.3854	0
TSHR	16	16	0	0	0.0	0.0014	0.4388	0
CDH1	19	19	0	0	0.0	0.0001	0.4382	0
SUFU	51	51	0	0	0.0	0.0008	0.498	0
FOXO1	26	15	11	0	0.4882	0.0001	0.4298	0
TCF7L2	45	44	1	0	0.0435	0.0093	0.4521	0
IRS2	64	47	17	0	0.3901	0.0021	0.4693	0
FBXW7	8	8	0	0	0.0	0.0059	0.3801	0
TSC1	60	58	2	0	0.0644	0.0038	0.5001	0
PTPRD	76	71	5	0	0.1229	0.0091	0.5086	0
NOTCH1	24	20	4	0	0.2778	0.0084	0.4459	0
MYOD1	15	15	0	0	0.0	0.0001	0.4319	0
FOXP1	8	7	0	1	0.2188	0.0002	0.4009	0
DNMT3A	16	16	0	0	0.0	0.0001	0.4278	0
CSDE1	59	57	1	1	0.0661	0.0013	0.4959	0
CREBBP	95	87	8	0	0.1542	0.0082	0.5204	0
CCND2	65	43	22	0	0.4478	0.0033	0.478	0
BIRC3	52	51	1	0	0.0377	0.0007	0.4911	0
SOX9	6	6	0	0	0.0	0.0004	0.3359	0
RTEL1-TNFRSF6B	3	3	0	0	0.0	0.0	0.348	0
PMS1	9	8	1	0	0.1975	0.0001	0.405	0
NRAS	10	9	1	0	0.18	0.0001	0.4014	0
MALT1	46	26	20	0	0.4915	0.0047	0.4644	0
KRAS	21	15	6	0	0.4082	0.0005	0.4319	0
EPHA5	34	34	0	0	0.0	0.0013	0.4561	0
MDC1	3	3	0	0	0.0	0.0	0.3842	0
EGFR	54	40	14	0	0.3841	0.0015	0.4626	0
SOS1	47	47	0	0	0.0	0.0002	0.48	0
IKZF1	21	20	1	0	0.0907	0.0009	0.4247	0
RARA	25	19	6	0	0.3648	0.0016	0.434	0
