Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
CREBBP	SLX4	2	CNA,MUT
TSHR	ZFHX3	1	MUT
KEAP1	STK11	1	MUT
CDKN2Ap14ARF	CDKN2B	1	CNA
TERT	TRIP13	1	CNA
CDKN2A	MTAP	1	CNA
POT1	WT1	1	MUT
ARID1A	INPP4B	1	MUT
CDKN2Ap16INK4A	MTAP	1	CNA
CDKN2Ap14ARF	CDKN2Ap16INK4A	1	CNA
PIK3C3	TSHR	1	MUT
CDKN2B	MTAP	1	CNA
CDKN2A	CDKN2Ap14ARF	1	CNA
CDKN2A	CDKN2B	1	CNA
CDKN2Ap14ARF	MTAP	1	CNA
KDM5A	PTPRT	1	MUT
CDKN2Ap16INK4A	IKBKE	1	CNA
FLT3	NTRK1	1	MUT
CDKN2Ap16INK4A	CDKN2B	1	CNA
ERBB4	NOTCH4	1	MUT
CDKN2B	IKBKE	1	CNA
FAT1	IL7R	1	MUT
CDKN2A	CDKN2Ap16INK4A	1	CNA
CDKN2Ap14ARF	IKBKE	1	CNA
MDC1	SF3B1	1	MUT
