Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
ARID1A	1	1	0	0	0.0	0.0	0.0357	0
INPP4B	1	1	0	0	0.0	0.0	0.0357	0
CDKN2A	4	0	4	0	0.0	0.0	0.1488	0
CDKN2Ap14ARF	5	0	5	0	0.0	0.0018	0.1786	0
CDKN2Ap16INK4A	5	0	5	0	0.0	0.0018	0.1786	0
CDKN2B	5	0	5	0	0.0	0.0018	0.1786	0
MTAP	4	0	4	0	0.0	0.0	0.1488	0
IKBKE	3	0	3	0	0.0	0.0	0.1276	0
CREBBP	2	1	1	0	0.5	0.0	0.0357	0
SLX4	2	1	1	0	0.5	0.0	0.0357	0
ERBB4	1	1	0	0	0.0	0.0	0.0357	0
NOTCH4	1	1	0	0	0.0	0.0	0.0357	0
FAT1	1	1	0	0	0.0	0.0	0.0357	0
IL7R	1	1	0	0	0.0	0.0	0.0357	0
FLT3	1	1	0	0	0.0	0.0	0.0357	0
NTRK1	1	1	0	0	0.0	0.0	0.0357	0
KDM5A	1	1	0	0	0.0	0.0	0.0357	0
PTPRT	1	1	0	0	0.0	0.0	0.0357	0
KEAP1	1	1	0	0	0.0	0.0	0.0357	0
STK11	1	1	0	0	0.0	0.0	0.0357	0
MDC1	1	1	0	0	0.0	0.0	0.0357	0
SF3B1	1	1	0	0	0.0	0.0	0.0357	0
PIK3C3	1	1	0	0	0.0	0.0	0.0476	0
TSHR	2	2	0	0	0.0	0.0026	0.0714	0
POT1	1	1	0	0	0.0	0.0	0.0357	0
WT1	1	1	0	0	0.0	0.0	0.0357	0
TERT	1	0	1	0	0.0	0.0	0.0357	0
TRIP13	1	0	1	0	0.0	0.0	0.0357	0
ZFHX3	1	1	0	0	0.0	0.0	0.0476	0
