Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	105	1143	1	0.209	21.77	0.153	0.522	4	4.02
1	63	661	1	0.338	20.98	0.182	0.718	4	3.62
2	61	650	1	0.355	21.31	0.349	0.664	4	3.42
3	45	240	1	0.242	10.67	0.08	0.522	4	6.05
4	27	47	1	0.134	3.48	0.026	0.309	6	4.98
5	4	6	1	1.0	3.0	1.0	1.0	1	9.0
6	3	3	1	1.0	2.0	0.568	1.0	1	4.33
7	3	3	1	1.0	2.0	0.909	1.0	1	3.67
