Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	34	86	1	0.153	5.06	0.069	0.283	6	7.1
1	24	38	1	0.138	3.17	0.065	0.203	6	4.18
2	15	37	1	0.352	4.93	0.352	0.758	4	3.38
3	11	22	1	0.4	4.0	0.246	0.688	4	4.77
4	8	19	1	0.679	4.75	0.211	0.805	3	26.79
5	8	12	1	0.429	3.0	0.213	0.692	3	9.17
6	8	16	1	0.571	4.0	0.232	0.828	3	5.88
7	7	9	1	0.429	2.57	0.431	0.45	3	3.33
8	6	11	1	0.733	3.67	0.399	0.75	2	3.55
9	6	10	1	0.667	3.33	0.159	0.75	2	27.5
10	6	6	1	0.4	2.0	0.229	0.375	4	3.33
11	5	7	1	0.7	2.8	0.579	0.8	2	3.29
12	4	3	1	0.5	1.5	0.0	0.0	3	5.0
13	4	3	1	0.5	1.5	0.0	0.0	3	4.0
14	4	3	1	0.5	1.5	0.0	0.0	3	4.33
15	4	3	1	0.5	1.5	0.0	0.0	3	3.33
16	4	6	1	1.0	3.0	0.851	1.0	1	6.0
17	3	2	1	0.667	1.33	0.0	0.0	2	4.0
18	3	2	1	0.667	1.33	0.0	0.0	2	7.0
19	3	2	1	0.667	1.33	0.0	0.0	2	5.0
20	3	2	1	0.667	1.33	0.0	0.0	2	3.0
21	2	1	1	1.0	1.0	0.0	0.0	1	3.0
22	2	1	1	1.0	1.0	0.0	0.0	1	3.0
23	2	1	1	1.0	1.0	0.0	0.0	1	3.0
24	2	1	1	1.0	1.0	0.0	0.0	1	3.0
25	2	1	1	1.0	1.0	0.0	0.0	1	4.0
26	2	1	1	1.0	1.0	0.0	0.0	1	4.0
27	2	1	1	1.0	1.0	0.0	0.0	1	4.0
28	2	1	1	1.0	1.0	0.0	0.0	1	4.0
29	2	1	1	1.0	1.0	0.0	0.0	1	4.0
30	2	1	1	1.0	1.0	0.0	0.0	1	3.0
31	2	1	1	1.0	1.0	0.0	0.0	1	3.0
32	2	1	1	1.0	1.0	0.0	0.0	1	3.0
33	2	1	1	1.0	1.0	0.0	0.0	1	5.0
