Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	44	79	1	0.084	3.59	0.103	0.193	5	3.44
1	43	77	1	0.085	3.58	0.034	0.2	5	5.04
2	43	86	1	0.095	4.0	0.049	0.218	4	8.06
3	42	102	1	0.118	4.86	0.203	0.254	5	3.71
4	37	80	1	0.12	4.32	0.166	0.297	4	3.99
5	31	69	1	0.148	4.45	0.242	0.357	4	3.57
6	7	6	1	0.286	1.71	0.0	0.0	2	3.33
7	2	1	1	1.0	1.0	0.0	0.0	1	3.0
