Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
2	KEGG_2021_Human	Cholinergic synapse	1/113	0.0443235787702196	0.0622287311743722	KRAS
2	GO_Molecular_Function_2021	omega peptidase activity (GO:0008242)	1/113	0.0443235787702196	0.0684306435541442	BAP1
2	KEGG_2021_Human	Leukocyte transendothelial migration	1/114	0.0447080204553742	0.0622287311743722	PTPN11
2	GO_Biological_Process_2021	activation of protein kinase activity (GO:0032147)	1/114	0.0447080204553742	0.0546431361121241	ABL1
2	GO_Molecular_Function_2021	phosphatase binding (GO:0019902)	1/114	0.0447080204553742	0.0684306435541442	TP53
2	GO_Biological_Process_2021	cellular response to lectin (GO:1990858)	1/115	0.0450923268247162	0.054744196111612	KRAS
2	GO_Biological_Process_2021	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	1/115	0.0450923268247162	0.054744196111612	KRAS
2	Reactome_Pathways_2024	MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane	1/115	0.0450923268247162	0.0529538180145516	TP53
2	Reactome_Pathways_2024	Signaling by NTRK1 (TRKA)	1/115	0.0450923268247162	0.0529538180145516	KRAS
2	Reactome_Pathways_2024	Toll Like Receptor TLR6 TLR2 Cascade	1/115	0.0450923268247162	0.0529538180145516	TP53
2	GO_Biological_Process_2021	regulation of protein-containing complex assembly (GO:0043254)	1/116	0.0454764979116999	0.054843749973246	PTPN11
2	GO_Biological_Process_2021	tumor necrosis factor-mediated signaling pathway (GO:0033209)	1/116	0.0454764979116999	0.054843749973246	TP53
2	Reactome_Pathways_2024	HDR Through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	1/116	0.0454764979116999	0.0532298680474651	ABL1
2	GO_Biological_Process_2021	positive regulation of protein-containing complex assembly (GO:0031334)	1/118	0.0462444344043175	0.0554017481477467	TP53
2	GO_Biological_Process_2021	regulation of cellular response to stress (GO:0080135)	1/118	0.0462444344043175	0.0554017481477467	ABL1
2	GO_Molecular_Function_2021	protease binding (GO:0002020)	1/118	0.0462444344043175	0.0693666516064763	TP53
2	Reactome_Pathways_2024	Negative Regulation of the PI3K AKT Network	1/118	0.0462444344043175	0.0536015035140953	PTPN11
2	Reactome_Pathways_2024	Toll Like Receptor 2 (TLR2) Cascade	1/118	0.0462444344043175	0.0536015035140953	TP53
2	Reactome_Pathways_2024	Toll Like Receptor TLR1 TLR2 Cascade	1/118	0.0462444344043175	0.0536015035140953	TP53
2	KEGG_2021_Human	Growth hormone synthesis, secretion and action	1/119	0.0466281998938997	0.0640360611876223	KRAS
2	GO_Biological_Process_2021	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	1/119	0.0466281998938997	0.0556777518469921	KRAS
2	Reactome_Pathways_2024	KEAP1-NFE2L2 Pathway	1/119	0.0466281998938997	0.0538714154113987	CDKN2A
2	Reactome_Pathways_2024	Homology Directed Repair	1/122	0.0477786858359173	0.0550225511078145	ABL1
2	GO_Biological_Process_2021	cellular response to organic substance (GO:0071310)	1/123	0.0481619111060352	0.0573205696114452	PTPN11
2	GO_Molecular_Function_2021	protein phosphatase binding (GO:0019903)	1/123	0.0481619111060352	0.0708263398618165	TP53
2	GO_Biological_Process_2021	regulation of tumor necrosis factor production (GO:0032680)	1/124	0.0485450014204767	0.0575876977635066	PTPN11
2	GO_Biological_Process_2021	regulation of phosphorylation (GO:0042325)	1/125	0.0489279568229514	0.0578529261457047	CDKN2A
2	GO_Biological_Process_2021	circulatory system development (GO:0072359)	1/126	0.0493107773497669	0.0581162733050824	PTPN11
2	GO_Cellular_Component_2021	mitochondrial outer membrane (GO:0005741)	1/126	0.0493107773497669	0.1570165228848579	KRAS
3	Reactome_Pathways_2024	Transcriptional Regulation by RUNX1	3/202	1.9851891425504163e-05	0.0020248929254014	CCND2;KMT2C;SMARCA4
3	GO_Biological_Process_2021	negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	2/32	3.7051434490294697e-05	0.0081513155878648	BRCA1;SMARCA4
3	KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	0.00010569567427160757	0.0033822615766914	CCND2;FLT1;BRCA1
3	Reactome_Pathways_2024	Generic Transcription Pathway	4/1230	0.00019317396974262305	0.0097143689130392	CCND2;KMT2C;BRCA1;SMARCA4
3	Reactome_Pathways_2024	RNA Polymerase II Transcription	4/1360	0.0002857167327364482	0.0097143689130392	CCND2;KMT2C;BRCA1;SMARCA4
3	GO_Biological_Process_2021	positive regulation of vasculature development (GO:1904018)	2/102	0.000381209751704544	0.0227043446669644	FLT1;BRCA1
3	GO_Biological_Process_2021	positive regulation of protein serine/threonine kinase activity (GO:0071902)	2/106	0.0004116287630670808	0.0227043446669644	CCND2;FLT1
3	GO_Biological_Process_2021	positive regulation of angiogenesis (GO:0045766)	2/116	0.0004927044447159228	0.0227043446669644	FLT1;BRCA1
3	Reactome_Pathways_2024	Gene Expression (Transcription)	4/1615	0.000556391928458094	0.0141879941756813	CCND2;KMT2C;BRCA1;SMARCA4
3	GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	2/140	0.0007164419611361558	0.0227043446669644	PTPRD;FLT1
3	KEGG_2021_Human	Transcriptional misregulation in cancer	2/192	0.0013407650573135	0.0156584857664834	CCND2;FLT1
3	KEGG_2021_Human	Focal adhesion	2/201	0.0014679830406078	0.0156584857664834	CCND2;FLT1
3	GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	2/203	0.0014970149329791	0.0227043446669644	FLT1;BRCA1
3	GO_Biological_Process_2021	cellular response to indole-3-methanol (GO:0071681)	1/5	0.0014992198216206	0.0227043446669644	BRCA1
3	GO_Biological_Process_2021	regulation of histone H4-K16 acetylation (GO:2000618)	1/5	0.0014992198216206	0.0227043446669644	BRCA1
3	GO_Biological_Process_2021	negative regulation of vascular endothelial cell proliferation (GO:1905563)	1/5	0.0014992198216206	0.0227043446669644	FLT1
3	GO_Biological_Process_2021	positive regulation of histone H3-K9 acetylation (GO:2000617)	1/5	0.0014992198216206	0.0227043446669644	BRCA1
3	GO_Biological_Process_2021	response to indole-3-methanol (GO:0071680)	1/5	0.0014992198216206	0.0227043446669644	BRCA1
3	Reactome_Pathways_2024	Drug-mediated Inhibition of CDK4 CDK6 Activity	1/5	0.0014992198216206	0.0271757349845811	CCND2
3	GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	3/908	0.0016824107567384	0.0227043446669644	KMT2C;BRCA1;SMARCA4
3	GO_Biological_Process_2021	negative regulation of histone H3-K9 methylation (GO:0051573)	1/6	0.0017988408901478	0.0227043446669644	BRCA1
