Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
GPS2	5	0	5	0	0.0	0.0	0.32
HLA-A	5	3	2	0	0.48	0.0012	0.3422
CBFB	5	4	1	0	0.32	0.0001	0.3424
TCF7L2	5	4	1	0	0.32	0.0001	0.3327
HIST1H1C	5	4	1	0	0.32	0.0	0.358
PIK3R2	5	4	1	0	0.32	0.0	0.3536
SDHB	5	4	1	0	0.32	0.0001	0.334
IDH2	5	4	1	0	0.32	0.0002	0.3361
RHEB	5	2	3	0	0.48	0.0003	0.332
SHOC2	4	3	1	0	0.375	0.0001	0.3451
CDKN1A	4	1	3	0	0.375	0.0005	0.3258
EZH1	4	4	0	0	0.0	0.0001	0.3533
RAC2	4	2	2	0	0.5	0.0	0.3567
CTR9	4	3	1	0	0.375	0.0041	0.3396
PPARG	4	4	0	0	0.0	0.0	0.3533
CCND3	4	0	4	0	0.0	0.0001	0.2835
SDHD	4	4	0	0	0.0	0.0	0.3556
FANCC	4	2	2	0	0.5	0.0001	0.3342
PLK2	4	3	1	0	0.375	0.0001	0.3123
SLFN11	4	2	2	0	0.5	0.0001	0.3117
HIST1H3G	4	4	0	0	0.0	0.0001	0.358
GAB1	3	2	1	0	0.4444	0.0	0.3536
MSI2	3	1	2	0	0.4444	0.0	0.3169
MAPKAP1	3	2	1	0	0.4444	0.0	0.3109
XIAP	3	2	1	0	0.4444	0.0041	0.3198
NUP93	3	1	2	0	0.4444	0.0	0.2998
RYBP	3	0	3	0	0.0	0.0	0.3111
CYP19A1	3	3	0	0	0.0	0.0	0.3567
RTEL1-TNFRSF6B	3	3	0	0	0.0	0.0	0.3333
RHOA	3	1	2	0	0.4444	0.0	0.29
H3-4	3	0	3	0	0.0	0.0	0.2843
FGFR2	3	3	0	0	0.0	0.0001	0.3232
PRKAR1A	2	1	1	0	0.5	0.0	0.275
HIST1H2BD	2	2	0	0	0.0	0.0	0.3349
CDKN2C	2	1	1	0	0.5	0.0	0.2985
CTNNB1	2	2	0	0	0.0	0.0001	0.278
SESN1	2	0	2	0	0.0	0.0001	0.278
SUFU	2	2	0	0	0.0	0.0	0.3221
SDHAF2	2	1	1	0	0.5	0.0	0.3223
H3F3B	2	1	1	0	0.5	0.0	0.3277
