Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
KRAS	17	14	3	0	0.2907	0.706	1.0	0.5522
STK11	7	5	2	0	0.4082	0.0192	0.6087	0.5174
KEAP1	9	6	3	0	0.4444	0.0403	0.6364	0.5172
SMARCA4	7	5	2	0	0.4082	0.0192	0.6087	0.3248
ATM	2	2	0	0	0.0	0.0	0.5385	0.1488
EPHA5	5	5	0	0	0.0	0.0174	0.6087	0.1254
FLT1	4	4	0	0	0.0	0.0037	0.5833	0.0775
STAG2	4	4	0	0	0.0	0.0073	0.5833	0.057
PAK7	5	3	2	0	0.48	0.0055	0.56	0.0474
U2AF1	3	2	1	0	0.4444	0.0	0.5385	0.0471
SOX17	3	3	0	0	0.0	0.0	0.56	0.0321
H3F3C	3	1	2	0	0.4444	0.0	0.5385	0.0243
DNMT3B	1	1	0	0	0.0	0.0	0.5185	0.0242
FOXP1	1	1	0	0	0.0	0.0	0.5185	0.0185
RECQL	5	2	3	0	0.48	0.0055	0.56	0.0162
