Cluster_ID	N_Nodes	N_Edges	Density	Avg_Degree	Avg_Clustering
0	60	282	0.159	9.4	0.112
1	76	206	0.072	5.42	0.044
2	53	121	0.088	4.57	0.066
3	68	335	0.147	9.85	0.079
4	50	166	0.136	6.64	0.051
5	30	37	0.085	2.47	0.015
6	41	73	0.089	3.56	0.037
7	58	210	0.127	7.24	0.078
