Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	119	831	1	0.118	13.97	0.026	0.325	4	7.56
1	112	590	1	0.095	10.54	0.019	0.298	4	7.81
2	105	501	1	0.092	9.54	0.073	0.281	5	5.45
3	81	514	1	0.159	12.69	0.125	0.371	4	4.91
4	18	38	1	0.248	4.22	0.24	0.37	3	4.21
5	2	1	1	1.0	1.0	0.0	0.0	1	44.0
