Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	8	1.0	0.2643	1.0	0.6786
CDKN2Ap16INK4A	7	0.875	0.0143	0.8889	0.9048
CDKN2A	7	0.875	0.0143	0.8889	0.9048
CDKN2Ap14ARF	7	0.875	0.0143	0.8889	0.9048
CDKN2B	7	0.875	0.0143	0.8889	0.9048
H3F3C	6	0.75	0.0	0.8	1.0
RECQL	6	0.75	0.0	0.8	1.0
SMAD4	5	0.625	0.0	0.7273	1.0
MYC	1	0.125	0.0	0.5333	0.0
