Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	17	1.0	0.6262	1.0	0.1691
PIK3CA	12	0.7059	0.1562	0.7727	0.303
EP300	8	0.4706	0.0257	0.6538	0.6071
PTEN	7	0.4118	0.0123	0.6296	0.7143
SMAD2	6	0.3529	0.0104	0.6071	0.7333
PTPRD	4	0.2353	0.0	0.5667	1.0
AMER1	4	0.2353	0.0	0.5667	1.0
DNMT3B	4	0.2353	0.0	0.5667	1.0
ATRX	3	0.1765	0.0	0.5484	1.0
SMAD3	3	0.1765	0.0	0.5484	1.0
PMS2	2	0.1176	0.0	0.5312	1.0
FOXP1	2	0.1176	0.0	0.5312	1.0
GNAS	2	0.1176	0.0	0.5312	1.0
HLA-A	2	0.1176	0.0	0.5312	1.0
ERCC3	1	0.0588	0.0	0.5152	0.0
NFE2L2	1	0.0588	0.0	0.5152	0.0
NEGR1	1	0.0588	0.0	0.5152	0.0
FLCN	1	0.0588	0.0	0.5152	0.0
