Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
0	Reactome	Reactome: Gene expression (transcription)	1	6.002791179915681e-15	33	38.37	86	Gene Expression (Transcription)	ABL1;ARID1A;BARD1;BRIP1;CHEK2;CTLA4;CTR9;DAXX;DICER1;DROSHA;EGFR;KDM6A;KMT2A;KMT2B;MDC1;MGA;MLH1;NCOR1;NOTCH1;NOTCH2;PMS2;RPTOR;SETDB1;SMAD2;SMAD3;SOX9;TCF3;TCF7L2;TP53;TSC2;VEGFA;YES1;ZFHX3
0	Reactome	Reactome: Generic transcription pathway	1	9.648508761384866e-14	28	32.56	86	Generic Transcription Pathway	ABL1;ARID1A;BARD1;BRIP1;CHEK2;CTLA4;DAXX;EGFR;KMT2A;KMT2B;MDC1;MGA;MLH1;NCOR1;NOTCH1;NOTCH2;PMS2;RPTOR;SMAD2;SMAD3;SOX9;TCF3;TCF7L2;TP53;TSC2;VEGFA;YES1;ZFHX3
0	Reactome	Reactome: Rna polymerase ii transcription	1	1.599534526467893e-13	29	33.72	86	RNA Polymerase II Transcription	ABL1;ARID1A;BARD1;BRIP1;CHEK2;CTLA4;CTR9;DAXX;EGFR;KMT2A;KMT2B;MDC1;MGA;MLH1;NCOR1;NOTCH1;NOTCH2;PMS2;RPTOR;SMAD2;SMAD3;SOX9;TCF3;TCF7L2;TP53;TSC2;VEGFA;YES1;ZFHX3
0	Reactome	Reactome: Disease	1	1.4302570482806832e-11	33	38.37	86	Disease	ABL1;ARAF;BARD1;BRIP1;CYSLTR2;DAXX;EGFR;FGFR2;HLA-A;HLA-B;HLA-C;IDH1;JAK3;MAP2K1;MLH1;MSH3;MSH6;NCOR1;NOTCH1;NOTCH2;PDCD1;PIK3R2;PIK3R3;PMS2;RNF43;SMAD2;SMAD3;TCF7L2;TGFBR2;TP53;TSC2;VEGFA;YES1
0	Reactome	Reactome: Signal transduction	1	3.2363830458533924e-11	36	41.86	86	Signal Transduction	ABL1;ARAF;AXIN2;CYSLTR2;EGFR;FGFR2;FLT4;GLI1;JAK3;LATS2;MAP2K1;MST1R;NCOR1;NOTCH1;NOTCH2;PIK3R2;PIK3R3;PTCH1;PTPRS;RHOA;RNF43;RPTOR;SH2B3;SMAD2;SMAD3;SMO;SOX17;SOX9;SPEN;TCF3;TCF7L2;TGFBR2;TP53;TSC2;VEGFA;YES1
1	GO	GO: Biological regulation	9	3.972250923608777e-11	33	49.25	67	regulation of cell population proliferation (GO:0042127) | regulation of cellular response to stress (GO:0080135) | regulation of cell division (GO:0051302) | regulation of cell cycle (GO:0051726) | regulation of programmed cell death (GO:0043067) | regulation of cell adhesion (GO:0030155) | regulation of microtubule-based process (GO:0032886) | regulation of actin filament-based process (GO:0032970) | regulation of signal transduction (GO:0009966)	ALK;ATM;ATR;BIRC3;BRCA1;CDC73;CTNNB1;EPHA3;ESR1;FLCN;FLT1;FYN;GSK3B;INSR;IRS2;JUN;KDR;KIT;MAPK3;MDM4;MTOR;NKX3-1;NTRK1;PBRM1;PIK3C3;PIK3CG;PPM1D;RAF1;RASA1;SETD2;TBX3;WT1;WWTR1
1	GO	GO: Developmental process	9	1.9503482114191176e-05	10	14.93	67	sympathetic nervous system development (GO:0048485) | hepaticobiliary system development (GO:0061008) | autonomic nervous system development (GO:0048483) | endocrine system development (GO:0035270) | nervous system development (GO:0007399) | exocrine system development (GO:0035272) | digestive system development (GO:0055123) | spinal cord development (GO:0021510) | ovarian follicle development (GO:0001541)	CDH1;CTNNB1;KIT;MET;NF1;NKX3-1;NTRK1;TBX3;WT1;WWTR1
1	GO	GO: Cell differentiation	9	2.75866115086458e-05	15	22.39	67	myeloid cell differentiation (GO:0030099) | hematopoietic progenitor cell differentiation (GO:0002244) | vasculogenesis (GO:0001570) | neuron differentiation (GO:0030182) | endodermal cell differentiation (GO:0035987) | stem cell differentiation (GO:0048863) | mesenchymal cell differentiation (GO:0048762) | renal filtration cell differentiation (GO:0061318) | epithelial cell differentiation (GO:0030855)	ALK;CDC73;CTNNB1;FLT1;GATA1;GSK3B;IKZF1;KDR;KIT;MET;PTPRD;RASA1;SETD2;TET2;WT1
1	GO	GO: Regulation of intracellular signal transduction	8	2.377763023235455e-11	26	38.81	67	positive regulation of intracellular signal transduction (GO:1902533) | regulation of protein kinase B signaling (GO:0051896) | regulation of MAPK cascade (GO:0043408) | regulation of signal transduction by p53 class mediator (GO:1901796) | regulation of SMAD protein signal transduction (GO:0060390) | negative regulation of intracellular signal transduction (GO:1902532) | regulation of endoplasmic reticulum unfolded protein response (GO:1900101) | regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	ATM;ATR;BIRC3;BRCA1;CARD11;ESR1;FLCN;FLT1;FYN;INSR;IRS2;KDR;KIT;MAPK3;MDM4;MET;MTOR;NF1;NKX3-1;NTRK1;PIK3CB;PIK3CG;PIK3R1;PRDM1;SMAD4;WWTR1
1	GO	GO: Cytokine-mediated signaling pathway	8	0.0016338653066189	3	4.48	67	interleukin-6-mediated signaling pathway (GO:0070102) | interleukin-7-mediated signaling pathway (GO:0038111) | interleukin-21-mediated signaling pathway (GO:0038114) | interleukin-9-mediated signaling pathway (GO:0038113) | interleukin-2-mediated signaling pathway (GO:0038110) | interleukin-35-mediated signaling pathway (GO:0070757) | interleukin-15-mediated signaling pathway (GO:0035723) | interleukin-27-mediated signaling pathway (GO:0070106)	IRS2;JAK1;SMAD4
