Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
2	GO	GO: Regulation of cold-induced thermogenesis	1	0.0004952830617945	3	9.38	32	positive regulation of cold-induced thermogenesis (GO:0120162)	APC;CXCR4;JAK2
2	GO	GO: Positive regulation of dna-binding transcription factor activity (go:0051091) (No ID match)	1	0.0006126420569399	4	12.5	32	positive regulation of DNA-binding transcription factor activity (GO:0051091)	ARID5B;DDR2;KIT;SMARCA4
2	GO	GO: Regulation of phospholipase activity	1	0.000669606715807	2	6.25	32	positive regulation of phospholipase activity (GO:0010518)	FGFR2;KIT
2	GO	GO: Ubiquitin-like protein ligase binding	1	0.0008090687560534	4	12.5	32	ubiquitin protein ligase binding (GO:0031625)	APC;CXCR4;EGFR;ERBB3
2	GO	GO: Protein-containing complex organization	1	0.0008320505401253	4	12.5	32	protein-containing complex assembly (GO:0065003)	APC;CREBBP;MEN1;SMARCA4
2	GO	GO: Regulation of dna binding	1	0.0008490191830924	2	6.25	32	regulation of transcription regulatory region DNA binding (GO:2000677)	DOT1L;GATA1
2	GO	GO: Nucleic acid metabolic process	1	0.000953940936037	4	12.5	32	DNA metabolic process (GO:0006259)	DOT1L;MEN1;POLD1;UPF1
2	GO	GO: Regulation of apoptotic process	1	0.000962902228458	5	15.62	32	negative regulation of apoptotic process (GO:0043066)	AXL;EGFR;ERBB3;GATA1;TBX3
2	GO	GO: Negative regulation of binding	1	0.0011202887088092	2	6.25	32	negative regulation of DNA binding (GO:0043392)	GATA1;JAK2
2	GO	GO: Regulation of osteoblast differentiation	1	0.0011202887088092	2	6.25	32	negative regulation of osteoblast differentiation (GO:0045668)	MEN1;PTCH1
2	GO	GO: Erbb signaling pathway	1	0.0011937830632131	2	6.25	32	ERBB2 signaling pathway (GO:0038128)	EGFR;ERBB3
2	GO	GO: Positive regulation of receptor signaling pathway via stat	1	0.0012695342481069	2	6.25	32	positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	JAK2;KIT
2	GO	GO: Phosphatidylinositol 3-kinase signaling (go:0014065) (No ID match)	1	0.0013475353108508	2	6.25	32	phosphatidylinositol 3-kinase signaling (GO:0014065)	ERBB3;PIK3R2
2	GO	GO: Histone lysine methylation (go:0034968) (No ID match)	1	0.0013475353108508	2	6.25	32	histone lysine methylation (GO:0034968)	DOT1L;MEN1
2	GO	GO: Regulation of phosphatidylinositol 3-kinase activity (go:0043551) (No ID match)	1	0.0014277793137493	2	6.25	32	regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	KIT;PIK3R2
2	GO	GO: Protein methyltransferase activity	1	0.0014277793137493	2	6.25	32	protein-lysine N-methyltransferase activity (GO:0016279)	DOT1L;MEN1
2	GO	GO: Negative regulation of dna-binding transcription factor activity (go:0043433) (No ID match)	1	0.0015250350706774	3	9.38	32	negative regulation of DNA-binding transcription factor activity (GO:0043433)	KEAP1;MEN1;PTCH1
2	GO	GO: Transcription regulatory region nucleic acid binding	1	0.0016686645493067	5	15.62	32	transcription cis-regulatory region binding (GO:0000976)	ARID5B;GATA1;HNF1A;MEN1;PRDM14
2	GO	GO: Regulation of tor signaling	1	0.0016818998191634	2	6.25	32	negative regulation of TOR signaling (GO:0032007)	STK11;TSC2
2	GO	GO: Development of primary sexual characteristics	1	0.0021496497140763	2	6.25	32	development of primary male sexual characteristics (GO:0046546)	GATA1;KIT
2	GO	GO: Positive regulation of phospholipase c activity (go:0010863) (No ID match)	1	0.0021496497140763	2	6.25	32	positive regulation of phospholipase C activity (GO:0010863)	EGFR;KIT
2	GO	GO: Negative regulation of wnt signaling pathway	1	0.0022940850034432	3	9.38	32	negative regulation of canonical Wnt signaling pathway (GO:0090090)	APC;LATS2;STK11
2	GO	GO: Histone-lysine n-methyltransferase activity (go:0018024) (No ID match)	1	0.0023520656851959	2	6.25	32	histone-lysine N-methyltransferase activity (GO:0018024)	DOT1L;MEN1
2	GO	GO: Regulation of binding	1	0.0025631521818335	2	6.25	32	regulation of DNA binding (GO:0051101)	DOT1L;JAK2
2	GO	GO: Chromosome organization	1	0.0025631521818335	2	6.25	32	telomere organization (GO:0032200)	DOT1L;POLD1
2	GO	GO: Regulation of cellular component movement (go:0051270) (No ID match)	1	0.0028959211173454	2	6.25	32	regulation of cellular component movement (GO:0051270)	EGFR;ERBB3
2	GO	GO: Positive regulation of response to dna damage stimulus (go:2001022) (No ID match)	1	0.0034931271287104	2	6.25	32	positive regulation of response to DNA damage stimulus (GO:2001022)	EGFR;SPRED1
2	GO	GO: Embryo development ending in birth or egg hatching	1	0.0038767126787624	2	6.25	32	chordate embryonic development (GO:0043009)	FGFR2;PTCH1
2	GO	GO: Positive regulation of peptidyl-tyrosine phosphorylation	1	0.0040087451992263	2	6.25	32	positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	JAK2;KIT
2	GO	GO: Plasma membrane raft	1	0.0041428521011986	2	6.25	32	caveola (GO:0005901)	JAK2;PTCH1
2	GO	GO: B cell activation	1	0.0042790268344135	2	6.25	32	B cell differentiation (GO:0030183)	CD79B;KIT
2	GO	GO: Transcription factor binding	1	0.0044035705607892	3	9.38	32	DNA-binding transcription factor binding (GO:0140297)	CREBBP;GATA1;TBX3
2	GO	GO: Negative regulation of catalytic activity	1	0.0044172628619499	2	6.25	32	negative regulation of kinase activity (GO:0033673)	SPRED1;TSC2
2	GO	GO: Protein kinase regulator activity	1	0.0045575536632649	2	6.25	32	protein kinase activator activity (GO:0030295)	ERBB3;STK11
2	GO	GO: Regulation of cellular catabolic process (go:0031329) (No ID match)	1	0.0048442735710893	2	6.25	32	regulation of cellular catabolic process (GO:0031329)	KEAP1;PIK3R2
2	GO	GO: Response to lipid	1	0.0050828209151518	3	9.38	32	cellular response to lipid (GO:0071396)	AXL;EGFR;UPF1
2	GO	GO: Double-stranded dna binding	1	0.0051130605942725	5	15.62	32	sequence-specific double-stranded DNA binding (GO:1990837)	ARID5B;GATA1;HNF1A;MEN1;TBX3
2	GO	GO: Regulation of hemopoiesis	1	0.0052896020248526	2	6.25	32	regulation of myeloid cell differentiation (GO:0045637)	CREBBP;GATA1
2	GO	GO: Positive regulation of mapk cascade	1	0.0054420853214693	2	6.25	32	positive regulation of MAP kinase activity (GO:0043406)	EGFR;KIT
2	GO	GO: Chemical homeostasis	1	0.0055965781432796	2	6.25	32	carbohydrate homeostasis (GO:0033500)	HNF1A;STK11
2	GO	GO: Cellular response to radiation	1	0.0055965781432796	2	6.25	32	cellular response to light stimulus (GO:0071482)	CREBBP;POLD1
2	GO	GO: Regulation of mitotic cell cycle phase transition	1	0.0057530740844661	2	6.25	32	regulation of G1/S transition of mitotic cell cycle (GO:2000045)	APC;EGFR
2	GO	GO: Histone acetylation (go:0016573) (No ID match)	1	0.0057530740844661	2	6.25	32	histone acetylation (GO:0016573)	BRCA2;CREBBP
2	GO	GO: Negative regulation of cell population proliferation	1	0.0059115667529958	2	6.25	32	negative regulation of epithelial cell proliferation (GO:0050680)	BRCA2;FGFR2
2	GO	GO: Negative regulation of nucleic acid-templated transcription (go:1903507) (No ID match)	1	0.006148264458867	4	12.5	32	negative regulation of nucleic acid-templated transcription (GO:1903507)	ARID5B;MEN1;SMARCA4;TBX3
2	GO	GO: Nucleic acid phosphodiester bond hydrolysis (go:0090305) (No ID match)	1	0.0063989614074226	2	6.25	32	nucleic acid phosphodiester bond hydrolysis (GO:0090305)	DICER1;POLD1
2	GO	GO: Membrane	1	0.0071064296071046	7	21.88	32	integral component of plasma membrane (GO:0005887)	AXL;CD79B;DDR2;EGFR;ERBB3;FGFR2;KIT
2	GO	GO: Regulation of leukocyte mediated immunity	1	0.0079751460001487	1	3.12	32	regulation of dendritic cell cytokine production (GO:0002730)	KIT
2	GO	GO: Regulation of protein metabolic process	1	0.0079751460001487	1	3.12	32	regulation of glycoprotein metabolic process (GO:1903018)	GATA1
2	GO	GO: Chemokine-mediated signaling pathway	1	0.0079751460001487	1	3.12	32	chemokine (C-X-C motif) ligand 12 signaling pathway (GO:0038146)	CXCR4
2	GO	GO: Regulation of autophagy of mitochondrion	1	0.0079751460001487	1	3.12	32	regulation of mitophagy (GO:1901524)	TSC2
