Cluster_ID	Meta_Term	Best_P-value	Aggregated_Terms	All_Genes	N_Terms_Merged
0	Pathways in cancer	4.3299004551866205e-16	Pathways in cancer | positive regulation of intracellular signal transduction (GO:1902533)	MSH3;SOX9;ARAF;SMO;PDGFRA;GATA3;MLH1;EP300;FGFR4;NTRK2;IGF2;FLT3;RUNX1;JAK3;TEK;IL7R;CBL;MET;RPTOR;FGF4;FH;TGFBR1;ALK;PLCG2	2
0	regulation of kinase activity (GO:0043549)	3.142892038116031e-15	regulation of kinase activity (GO:0043549) | positive regulation of transferase activity (GO:0051347) | positive regulation of phosphorylation (GO:0042327) | protein tyrosine kinase activity (GO:0004713) | positive regulation of kinase activity (GO:0033674) | transmembrane receptor protein kinase activity (GO:0019199) | transmembrane receptor protein tyrosine kinase activity (GO:0004714) | enzyme linked receptor protein signaling pathway (GO:0007167) | transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) | Ras signaling pathway | protein phosphorylation (GO:0006468) | protein autophosphorylation (GO:0046777) | integral component of plasma membrane (GO:0005887) | regulation of ERK1 and ERK2 cascade (GO:0070372)	MAP3K1;NBN;BTK;GRIN2A;PTPRT;SOX9;ROS1;PDGFRA;FGFR4;NTRK2;IGF2;FLT3;CDK12;JAK3;FAT1;TEK;RAD50;CBL;MET;FGF4;EPHA5;HLA-A;TGFBR1;ALK;PLCG2;TSHR	14
0	regulation of cell population proliferation (GO:0042127)	3.048886966725845e-13	regulation of cell population proliferation (GO:0042127) | regulation of protein kinase B signaling (GO:0051896) | regulation of gene expression (GO:0010468) | positive regulation of cell population proliferation (GO:0008284) | positive regulation of cellular process (GO:0048522)	MYCN;CTCF;INHBA;SOX9;SMO;PDGFRA;GATA3;EP300;FGFR4;TSC1;NTRK2;IGF2;FLT3;RUNX1;TEK;BCL6;IL7R;ARID2;MET;RPTOR;PRDM1;FGF4;SH2B3;TGFBR1;ALK;PHOX2B;PLCG2;TSHR	5
0	neuron differentiation (GO:0030182)	8.328220403776717e-11	neuron differentiation (GO:0030182) | neuron development (GO:0048666) | generation of neurons (GO:0048699)	MET;NTRK2;ERCC2;ETV1;RUNX1;EPHA5;INHBA;TGFBR1;ALK;PHOX2B;FOXA1	3
0	PI3K-Akt signaling pathway	4.164914503711474e-10	PI3K-Akt signaling pathway | MAPK signaling pathway | positive regulation of protein kinase B signaling (GO:0051897) | MAPK cascade (GO:0000165) | positive regulation of MAPK cascade (GO:0043410) | positive regulation of ERK1 and ERK2 cascade (GO:0070374)	MAP3K1;RPTOR;MET;IGF2;GATA3;FLT3;FGF4;JAK3;TEK;ARAF;FGFR4;TGFBR1;PLCG2;TSC1;IL7R;SOX9;NTRK2;PDGFRA	6
0	positive regulation of protein phosphorylation (GO:0001934)	7.105934645517382e-10	positive regulation of protein phosphorylation (GO:0001934) | positive regulation of protein modification process (GO:0031401) | regulation of protein phosphorylation (GO:0001932)	RPTOR;NBN;IGF2;FGF4;INHBA;TEK;TGFBR1;RAD50;PLCG2;SOX9;ARAF;NTRK2	3
0	peptidyl-tyrosine modification (GO:0018212)	1.4697686092322107e-08	peptidyl-tyrosine modification (GO:0018212) | peptidyl-tyrosine phosphorylation (GO:0018108) | positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552) | positive regulation of lipid kinase activity (GO:0090218) | B cell activation (GO:0042113) | regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	BTK;FLT3;JAK3;TEK;FGFR4;PLCG2;PDGFRA	6
0	regulation of intracellular signal transduction (GO:1902531)	5.207772396070202e-08	regulation of intracellular signal transduction (GO:1902531) | regulation of signal transduction by p53 class mediator (GO:1901796)	NBN;PRDM1;EP300;BARD1;TEK;RAD50;PLCG2;ARAF;NTRK2;ROS1;BRIP1	2
0	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	1.0232489694476492e-07	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068) | regulation of phosphatidylinositol 3-kinase signaling (GO:0014066) | negative regulation of apoptotic process (GO:0043066)	CBL;FLT3;TEK;BARD1;SOX9;ARAF;NTRK2;PDGFRA	3
0	Homologous recombination	1.297836280499356e-07	Homologous recombination | DNA repair (GO:0006281) | DNA double-strand break processing (GO:0000729) | double-strand break repair (GO:0006302) | negative regulation of telomere capping (GO:1904354) | DNA replication (GO:0006260) | cellular response to DNA damage stimulus (GO:0006974) | double-strand break repair via nonhomologous end joining (GO:0006303) | positive regulation of chromosome organization (GO:2001252) | negative regulation of telomere maintenance (GO:0032205) | DNA strand elongation (GO:0022616) | DNA metabolic process (GO:0006259) | telomere capping (GO:0016233) | recombinational repair (GO:0000725) | regulation of telomere capping (GO:1904353) | positive regulation of protein autophosphorylation (GO:0031954) | cellular macromolecule biosynthetic process (GO:0034645) | DNA geometric change (GO:0032392) | regulation of telomere maintenance (GO:0032204) | double-strand break repair via homologous recombination (GO:0000724) | DNA damage checkpoint signaling (GO:0000077) | positive regulation of telomere maintenance (GO:0032206) | regulation of protein autophosphorylation (GO:0031952) | DNA integrity checkpoint signaling (GO:0031570) | telomere organization (GO:0032200)	NBN;ERCC2;MLH1;INHBA;BARD1;MSH3;BCL6;RAD50;XRCC2;BRIP1	25
