Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
0	GO	GO: Dna repair	5	2.322967651023865e-09	15	17.44	86	mismatch repair (GO:0006298) | double-strand break repair (GO:0006302) | nucleotide-excision repair (GO:0006289) | interstrand cross-link repair (GO:0036297) | recombinational repair (GO:0000725)	ABL1;BAP1;BARD1;BRIP1;CHEK2;FANCA;MDC1;MLH1;MSH3;MSH6;PMS2;POLD1;RECQL;SLX4;TP53
0	GO	GO: Enzyme binding	5	3.186343348341482e-08	19	22.09	86	phosphatase binding (GO:0019902) | kinase binding (GO:0019900) | ubiquitin-like protein ligase binding (GO:0044389) | DEAD/H-box RNA helicase binding (GO:0017151) | histone deacetylase binding (GO:0042826)	AXIN2;BARD1;BCOR;CHEK2;DAXX;DROSHA;EGFR;FLT4;JAK3;MAP3K1;NCOR1;PIK3R2;RHOA;RPTOR;SMAD2;SMAD3;TCF7L2;TP53;TSC2
0	GO	GO: Bounding membrane of organelle	5	3.99781180229888e-07	9	10.47	86	endocytic vesicle membrane (GO:0030666) | coated vesicle membrane (GO:0030662) | transport vesicle membrane (GO:0030658) | ciliary membrane (GO:0060170) | endosome membrane (GO:0010008)	EGFR;EPHB1;HLA-A;HLA-B;HLA-C;IL7R;PTCH1;SMO;TAP2
0	GO	GO: Cell differentiation	5	1.1853953663452088e-05	9	10.47	86	vasculogenesis (GO:0001570) | mesenchymal cell differentiation (GO:0048762) | hematopoietic progenitor cell differentiation (GO:0002244) | epithelial cell differentiation (GO:0030855) | stem cell differentiation (GO:0048863)	FGFR2;FLT4;GLI1;NOTCH1;SOX17;SOX9;TGFBR2;TP53;VEGFA
0	GO	GO: Positive regulation of developmental process	5	1.5322673851156752e-05	12	13.95	86	positive regulation of cell differentiation (GO:0045597) | positive regulation of morphogenesis of an epithelium (GO:1905332) | positive regulation of nervous system development (GO:0051962) | positive regulation of kidney development (GO:0090184) | positive regulation of trophoblast cell migration (GO:1901165)	ABL1;AXIN2;EPHB1;RHOA;SMAD2;SMAD3;SMO;SOX9;SPEN;TCF3;TGFBR2;VEGFA
0	GO	GO: Animal organ morphogenesis	5	2.3363368203867088e-05	8	9.3	86	odontogenesis (GO:0042476) | heart morphogenesis (GO:0003007) | skeletal system morphogenesis (GO:0048705) | embryonic organ morphogenesis (GO:0048562) | gland morphogenesis (GO:0022612)	ANKRD11;AXIN2;BCOR;FGFR2;NOTCH1;SOX17;SOX9;VEGFA
0	GO	GO: Negative regulation of biological process	5	0.0001563451027858	15	17.44	86	negative regulation of cellular process (GO:0048523) | negative regulation of growth (GO:0045926) | negative regulation of immune system process (GO:0002683) | negative regulation of developmental process (GO:0051093) | negative regulation of long-term synaptic potentiation (GO:1900272)	ABL1;AXIN2;BAP1;CTCF;MAP2K1;NOTCH1;NOTCH2;PDCD1;PTPRS;SH2B3;SMAD3;SOX17;SOX9;TP53;TSC2
0	GO	GO: Cellular component organization or biogenesis	5	0.0002766492636383	11	12.79	86	chromatin assembly (GO:0031497) | chromatin organization (GO:0006325) | protein-containing complex subunit organization (GO:0043933) | cellular component assembly (GO:0022607) | cell junction organization (GO:0034330)	ARID1A;CTCF;DAXX;FANCA;KDM6A;KMT2A;RHOA;SETDB1;SMAD3;SOX9;TP53
0	GO	GO: Regulation of dna-templated transcription	4	2.855204391045896e-13	38	44.19	86	positive regulation of transcription, DNA-templated (GO:0045893) | regulation of transcription by RNA polymerase II (GO:0006357) | negative regulation of transcription, DNA-templated (GO:0045892) | regulation of DNA-templated transcription, initiation (GO:2000142)	ABL1;ARID1A;ASXL1;BAP1;BCOR;BRIP1;CHEK2;CTCF;CTR9;DAXX;DICER1;DOT1L;EGFR;ERG;FGFR2;FOXP1;GLI1;HNF1A;KMT2A;KMT2B;MAP2K1;MGA;NCOR1;NOTCH1;PIK3R2;PTCH1;RPS6KA4;RPTOR;SMAD2;SMAD3;SOX17;SOX9;SPEN;TCF3;TCF7L2;TP53;VEGFA;ZFHX3
0	GO	GO: Cell development	4	1.603937445500146e-07	11	12.79	86	hemopoiesis (GO:0030097) | bone cell development (GO:0098751) | cardiac cell development (GO:0055006) | chondrocyte development (GO:0002063)	FGFR2;FLT4;FOXP1;KMT2A;NOTCH1;NOTCH2;SH2B3;SOX9;TGFBR2;TP53;VEGFA
