Cluster_ID	Meta_Term	Best_P-value	Aggregated_Terms	All_Genes	N_Terms_Merged
0	positive regulation of transcription, DNA-templated (GO:0045893)	6.740344295325572e-08	positive regulation of transcription, DNA-templated (GO:0045893) | DNA binding (GO:0003677) | positive regulation of nucleic acid-templated transcription (GO:1903508) | Hepatocellular carcinoma | nucleus (GO:0005634) | regulation of transcription, DNA-templated (GO:0006355) | intracellular membrane-bounded organelle (GO:0043231) | positive regulation of transcription by RNA polymerase II (GO:0045944) | regulation of transcription by RNA polymerase II (GO:0006357)	SMAD2;RPTOR;ARID1A;SMARCA4;KMT2C;AXIN1;CCND2;FAT1;BRCA2;BRCA1;INSR;POLE;KMT2D	9
0	regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	2.0540807489581383e-06	regulation of intracellular estrogen receptor signaling pathway (GO:0033146) | Breast cancer | response to estrogen (GO:0043627) | ubiquitin protein ligase binding (GO:0031625) | protein-containing complex assembly (GO:0065003) | ubiquitin-like protein ligase binding (GO:0044389) | positive regulation of protein modification by small protein conjugation or removal (GO:1903322) | positive regulation of protein ubiquitination (GO:0031398) | regulation of protein ubiquitination (GO:0031396) | Cushing syndrome | transcription cis-regulatory region binding (GO:0000976) | regulation of gene expression (GO:0010468)	SMAD2;SMARCA4;AXIN1;BRCA2;BRCA1;INSR;KMT2D	12
0	PI3K-Akt signaling pathway	6.282802494740554e-06	PI3K-Akt signaling pathway | positive regulation of phosphorylation (GO:0042327) | positive regulation of protein serine/threonine kinase activity (GO:0071902) | positive regulation of cellular process (GO:0048522) | positive regulation of protein phosphorylation (GO:0001934) | positive regulation of G1/S transition of mitotic cell cycle (GO:1900087) | positive regulation of cell cycle G1/S phase transition (GO:1902808) | positive regulation of cell population proliferation (GO:0008284) | peptidyl-tyrosine modification (GO:0018212) | positive regulation of mitotic cell cycle phase transition (GO:1901992) | transmembrane receptor protein kinase activity (GO:0019199) | transmembrane receptor protein tyrosine kinase activity (GO:0004714) | peptidyl-tyrosine phosphorylation (GO:0018108) | regulation of G1/S transition of mitotic cell cycle (GO:2000045) | positive regulation of growth (GO:0045927) | positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068) | MicroRNAs in cancer | regulation of kinase activity (GO:0043549) | regulation of cell population proliferation (GO:0042127) | protein kinase regulator activity (GO:0019887) | Longevity regulating pathway | positive regulation of vasculature development (GO:1904018) | cellular response to organonitrogen compound (GO:0071417) | regulation of phosphatidylinositol 3-kinase signaling (GO:0014066) | protein tyrosine kinase activity (GO:0004713) | HIF-1 signaling pathway | regulation of protein serine/threonine kinase activity (GO:0071900) | positive regulation of kinase activity (GO:0033674) | positive regulation of angiogenesis (GO:0045766) | AMPK signaling pathway | FoxO signaling pathway | Insulin signaling pathway | mTOR signaling pathway | protein autophosphorylation (GO:0046777) | regulation of MAPK cascade (GO:0043408) | positive regulation of intracellular signal transduction (GO:1902533)	BRCA1;RPTOR;AXIN1;CCND2;FLT1;INSR;KMT2D	36
0	histone H3-K4 monomethylation (GO:0097692)	1.675288186561917e-05	histone H3-K4 monomethylation (GO:0097692) | MLL3/4 complex (GO:0044666) | histone methyltransferase activity (H3-K4 specific) (GO:0042800) | histone H3-K4 methylation (GO:0051568) | histone-lysine N-methyltransferase activity (GO:0018024) | regulation of megakaryocyte differentiation (GO:0045652) | Lysine degradation | regulation of myeloid cell differentiation (GO:0045637) | histone H3-K4 dimethylation (GO:0044648) | positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148) | positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)	KMT2C;KMT2D	11
0	npBAF complex (GO:0071564)	3.286162327694617e-05	npBAF complex (GO:0071564) | nBAF complex (GO:0071565) | chromatin disassembly (GO:0031498) | nucleosome disassembly (GO:0006337) | SWI/SNF complex (GO:0016514) | protein-DNA complex disassembly (GO:0032986) | ATP-dependent chromatin remodeling (GO:0043044) | Thermogenesis | nucleosome organization (GO:0034728) | chromatin remodeling (GO:0006338) | nuclear receptor binding (GO:0016922) | chromatin organization (GO:0006325) | RNA polymerase I core promoter sequence-specific DNA binding (GO:0001164) | RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163) | positive regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901838) | Tat protein binding (GO:0030957) | chromatin-mediated maintenance of transcription (GO:0048096) | RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	SMARCA4;ARID1A;RPTOR	18
0	I-SMAD binding (GO:0070411)	4.656042999375256e-05	I-SMAD binding (GO:0070411) | Hippo signaling pathway | Pathways in cancer | Colorectal cancer | beta-catenin destruction complex assembly (GO:1904885) | regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900175) | dorsal/ventral axis specification (GO:0009950) | positive regulation of activin receptor signaling pathway (GO:0032927) | SMAD protein complex assembly (GO:0007183) | nodal signaling pathway (GO:0038092) | Signaling pathways regulating pluripotency of stem cells | Gastric cancer | armadillo repeat domain binding (GO:0070016) | type I transforming growth factor beta receptor binding (GO:0034713) | cellular protein-containing complex assembly (GO:0034622) | primary miRNA processing (GO:0031053) | co-SMAD binding (GO:0070410) | response to sterol (GO:0036314) | mesoderm morphogenesis (GO:0048332)	SMAD2;AXIN1;CCND2;BRCA2	19
0	enzyme linked receptor protein signaling pathway (GO:0007167)	0.0001758482848652	enzyme linked receptor protein signaling pathway (GO:0007167) | positive regulation of transferase activity (GO:0051347) | MAPK signaling pathway | protein phosphorylation (GO:0006468)	SMAD2;AXIN1;PTPRD;MAP2K4;FLT1;INSR	4
0	positive regulation of peptidyl-threonine phosphorylation (GO:0010800)	0.0001780806483866	positive regulation of peptidyl-threonine phosphorylation (GO:0010800) | positive regulation of protein kinase activity (GO:0045860) | regulation of peptidyl-threonine phosphorylation (GO:0010799) | positive regulation of peptidyl-serine phosphorylation (GO:0033138) | regulation of peptidyl-serine phosphorylation (GO:0033135) | TORC1 complex (GO:0031931) | RNA polymerase III cis-regulatory region sequence-specific DNA binding (GO:0000992) | RNA polymerase III type 3 promoter sequence-specific DNA binding (GO:0001006) | kinase binding (GO:0019900) | TORC1 signaling (GO:0038202) | protein kinase binding (GO:0019901) | response to leucine (GO:0043201) | cellular response to leucine (GO:0071233) | positive regulation of transcription by RNA polymerase III (GO:0045945)	RPTOR;AXIN1;CCND2;INSR	14
0	beta-catenin-TCF complex assembly (GO:1904837)	0.0002405536839323	beta-catenin-TCF complex assembly (GO:1904837)	SMARCA4;KMT2D	1
0	negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	0.0002934678062041	negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144) | positive regulation of histone H3-K9 acetylation (GO:2000617) | response to indole-3-methanol (GO:0071680) | cellular response to indole-3-methanol (GO:0071681) | regulation of histone H4-K16 acetylation (GO:2000618) | negative regulation of histone H3-K9 methylation (GO:0051573) | negative regulation of nucleic acid-templated transcription (GO:1903507) | negative regulation of centriole replication (GO:0046600) | positive regulation of histone H4 acetylation (GO:0090240) | protein K6-linked ubiquitination (GO:0085020) | negative regulation of peptidyl-lysine acetylation (GO:2000757) | dosage compensation (GO:0007549) | negative regulation of cellular macromolecule biosynthetic process (GO:2000113) | negative regulation of centrosome duplication (GO:0010826) | negative regulation of intracellular estrogen receptor signaling pathway (GO:0033147) | regulation of histone H3-K9 acetylation (GO:2000615) | negative regulation of fatty acid biosynthetic process (GO:0045717) | negative regulation of histone acetylation (GO:0035067) | regulation of histone H3-K9 methylation (GO:0051570) | dosage compensation by inactivation of X chromosome (GO:0009048)	BRCA1;SMAD2;SMARCA4	20
