Gene1	Gene2	Shared_Count	P_Value	Log2OR	FDR
KEAP1	STK11	269	3.7557464752394155e-101	3.3077779121559967	1.002220946917638e-96
KRAS	STK11	305	8.703996475999993e-32	1.6013382112169738	1.161330729810299e-27
CDKN2A	TP53	229	1.9096537825060195e-22	1.9957441834220593	1.3412703548116467e-18
KEAP1	SMARCA4	115	2.010523297450473e-22	1.893139779182228	1.3412703548116467e-18
RB1	TP53	166	4.928028668165759e-22	2.533633307893251	2.6300889002000655e-18
SMARCA4	STK11	110	2.97101861893675e-20	1.809695470945897	1.3213605307721195e-16
ATM	KRAS	169	2.286813759045962e-16	1.4299132867144702	8.717660737163072e-13
NF1	PTPRD	70	5.443161042078587e-15	1.8481886395661817	1.8156344050983385e-11
NF1	RASA1	36	1.7147618775883974e-14	2.6701881732355823	5.084268967049598e-11
PTPRD	TBX3	44	5.3156771930638154e-14	2.305249353740732	1.418488458969079e-10
NTRK3	PTPRD	53	6.827750241760738e-14	2.047942345465315	1.6563501381944117e-10
KMT2D	TP53	219	2.4336302411367816e-13	1.3857724939422542	5.411785248727918e-10
KRAS	RBM10	201	2.2035560804848324e-12	1.0766882974876968	4.5232226159798275e-09
ROS1	TP53	98	3.2326694498822704e-12	2.2848036918043215	5.8516512473937e-09
AMER1	PTPRD	45	3.289292438107757e-12	2.0556952506291872	5.8516512473937e-09
KMT2C	TP53	158	4.162942669283038e-12	1.5901814545042663	6.943007820613617e-09
FAT1	TP53	212	4.6799244981835084e-12	1.3127534087444317	7.34610501376629e-09
EPHA5	PTPRD	54	1.810295673999977e-11	1.769174009667791	2.6414221654454073e-08
ERBB4	TP53	140	1.880720297675201e-11	1.6520325882563167	2.6414221654454073e-08
PTPRT	TBX3	37	2.32838374406386e-11	2.1762362596576983	3.1066460105172054e-08
RASA1	TP53	91	2.5519064873792342e-11	2.2609897010881514	3.2427440293197554e-08
EPHA3	PTPRD	51	2.8060186319526563e-11	1.8052042648130342	3.40357305425712e-08
KEAP1	KRAS	254	3.839738985617493e-11	0.8944829518688946	4.424544811669935e-08
PTPRD	TP53	240	3.979354524267508e-11	1.1505867390259588	4.424544811669935e-08
EPHB1	NTRK3	30	4.63699878813705e-11	2.389904888703369	4.9495325064574875e-08
