Gene1	Gene2	Shared_Count	P_Value	Log2OR	FDR
PTPRD	PTPRT	61	6.299929226715245e-11	1.6012799386227023	6.465908131342166e-08
AR	PTPRT	30	1.1415004306464261e-10	2.366691692188429	1.1281829256222178e-07
AMER1	HGF	30	1.4163020030806715e-10	2.3081839476792103	1.3497863911502757e-07
PARK2	TP53	82	1.6273593306144083e-10	2.2984453873609128	1.4974511633601892e-07
EPHA3	PTPRT	45	2.8102187652670555e-10	1.8040925122593288	2.490996746904791e-07
EPHA3	NTRK3	36	2.8937942347404353e-10	2.0347010911050027	2.490996746904791e-07
EPHA3	HGF	34	3.3311670677260596e-10	2.0931608694781145	2.7584227319136867e-07
EPHA3	TSHR	20	3.411202928729685e-10	2.9289234338274426	2.7584227319136867e-07
ATRX	PTPRT	42	3.8689678681071136e-10	1.8574940625924499	3.036570810601127e-07
BRCA1	EPHB1	21	4.1417218991004055e-10	2.7666895568499226	3.1577671107855523e-07
PIK3C2G	PTPRT	34	4.471975316332653e-10	2.094434801858049	3.237060744102224e-07
EPHB1	KMT2C	29	4.4883360514064937e-10	2.2751798356958832	3.237060744102224e-07
FGFR4	PTPRT	24	4.721383385183413e-10	2.6173716333896735	3.315529358779457e-07
EPHB1	PTPRT	35	5.589654388478214e-10	2.043070254514314	3.8246135219625937e-07
NF1	TP53	214	5.813870240657842e-10	1.1357922853531974	3.86606812382755e-07
EPHA7	TBX3	23	5.939995993139575e-10	2.5823497553501102	3.86606812382755e-07
GRIN2A	SMARCA4	48	7.406276894877662e-10	1.6939303894149094	4.705630927138343e-07
TBX3	TET1	22	8.712391396837119e-10	2.6196042416386462	5.406748009874383e-07
NOTCH4	PTPRT	37	9.566877730848716e-10	1.9419798946286588	5.802093914720408e-07
HGF	PTPRD	43	1.12915298584849e-09	1.7813406326111405	6.695877206081546e-07
EPHA5	GRIN2A	39	1.2746832478223318e-09	1.8571020573974635	7.394548362638897e-07
NOTCH2	PTPRD	32	1.594685551590328e-09	2.1032252700048315	9.037534382223045e-07
EPHA3	EPHB1	29	1.6256385622885748e-09	2.1819826388071477	9.037534382223045e-07
CDKN2A	KMT2D	52	1.7292361251830912e-09	1.5762887453359296	9.417278775614446e-07
EPHA3	FOXL2	18	1.7771422686677041e-09	2.9663023841257044	9.484608287879537e-07
EPHB1	TP53	113	2.407707929334566e-09	1.6223559803710745	1.2597977665547627e-06
FGFR4	IRS2	13	2.4815198347973814e-09	3.530104801923785	1.2734491690686178e-06
AMER1	AR	21	3.1361581761228008e-09	2.582909013901058	1.579026055279942e-06
NCOR1	PTPRT	27	3.2015327526411507e-09	2.259093064558803	1.5820907685968355e-06
LATS2	MGA	18	4.686373296437501e-09	2.837971422555765	2.2737431166442677e-06
ERBB4	PALB2	16	5.094647498679387e-09	3.0503713930240823	2.427690508968919e-06
EPHA5	FLT1	29	6.646975667411927e-09	2.0796480431062436	3.111834134822584e-06
KMT2A	MCL1	9	7.866206852380837e-09	4.482304843928076	3.573026419443754e-06
GRIN2A	PTPRT	43	8.138129024314211e-09	1.6563896355022063	3.573026419443754e-06
IL7R	PTPRD	25	8.141468738825903e-09	2.3199887513899293	3.573026419443754e-06
MGA	NOTCH3	27	8.167682652653888e-09	2.1446702377522184	3.573026419443754e-06
FAT1	PTPRD	56	8.664247506712207e-09	1.4381812798387572	3.7291200760744394e-06
EPHA5	NTRK3	35	1.0999581519573917e-08	1.830486315349377	4.6142154892600285e-06
ARID1B	KDR	21	1.1066508949321411e-08	2.4571649167000578	4.6142154892600285e-06
PDGFRA	PTPRD	36	1.1806742700693757e-08	1.819550981130585	4.8471219841232745e-06
ALK	CSF1R	18	1.3204317657189132e-08	2.7055562459610085	5.338745707304425e-06
EPHA7	PTPRT	31	1.4308827839209126e-08	1.9589498403575099	5.698971207302919e-06
NOTCH2	PIK3C2G	19	1.4697867112491421e-08	2.581976171687784	5.767832116129905e-06
EPHA7	MGA	25	1.6144841406077996e-08	2.187791422235826	6.19583220592895e-06
DROSHA	NOTCH2	15	1.6252885681657354e-08	2.9835571294776386	6.19583220592895e-06
ALK	HGF	28	1.9130949375517537e-08	2.03104843625923	7.040773892714555e-06
CDKN2A	SMARCA4	53	1.9143363757426094e-08	1.4379816418324765	7.040773892714555e-06
NTRK3	TET1	24	1.9260876678589563e-08	2.22733721210082	7.040773892714555e-06
CREBBP	IRS2	16	2.0012212529441202e-08	2.847287627199596	7.216566099299168e-06
PREX2	TP53	113	2.09555747375104e-08	1.4863970163014784	7.455993491606199e-06
FAT1	PTPRT	50	2.2035039790651762e-08	1.4736753868031887	7.736908379125556e-06
FAT1	NF1	51	2.2661407464514752e-08	1.45718163825863	7.853502054423067e-06
EPHA7	FGFR4	15	2.5311774002100386e-08	2.9384330641193768	8.659547298026267e-06
AMER1	PTPRT	35	2.6715337742575692e-08	1.7795632699395327	9.024035286843448e-06
DDR2	POLD1	13	2.7617564737469523e-08	3.1986905856689174	9.212183937742178e-06
GRIN2A	TSC2	20	2.8909951952382604e-08	2.468861031557228	9.524223059868269e-06
PAK7	PTPRT	31	3.05100920105766e-08	1.9011488792689941	9.896217378426987e-06
KMT2C	KMT2D	40	3.0780814780192614e-08	1.641128099931052	9.896217378426987e-06
NTRK3	PAK7	25	3.3723601197553163e-08	2.1243267564946096	1.0625279644294868e-05
PTPRT	TP53	203	3.384481055893063e-08	1.0150881180076752	1.0625279644294868e-05
NTRK3	PTPRT	39	3.5319438573781846e-08	1.6550925609254714	1.0959293236527541e-05
EPHB1	NOTCH2	19	3.844350032694425e-08	2.483186806441367	1.1791549496833417e-05
GRIN2A	ROS1	24	3.918383422017266e-08	2.1711108520937814	1.1882052456423947e-05
KDR	TBX3	22	4.10197001171214e-08	2.26636065285686	1.2298996602532409e-05
ARID2	TP53	126	4.3538340925353146e-08	1.3413178203097378	1.2909118084367208e-05
EPHA5	HGF	32	4.403686347015022e-08	1.8252905836957845	1.2913447271439107e-05
ARID1B	INPP4B	17	4.7847688765307105e-08	2.6320712134794904	1.3878430159806741e-05
AXIN1	TBX3	13	4.942592975432337e-08	3.1558820530647895	1.4182053069829238e-05
CREBBP	EPHB1	21	5.056858351072472e-08	2.3094837007353166	1.4355560116847757e-05
DROSHA	HGF	18	5.5638855401186206e-08	2.5445318846280984	1.5628661646112146e-05
KDR	PDGFRA	22	6.04971697912563e-08	2.2297491613703717	1.6706332051122284e-05
HGF	NOTCH2	21	6.159359375157335e-08	2.2974320987898658	1.6706332051122284e-05
ALK	PTPRT	36	6.174643041931796e-08	1.6931621697302623	1.6706332051122284e-05
HGF	TBX3	24	6.197964673266278e-08	2.1185585987854627	1.6706332051122284e-05
EPHA3	PDGFRB	21	6.339810063971688e-08	2.308939895950951	1.677386967080727e-05
FAT1	HGF	36	6.348738380181878e-08	1.6906405786156933	1.677386967080727e-05
EPHA5	NOTCH1	27	7.069400095672203e-08	1.9757846913078665	1.8457918205012715e-05
EPHB1	HGF	24	7.124472831614425e-08	2.1060562011874193	1.8457918205012715e-05
PAK7	POLE	20	7.361006942927274e-08	2.339828824310761	1.8887352910770608e-05
ARID1B	EPHA3	24	7.596537352039637e-08	2.1086187783133528	1.9306057070397874e-05
NTRK3	PAX5	14	8.239653157317593e-08	2.9821293231613124	2.074293816066226e-05
FGFR1	PTPRT	16	8.386721789725451e-08	2.8059522043575136	2.0915857098955484e-05
NOTCH2	PAK7	18	8.749882220491003e-08	2.4758444945153335	2.1619500653129855e-05
FAT1	POLE	30	8.997456235392288e-08	1.8522792166070143	2.2027258682701214e-05
EPHB1	PTPRD	34	9.90144937349639e-08	1.7274386509048927	2.3694547033693344e-05
MLH1	ZFHX3	11	9.908748881072918e-08	3.5503060186454705	2.3694547033693344e-05
CSF1R	NOTCH1	15	9.94487265420144e-08	2.765901933524685	2.3694547033693344e-05
PIK3CG	PTPRD	39	1.108228110970245e-07	1.5881726782117271	2.6170855877204417e-05
HOXB13	PTPRD	15	1.1218272896403193e-07	2.957547858375732	2.6259615108817475e-05
KEAP1	TBX3	46	1.1850541877373127e-07	1.4990573078777925	2.7498409565017555e-05
ATM	CSF1R	22	1.2103133264573965e-07	2.226333615278775	2.7842423376306573e-05
FAT1	TET1	28	1.2274761382521137e-07	1.904432015846162	2.7995898076288594e-05
PIK3C2G	TP53	104	1.2727739745043782e-07	1.4491162948339953	2.8779020641275344e-05
KRAS	NKX2-1	45	1.2833814713553554e-07	1.862496476250065	2.8779020641275344e-05
NOTCH2	TP53	88	1.3820092141973917e-07	1.618295468512493	3.0644387951537404e-05
PTEN	TP53	94	1.3895337988143248e-07	1.5453389888997695	3.0644387951537404e-05
NTRK3	PDGFRA	25	1.461699282329424e-07	1.9955651029265211	3.197167651554154e-05
NOTCH2	SOX9	11	1.4844672133911896e-07	3.32972565488665	3.220569722710885e-05
CUL3	KMT2D	22	1.582127505194403e-07	2.19128030241574	3.385429950934397e-05
KRAS	U2AF1	51	1.5917805790926914e-07	1.690015703332462	3.385429950934397e-05
CSF1R	ERCC4	9	1.598516671604774e-07	3.787382933876822	3.385429950934397e-05
CDKN2A	NFE2L2	27	1.7377139946009897e-07	1.914412771570819	3.6512518067659375e-05
EPHA5	EPHB1	27	1.7880933039920245e-07	1.8972222593871568	3.6725408024557383e-05
NOTCH4	PTPRD	36	1.7898948375853036e-07	1.6283774734337375	3.6725408024557383e-05
EPHB1	SDHA	12	1.8028961780839485e-07	3.1346855972269774	3.6725408024557383e-05
CTCF	EPHB1	12	1.8028961780839485e-07	3.1346855972269774	3.6725408024557383e-05
GRIN2A	NCOR1	21	1.8226089897903008e-07	2.2035810888482117	3.684569764587438e-05
NEGR1	TP53	49	1.8594448019943458e-07	2.5374166017177453	3.7307732737758734e-05
PARK2	PTPRD	26	1.9463572891392503e-07	1.972368696173752	3.832334255854654e-05
EPHB1	PIK3C2G	20	1.955050742674644e-07	2.2402209265571353	3.832334255854654e-05
EPHB1	PAK7	20	1.955050742674644e-07	2.2402209265571353	3.832334255854654e-05
ARID1A	TP53	175	1.9813707528340659e-07	1.027335661794179	3.832334255854654e-05
ESR1	PTPRT	17	1.9818704414762683e-07	2.5737553720414503	3.832334255854654e-05
HGF	TP53	132	2.0650159030368122e-07	1.2149422785058497	3.964384846945132e-05
CDKN2A	EPHB1	30	2.1497215325539992e-07	1.7806416387531854	4.097522792585962e-05
SMO	TP63	12	2.184813510343525e-07	3.0602553213129653	4.115890021348532e-05
BRAF	SETD2	30	2.1902056699699889e-07	1.766676362244537	4.115890021348532e-05
EPHB1	GRIN2A	26	2.3034318398360038e-07	1.9148513528264104	4.285401306124405e-05
CARD11	MGA	22	2.3125268431025457e-07	2.1090437262163433	4.285401306124405e-05
ALK	ERBB4	26	2.4312797430554383e-07	1.9050244093950135	4.474393099547198e-05
EPHA3	GRIN2A	33	2.4809326456677656e-07	1.666981776783515	4.527548037590724e-05
DDR2	PTCH1	12	2.4940961646087184e-07	3.0417959427701726	4.527548037590724e-05
ERBB4	KMT2D	35	2.6028851018454085e-07	1.6179756040322442	4.678900674806265e-05
PBRM1	TP53	76	2.6125396310516524e-07	1.7393408900983494	4.678900674806265e-05
PIK3C2G	PTPRD	32	2.6375857516146395e-07	1.7140005155358082	4.6922650521224435e-05
GATA2	KMT2C	14	2.675447144056813e-07	2.8145462038276134	4.728099803917619e-05
ERCC3	PTPRD	15	2.7264477919640445e-07	2.81917076811961	4.757245401797682e-05
EPHA5	FAT1	41	2.727594328180796e-07	1.4787498941192778	4.757245401797682e-05
EPHA3	SF3B1	19	2.820974771987156e-07	2.296034473243679	4.888163103277744e-05
ARID1B	HGF	21	2.866677393398457e-07	2.142749448750087	4.935308789860505e-05
PREX2	TEK	12	2.899691851569779e-07	3.0610755767517683	4.937355002631967e-05
NOTCH2	PTPRT	26	2.904870659221356e-07	1.9160550087196726	4.937355002631967e-05
MGA	NOTCH2	21	2.9861222518068327e-07	2.1436240400119875	5.043333689206667e-05
PGR	PTPRD	26	3.048248544996729e-07	1.930839718078906	5.11588128448036e-05
ARID1B	NTRK3	22	3.429228290062014e-07	2.070389327891398	5.7193098075190526e-05
EPHA3	EPHA7	24	3.626802432157407e-07	1.9641229636714035	6.0112560808770445e-05
EPHB1	KMT2A	17	3.7218873258366886e-07	2.39856513514862	6.130775511725434e-05
DNMT3B	HNF1A	8	3.8173735679791305e-07	3.9131803947939043	6.214852600536604e-05
PAK7	TET1	18	3.819508437279382e-07	2.3115509668436167	6.214852600536604e-05
NTRK3	TBX3	24	3.922771624148378e-07	1.9532655088994546	6.344191563054513e-05
DDR2	PTPRD	25	3.954766584911491e-07	1.9538153048862577	6.351802217714545e-05
PAK7	PRKD1	14	3.97508326909623e-07	2.7028534730972793	6.351802217714545e-05
JAK2	PTPRD	23	4.021194809049948e-07	2.058119266360533	6.387237111874873e-05
POLE	PTPRT	29	4.087767968702808e-07	1.765687262409855	6.430735801886331e-05
MGA	NTRK3	29	4.0967775391443745e-07	1.749532756488253	6.430735801886331e-05
BRCA2	KMT2C	23	4.1275620530315113e-07	1.999325685876535	6.431540623669365e-05
KMT2D	NFE2L2	27	4.1454936753649277e-07	1.8422780286496392	6.431540623669365e-05
NOTCH4	TP53	119	4.173980269044486e-07	1.2535278433076624	6.433597384033122e-05
GRIN2A	NTRK3	31	4.2490548102316103e-07	1.6837656377745287	6.433597384033122e-05
FAT1	PIK3C3	17	4.2560211997954803e-07	2.4711113542365464	6.433597384033122e-05
SOX17	TERT	11	4.2591284654986375e-07	3.1317671542007908	6.433597384033122e-05
IL7R	NOTCH2	13	4.287938230887636e-07	2.8140013837567106	6.433597384033122e-05
AMER1	POLE	21	4.291475864185482e-07	2.0988559831934586	6.433597384033122e-05
GLI1	PTPRT	24	4.4160341558378007e-07	1.9723732344223566	6.58334477366099e-05
CREBBP	FAT1	29	4.531692602774306e-07	1.7561553932486318	6.71823428361291e-05
NOTCH1	TP53	104	4.6283051617713115e-07	1.3598579399220418	6.82355377026892e-05
FAT1	PDGFRA	30	4.7478273443980284e-07	1.7177945847471934	6.961306191497879e-05
NOTCH1	TET1	18	4.778859535920054e-07	2.286458751345124	6.968517306886701e-05
GLI1	SOX17	12	4.821837793428305e-07	2.942824041197582	6.992975082480126e-05
IRS2	NOTCH2	13	5.002193432013949e-07	2.79156056943912	7.215326039637418e-05
ALK	NOTCH4	24	5.062472386994068e-07	1.9270715166831314	7.26301481972778e-05
FAT1	GRIN2A	39	5.094374775978739e-07	1.4769819934736772	7.269700047967522e-05
ALK	KDR	23	5.344592017969753e-07	1.969989631804394	7.586193510612918e-05
CUL3	EPHA3	18	5.380061560610236e-07	2.301169534720565	7.596134536766357e-05
ARID1B	GRIN2A	23	5.434308171474219e-07	1.9773538945841427	7.632342818725764e-05
HGF	PTPRS	17	5.528158595621999e-07	2.365343114381039	7.723503252574504e-05
FLT1	MYOD1	12	5.749655207960457e-07	2.944215085017374	7.99112235543879e-05
HGF	PARK2	18	5.790486450968401e-07	2.2759918107205035	8.006172587776776e-05
EPHA7	FAT1	28	5.919041649953149e-07	1.7698802166389411	8.141733321082462e-05
EPHA5	KEAP1	63	6.17000601876703e-07	1.1662818302111257	8.443415928758881e-05
ASXL2	MGA	16	6.323844962352662e-07	2.4526571190706776	8.609785858182693e-05
FLT1	PTPRD	32	6.359309807465565e-07	1.6440139581133044	8.614120924478101e-05
PIK3CG	TP53	130	6.466654616875951e-07	1.1607330398824527	8.715286790471452e-05
PDGFRB	PTPRT	23	6.569712990173943e-07	1.9852926907838984	8.80968799712521e-05
NTRK3	TP53	142	6.672696160808891e-07	1.0983047050113108	8.903044852559262e-05
ARID1B	PTPRD	29	7.900213702506453e-07	1.723921786834656	0.00010450878532484045
KMT2C	ROS1	21	7.921738307296591e-07	2.0446087582104284	0.00010450878532484045
DNMT3B	PALB2	8	7.950265475339183e-07	3.7558761964498535	0.00010450878532484045
ALK	KMT2D	34	8.044575132000876e-07	1.5600513630913417	0.00010488029046220903
AMER1	ERBB4	24	8.057133050310231e-07	1.8838249856905769	0.00010488029046220903
EPHA3	PRKD1	17	8.376035418966147e-07	2.3327962845620327	0.0001085021869685008
ALK	PTPRD	37	8.461453444319968e-07	1.4917543340653114	0.00010863514795239858
JAK2	PARK2	12	8.467719982798914e-07	2.8543715485590915	0.00010863514795239858
ALK	TP53	129	8.704763991832916e-07	1.1488285452507239	0.00011114192685266093
NCOR1	ZFHX3	19	9.071515286000057e-07	2.158305737869172	0.0001150772383148314
HIST3H3	PAK7	8	9.099230760513184e-07	3.869131119644294	0.0001150772383148314
FGFR4	MGA	16	9.45861377112589e-07	2.4002794204380153	0.00011869932411071674
ARID1B	NOTCH4	19	9.527837468581247e-07	2.140450716298348	0.00011869932411071674
PARP1	VTCN1	5	9.55934183497564e-07	5.379217898238341	0.00011869932411071674
NOTCH4	PDGFRA	21	9.563558060260107e-07	2.016638942113789	0.00011869932411071674
KDR	NTRK3	24	9.763070862111814e-07	1.867777470358928	0.00012061460460900637
BRCA2	TET1	17	9.918217453398345e-07	2.279987468761366	0.00012196665103407136
SMARCA4	STAG2	25	1.0096228136112803e-06	1.8575740364506548	0.00012355487780611897
EPHA5	PTPRT	40	1.0139973108315553e-06	1.410413036811618	0.00012355487780611897
IGF1R	WT1	10	1.0309470343522589e-06	3.1847972161197107	0.000124624603949315
FGFR4	PTPRD	21	1.0321168249128204e-06	2.0778158906467987	0.000124624603949315
IRS2	PTPRD	22	1.0483735792057246e-06	2.01489012504837	0.0001260140052751883
MAP3K1	TP53	55	1.0546785766963395e-06	2.052854525946709	0.0001260140052751883
SOX2	TET1	9	1.0577904134023677e-06	3.470434112694769	0.0001260140052751883
EPHB1	LATS2	13	1.0753703705784077e-06	2.6960694882058904	0.00012700787412271965
AR	PTPRD	26	1.0756522222872266e-06	1.8126982431319139	0.00012700787412271965
AMER1	PGR	17	1.1065576280015032e-06	2.274561404055055	0.00013008145508026483
PDGFRA	TET1	18	1.1228877626270703e-06	2.1899657158725363	0.00013142219274431304
EPHB1	PIK3CG	22	1.1362696385107429e-06	1.9470303538803342	0.00013229190695021115
NCOA3	PTPRS	9	1.140233786717203e-06	3.404414275775815	0.00013229190695021115
PDGFRA	PIK3C2G	19	1.1468847180951347e-06	2.118073966220109	0.00013248752685008082
NOTCH2	NOTCH4	18	1.1704164062947216e-06	2.188056248951294	0.00013462311121540795
NCOA3	NOTCH2	10	1.1912090772534116e-06	3.1780082719170144	0.0001364266705000313
EPHA5	IGF1	10	1.220959566212083e-06	3.356600672542142	0.00013810009344018684
CREBBP	PTPRD	31	1.2212920842211704e-06	1.6210555611655157	0.00013810009344018684
CARD11	PTPRT	26	1.2213461514665204e-06	1.7842110684833274	0.00013810009344018684
ATM	NTRK3	37	1.2434027243466988e-06	1.4585373933968726	0.0001391628406395543
CIC	EPHA3	17	1.2462825992130806e-06	2.2830342793053946	0.0001391628406395543
CREBBP	KMT2C	23	1.246390066061588e-06	1.8918511961443776	0.0001391628406395543
EP300	KMT2D	26	1.2588675671866102e-06	1.7823963585766347	0.0001397531857217467
HGF	PIK3CG	25	1.2621516866756964e-06	1.7996499105759303	0.0001397531857217467
BRCA1	PAK7	16	1.3328735115361974e-06	2.3297281747504397	0.0001469740894848902
EPHA7	NTRK3	22	1.4098026766373944e-06	1.9285856667078374	0.00015442945158879444
AGO2	PIK3C2G	9	1.4120586916869344e-06	3.430405307852983	0.00015442945158879444
NOTCH2	NTRK3	20	1.4322125494668442e-06	2.0403091309303476	0.00015599425258172546
KDM5C	PTPRD	27	1.4387708257428786e-06	1.7447344734507741	0.0001560474770324898
NCOA3	TBX3	11	1.4459178775008656e-06	2.969626350956481	0.0001560474770324898
TBX3	TP53	106	1.4558806072647124e-06	1.264158991108049	0.0001560474770324898
AR	EPHA3	20	1.4560922533666838e-06	2.043943347587597	0.0001560474770324898
EPHA3	TP53	151	1.4628789387299968e-06	1.017585548389471	0.00015614769792003986
ALK	FAT1	33	1.4880971826042074e-06	1.5374693171361509	0.00015820666660475407
AMER1	IRS2	15	1.4992805835061297e-06	2.421644094048272	0.0001587631046462741
NF1	PTPRT	47	1.5294342250334185e-06	1.2705872731500556	0.00016131601697635088
AXL	PPP6C	4	1.6449105529857372e-06	6.287200716964546	0.00017269609906574418
NSD1	PIK3C2G	15	1.6502718853949696e-06	2.3967895321862804	0.00017269609906574418
EPHA7	NOTCH2	16	1.6648219136917438e-06	2.3010493652114463	0.0001735381748705632
KMT2A	LATS2	11	1.6800888954351404e-06	2.911640043244456	0.0001738895088153337
KDR	TET1	18	1.6812251554939517e-06	2.1438768003827446	0.0001738895088153337
IRS2	PTPRT	20	1.707580651489227e-06	2.060438184663477	0.00017527444705572193
KMT2B	PTPRT	26	1.7077517794449204e-06	1.7529561151723971	0.00017527444705572193
NTRK1	TET1	14	1.7604527119302402e-06	2.4902773512670433	0.00017978918877389744
KMT2D	PTEN	26	1.76521519425749e-06	1.750817718391733	0.00017978918877389744
NSD1	TP53	75	1.808750739186372e-06	1.5733183524343421	0.0001835228649246705
CARD11	PTPRD	28	1.8451389015477822e-06	1.684616606059734	0.00018649775828952694
FOXL2	PTPRD	18	1.8520481898716371e-06	2.2254545701556516	0.00018649775828952694
MGA	NF1	36	1.8843656446246832e-06	1.448990398905919	0.00018903871137898373
INPP4B	PTPRD	26	1.933866063884373e-06	1.7569164830173727	0.0001928356624310176
PIK3CG	ROS1	19	1.936666948904355e-06	2.0651243796290553	0.0001928356624310176
FOXL2	KMT2C	14	1.9455878644134386e-06	2.521659918812638	0.00019300376268354132
PTPRT	TET1	26	2.0126677585707634e-06	1.7375649196034109	0.00019799975019867675
IKZF1	NF1	22	2.017851847229588e-06	1.9266930162053082	0.00019799975019867675
ARID1A	PIK3CG	30	2.018209932697773e-06	1.590636476117896	0.00019799975019867675
ALK	NTRK3	26	2.031365132411803e-06	1.7179909691666833	0.00019856036101981308
ARID1B	CREBBP	17	2.074336768707563e-06	2.192023949487075	0.00020201276336736284
EPHA5	TBX3	25	2.08182536728592e-06	1.7594697020848329	0.00020201276336736284
KMT2A	PARK2	13	2.1141250097264766e-06	2.578741296424117	0.000204403716973011
KMT2C	NOTCH2	20	2.1319556589613828e-06	1.99819936407289	0.00020538352620716428
BRCA2	KMT2D	27	2.2339862819461365e-06	1.6905216976215527	0.00021443857530119658
NOTCH3	PTPRT	29	2.262031108054867e-06	1.619637973427632	0.00021589011547764917
AMER1	KDR	21	2.2730274691872486e-06	1.927127156168338	0.00021589011547764917
AXIN2	B2M	6	2.273379143684445e-06	4.344790916817867	0.00021589011547764917
HGF	NOTCH4	23	2.357222859621479e-06	1.8260491377486314	0.0002230584823014155
EPHA3	PGR	19	2.379782896034664e-06	2.0532072410145514	0.0002243975497550707
DAXX	KDR	9	2.401202553657463e-06	3.338298884531907	0.00022562003571954014
PTPRD	SDHA	16	2.437041624643919e-06	2.3718656651372703	0.0002281840552758701
MDC1	NF1	23	2.467095559701467e-06	1.85358504597921	0.00023019036717004772
DOT1L	STK11	38	2.516649431611992e-06	1.4443842053360005	0.00023399578425981185
CDKN2C	JAK1	5	2.5674033102566037e-06	4.970000639463157	0.00023788596296596344
IRS1	PTPRT	20	2.611376501085787e-06	2.0114719139391264	0.00024055146977397662
PTPRD	TP63	22	2.6183051867640347e-06	1.9152753343040267	0.00024055146977397662
AMER1	KMT2A	17	2.6232144539714146e-06	2.168928699451204	0.00024055146977397662
CTCF	PBRM1	9	2.667990452690894e-06	3.2412562367983795	0.0002438196069522483
KMT2A	KMT2C	19	2.7249521199198213e-06	2.0335074973180918	0.00024761058409509976
PTPRT	SOX9	15	2.7280311682203234e-06	2.4248667174695995	0.00024761058409509976
BRCA1	IRS1	12	2.761462219457865e-06	2.67228292326314	0.0002497953197499428
NCOA3	TET1	10	2.8385560553818964e-06	3.0257236997263055	0.00025586121909181893
BRCA2	NEGR1	11	2.8476965362664503e-06	2.838875516586402	0.00025586121909181893
NEGR1	SPEN	10	2.919456219835248e-06	3.0045322457522143	0.00026142848733658923
CREBBP	TAP2	8	2.94647202923013e-06	3.581670553962791	0.0002625006154506193
ARID2	EPHA3	26	2.951103040479138e-06	1.6852281518720307	0.0002625006154506193
INPP4A	NOTCH4	12	2.968135764244823e-06	2.693581593085821	0.00026313854773711993
AMER1	FGFR4	14	3.0154251446270552e-06	2.4319814573728182	0.0002664457615376588
PIK3CG	ZFHX3	26	3.0255161941011202e-06	1.681838735035557	0.0002664551143220739
BRCA1	NTRK2	11	3.0404514294918727e-06	2.812242996668159	0.00026688962630260074
EPHA5	PDGFRA	25	3.0921289912629595e-06	1.721940551395859	0.00027010989404273013
POLD1	PTPRT	19	3.0973815843011214e-06	2.057679482416165	0.00027010989404273013
PTPRD	TET1	28	3.1177873930372207e-06	1.6369831966479853	0.0002710037673719812
PARK2	TBX3	15	3.1392987620194688e-06	2.312714916726028	0.000271987621637953
BRCA2	PTPRD	29	3.1948666606328203e-06	1.601292552985074	0.0002759062033624169
CYSLTR2	H3F3C	5	3.2134710937427554e-06	4.851508812451904	0.0002766176649565337
EPHA7	NOTCH4	19	3.263011674793609e-06	2.0025152846436653	0.00027997899209603684
ARID5B	MGA	12	3.2854043342650753e-06	2.708848675473679	0.00028028882503485446
EPHA3	ZFHX3	29	3.290372569027129e-06	1.5762918128509107	0.00028028882503485446
CARD11	NOTCH4	18	3.298133448039884e-06	2.0668241818245217	0.00028028882503485446
FAT1	TP63	20	3.3390660695370498e-06	1.9815453121987952	0.00028286659703363867
EPHA7	IRS2	13	3.3590796753840666e-06	2.5177841579987823	0.0002836615225874172
