Source	Term_Name	P_Value	Term_ID	Intersection_Size
KEGG	Pancreatic cancer	3.322622076790553e-07	KEGG:05212	4
KEGG	Colorectal cancer	5.499538747270163e-07	KEGG:05210	4
KEGG	AGE-RAGE signaling pathway in diabetic complications	1.0155107272599247e-06	KEGG:04933	4
GO:BP	positive regulation of signal transduction	1.1512358918414054e-06	GO:0009967	8
GO:BP	positive regulation of cell communication	3.2341364460033805e-06	GO:0010647	8
GO:BP	positive regulation of signaling	3.2486068551577727e-06	GO:0023056	8
KEGG	Signaling pathways regulating pluripotency of stem cells	4.325367781960024e-06	KEGG:04550	4
KEGG	Gastric cancer	4.9699431274940725e-06	KEGG:05226	4
KEGG	Cellular senescence	5.990167253050761e-06	KEGG:04218	4
KEGG	Hepatocellular carcinoma	7.900871446708485e-06	KEGG:05225	4
KEGG	Human T-cell leukemia virus 1 infection	2.370609111881414e-05	KEGG:05166	4
GO:BP	positive regulation of response to stimulus	2.6250798227634098e-05	GO:0048584	8
REAC	Diseases of signal transduction by growth factor receptors and second messengers	3.0648087216829796e-05	REAC:R-HSA-5663202	6
KEGG	Chronic myeloid leukemia	3.860158607295993e-05	KEGG:05220	3
GO:BP	regulation of cell population proliferation	7.567357884462435e-05	GO:0042127	8
REAC	SMAD4 MH2 Domain Mutants in Cancer	8.350994020922505e-05	REAC:R-HSA-3311021	2
REAC	Loss of Function of SMAD4 in Cancer	8.350994020922505e-05	REAC:R-HSA-3304347	2
REAC	SMAD2/3 MH2 Domain Mutants in Cancer	8.350994020922505e-05	REAC:R-HSA-3315487	2
KEGG	FoxO signaling pathway	0.00020104946988170594	KEGG:04068	3
GO:BP	regulation of signal transduction	0.00021684029721768242	GO:0009966	8
REAC	SMAD2/3 Phosphorylation Motif Mutants in Cancer	0.0002782989955743365	REAC:R-HSA-3304356	2
REAC	TGFBR1 KD Mutants in Cancer	0.0002782989955743365	REAC:R-HSA-3656532	2
GO:BP	cell population proliferation	0.00030789219436538337	GO:0008283	8
