Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	14	1.0	0.6282	1.0	0.2637
RAD52	8	0.5714	0.0348	0.7	0.6786
CDKN2Ap16INK4A	8	0.5714	0.0476	0.7	0.6429
KDM5A	7	0.5	0.0147	0.6667	0.8095
CDKN1B	6	0.4286	0.0	0.6364	1.0
ETV6	6	0.4286	0.0	0.6364	1.0
CCND2	6	0.4286	0.0	0.6364	1.0
SDHA	4	0.2857	0.011	0.5833	0.6667
MYC	3	0.2143	0.0	0.56	1.0
NFKBIA	3	0.2143	0.0	0.56	1.0
RECQL	3	0.2143	0.0	0.56	1.0
H3F3C	3	0.2143	0.0	0.56	1.0
CDK4	2	0.1429	0.0	0.5385	1.0
MDM2	2	0.1429	0.0	0.5385	1.0
PIK3C2G	1	0.0714	0.0	0.5185	0.0
